effective_date,ticker,action,primary_source,secondary_source,agreement,confidence,note
2006-12-01,IAC,ADD,qzzcl,leandroloi,True,CONFIRMED,
2006-12-01,LU,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2006-12-01,NFB,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2006-12-01,STR,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2006-12-04,DTV,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2006-12-04,FSL,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2006-12-20,NAV,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2006-12-20,TEX,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-01-03,BLS,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-01-03,PTC,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-01-03,SE,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2007-01-04,ESV,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-01-10,AVB,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-01-10,SBL,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-02-01,CMVT,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-02-02,RL,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-02-12,EOP,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-02-12,VAR,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-02-15,APCC,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-02-15,HCBK,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-02-22,PGL,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-02-22,TEG,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2007-03-02,CHRW,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-03-02,HMA,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-03-20,HST,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-03-20,PD,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-03-23,CMX,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-03-23,DDR,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-03-29,ANF,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-03-29,UVN,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-04-02,MDLZ,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-04-02,TSG,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-04-10,AIZ,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-04-10,H,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-05-31,KMI,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-05-31,SUNEQ,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2007-06-01,MEDI,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-06-01,PCP,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2007-07-02,ADCT,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-07-02,COV,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-07-02,DFS,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-07-02,GGP,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-07-02,MEL,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-07-02,PMCS,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-07-02,SANM,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-07-02,TEL,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-07-09,ACAS,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-07-09,DG,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-07-12,AKAM,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-07-12,BMET,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-08-27,JEF,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-08-27,KSE,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-09-07,CBSS,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-09-07,MCHP,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-09-25,FDC,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-09-26,ICE,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-09-27,ANDV,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-09-27,MXIM,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-10-01,NCR,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-10-01,TDC,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-10-02,EXPE,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-10-02,SLR,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-10-08,ASN,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-10-08,NBL,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-10-10,EXPD,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-10-10,TXU,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-10-25,HLT,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-10-25,NYX,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-10-26,AV,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-10-26,JEC,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-10-29,BOL,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-10-29,TIE,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-11-09,HCR,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-11-09,POM,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2007-11-16,MTW,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-11-16,TEK,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-11-19,AMT,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-11-19,AT,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-12-14,DJ,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-12-14,GME,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-12-21,RRC,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-12-21,TRB,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2007-12-31,GHC,ADD,qzzcl,leandroloi,True,CONFIRMED,
2007-12-31,TIN,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-01-02,SNV,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-01-02,TSS,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-01-29,CAM,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-01-29,HET,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
