date,Q1,Q2,Q3,Q4,Q5,horizon
2006-05-05,-0.056306750431929245,-0.054749451233236254,-0.06515037317119662,-0.08056682727096537,-0.09747977330381528,10
2006-05-08,-0.06898585835861169,-0.05668352256580364,-0.0725602616203992,-0.09212497050206489,-0.11754879454527943,10
2006-05-09,-0.0704454113963131,-0.06432793235829869,-0.07819071976359418,-0.09415157415440771,-0.11672877880425356,10
2006-05-10,-0.06521384606362798,-0.058659050061326365,-0.06975622755913134,-0.09188012129483984,-0.11666643253230209,10
2006-05-11,-0.03654528741930624,-0.032756058749032944,-0.038688083507015476,-0.05115790271660799,-0.07471207165449512,10
2006-05-12,-0.0158015840773595,-0.01822676162421068,-0.02057064189125803,-0.02805372998439561,-0.04039798677999505,10
2006-05-15,-0.027904961321212347,-0.03245680851138881,-0.03297398268547797,-0.041728602246911876,-0.04725019075983912,10
2006-05-16,-0.01681314250819843,-0.01757699397084838,-0.018059495208667207,-0.02719424436096379,-0.03440318158866154,10
2006-05-17,0.011510045832630105,0.008752163151835976,0.01020774560875455,0.011193797497594757,0.010245912820406626,10
2006-05-18,0.015778796988987362,0.013680814103568433,0.015598257682404656,0.022810053545317364,0.029296777280250087,10
2006-05-19,-0.00944456843087225,-0.013281778636346974,-0.011633497972518614,-0.014153066537900535,-0.012534941177085502,10
2006-05-22,-0.004494460135164748,-0.011366471817083165,-0.012101550846425555,-0.004505305074101973,0.001378002648669701,10
2006-05-23,-0.005144926797995904,-0.010706264738141085,-0.008112873945565134,-0.01674281649046412,-0.016646271280948227,10
2006-05-24,-0.005572101949361606,-0.01407068501908604,-0.012441692186318057,-0.016462349067536523,-0.021681529347146476,10
2006-05-25,-0.022536364836736263,-0.028957712294574958,-0.027739892853937992,-0.03435637109933476,-0.05027839994609188,10
2006-05-26,-0.044502615197458184,-0.05508240512102352,-0.04824419234716236,-0.07170109301386507,-0.09748935729040215,10
2006-05-30,-0.04778353435753242,-0.046265065181743635,-0.04296414673100265,-0.06625465216558195,-0.0956648595261495,10
2006-05-31,-0.053105440115652325,-0.05330337301342794,-0.05396011761630635,-0.06900462755040263,-0.0970574459380135,10
2006-06-01,-0.043835318423341145,-0.04492311428570401,-0.04134399079939982,-0.05109274351778466,-0.07443381603777999,10
2006-06-02,-0.05207701681835559,-0.04773561581269692,-0.04902516876364547,-0.059706844464030025,-0.09139713082867215,10
2006-06-05,-0.04509131433958456,-0.03877728083958246,-0.038125218083243685,-0.050743156534943594,-0.07652489158415333,10
2006-06-06,-0.04618407331424536,-0.035984152279923416,-0.03797096041829513,-0.04631521478216147,-0.0751106195578166,10
2006-06-07,-0.02965483125704324,-0.017050351531387536,-0.01963095325362101,-0.015246251172998621,-0.03210280381433787,10
2006-06-08,-0.03478314939986074,-0.01963590631739724,-0.019669004095778025,-0.015401476467458038,-0.022420551522079005,10
