hypothesis,classification,h1_Q1_mean,h1_Q2_mean,h1_Q3_mean,h1_Q4_mean,h1_Q5_mean,h1_spread_mean,h1_spread_annualized,h1_spread_hac_tstat,h1_spread_n,h1_ic_mean,h1_ic_hac_tstat,h1_ic_n,h1_monotonic_q_means,h5_Q1_mean,h5_Q2_mean,h5_Q3_mean,h5_Q4_mean,h5_Q5_mean,h5_spread_mean,h5_spread_annualized,h5_spread_hac_tstat,h5_spread_n,h5_ic_mean,h5_ic_hac_tstat,h5_ic_n,h5_monotonic_q_means,h10_Q1_mean,h10_Q2_mean,h10_Q3_mean,h10_Q4_mean,h10_Q5_mean,h10_spread_mean,h10_spread_annualized,h10_spread_hac_tstat,h10_spread_n,h10_ic_mean,h10_ic_hac_tstat,h10_ic_n,h10_monotonic_q_means,h20_Q1_mean,h20_Q2_mean,h20_Q3_mean,h20_Q4_mean,h20_Q5_mean,h20_spread_mean,h20_spread_annualized,h20_spread_hac_tstat,h20_spread_n,h20_ic_mean,h20_ic_hac_tstat,h20_ic_n,h20_monotonic_q_means,gross_cagr,net_cagr,turnover_annual,cost_drag_annual_simple,sharpe,max_drawdown,factor_alpha_annual,factor_alpha_tstat,factor_betas,factor_r2,n_rebalances
residual_momentum_60d,UNRESOLVED / UNDERPOWERED,0.0005480847787122842,0.00041049969995854245,0.00034692751779245417,0.0002928423573438437,0.00019468724909694124,-0.00035339752961534304,-0.08522021727237783,-2.729534167380919,4469,0.0008753177337987173,0.6233290773103741,4469,False,0.0024148662458692567,0.00189686286807619,0.0017168706651471625,0.0016053718189339287,0.0014052979361817745,-0.0010095683096874824,-0.04963384721316366,-1.64650558465908,4469,-0.001478501346926579,-0.5365601267409567,4469,False,0.004512184829505567,0.0037300146079557476,0.003545414301713932,0.0033394050686303602,0.0030616012103767618,-0.001450583619128805,-0.035920236619996104,-1.2361976658658695,4469,-0.003087544070979203,-0.82595092509468,4469,False,0.007753727258849898,0.007402718796044561,0.007134610049589211,0.006865304910226809,0.006439832665721784,-0.0013138945931281127,-0.01642949632389712,-0.5875470278433068,4469,-0.0018196140186640178,-0.3538933801812288,4469,False,0.05831723761249852,0.0524213229735917,5.589841640653317,0.005589841640653316,0.33542583467664927,-0.5682165769980128,0.02533241790068841,0.497686569300452,"{'Mkt-RF': 0.5665127631787856, 'SMB': 0.6152103172218205, 'HML': 0.12943282495484337, 'RMW': -0.3169502814088312, 'CMA': -0.24295248620577956, 'UMD': -0.10323798508543384}",0.33010190604311584,224
residual_momentum_126d,UNRESOLVED / UNDERPOWERED,0.0003842205045576593,0.00039799520511487105,0.0003497820482388137,0.0002675475390745466,0.0002554528459168327,-0.0001287676586408265,-0.031930638060713945,-0.953728703976914,4403,0.005763956804697666,3.6307819745161782,4403,False,0.001804754212524274,0.0017783732469756506,0.001646502235330025,0.0014913628494015439,0.0015588053920337743,-0.0002459488204905,-0.012320814672578173,-0.3691764851654142,4403,0.005606228439917667,1.7470460777161323,4403,False,0.003510358790292283,0.0035525504526868006,0.003173723105576683,0.003090781990239797,0.0032347165881965916,-0.00027564220209569135,-0.006923065399847661,-0.2119418705900739,4403,0.003756450530092003,0.8668760248592358,4403,False,0.0067656134179176096,0.007270380628818808,0.006427245217702826,0.006271078948846757,0.006635263013847306,-0.00013035040407030502,-0.0016411739440762574,-0.049883369966760065,4403,0.0033550534238711623,0.5714011615915602,4403,False,0.06463825391128442,0.06043120789872303,3.9633886402328313,0.003963388640232831,0.3724456726173623,-0.575314613703154,0.03573894737903793,0.7158663698054429,"{'Mkt-RF': 0.5471418544748247, 'SMB': 0.695695753190902, 'HML': 0.05186736994435303, 'RMW': -0.3496110349890317, 'CMA': -0.3241382089396635, 'UMD': -0.04702617735667156}",0.33695827254827526,220
residual_momentum_252d_ex20,UNRESOLVED / UNDERPOWERED,0.00030220343453863995,0.0003918510180488865,0.0003760726388397745,0.00037285473614954957,0.00039080487448136473,8.860143994272476e-05,0.022577677021805354,0.6604945384246295,4257,0.009157695749575612,5.282118310501813,4257,False,0.0016154530226824735,0.0019537536195134114,0.0018898383407326843,0.001771425583843462,0.0018562931011409558,0.00024084007845848253,0.012210829273715973,0.3761291424359856,4257,0.012055695749398928,3.57066080111785,4257,False,0.0033213423131162752,0.0038754301430607638,0.0037253707560275734,0.003458493290649097,0.003503191991555878,0.00018184967843960258,0.0045927095841062915,0.14134652066592726,4257,0.01164163541516841,2.537784426672502,4257,False,0.006828505364695683,0.007870525343799114,0.007412895758797525,0.006900343664987844,0.006915977429614297,8.747206491861392e-05,0.0011027073523754982,0.03239435673511015,4257,0.010662571178607149,1.701418975801515,4257,False,0.06452380384890444,0.061465927588084224,2.8792243645498927,0.002879224364549893,0.377404168994794,-0.6229962100126357,0.024771848176113442,0.4960939009455415,"{'Mkt-RF': 0.6066727564158723, 'SMB': 0.6780770093568165, 'HML': 0.09094148331254842, 'RMW': -0.30634150014626066, 'CMA': -0.2775110392626325, 'UMD': -0.03947135834098081}",0.3399196669406064,213
