formation_date,entry_date,exit_date,n_holdings,gross_return,net_return,turnover,cost,median_marketcap,median_adv_proxy
2001-07-24,2001-07-25,2001-08-22,263,-0.033436576431135526,-0.03443657643113553,1.0,0.001,811.4,
2001-08-21,2001-08-22,2001-09-26,262,-0.18616487440123758,-0.1864827182674086,0.31784386617100374,0.00031784386617100374,763.3,
2001-09-25,2001-09-26,2001-10-24,264,0.10584351753196228,0.10549836827823093,0.3451492537313433,0.0003451492537313433,602.1,
2001-10-23,2001-10-24,2001-11-21,259,0.0953524104431326,0.09503165572615146,0.32075471698113206,0.00032075471698113204,687.25,
2001-11-20,2001-11-21,2001-12-20,259,0.06933825110450961,0.06901125490679098,0.3269961977186312,0.00032699619771863115,760.25,
2001-12-19,2001-12-20,2002-01-22,262,-0.024047379976748103,-0.024408066999648866,0.3606870229007634,0.0003606870229007634,883.9,
2002-01-18,2002-01-22,2002-02-20,265,-0.04653557221631486,-0.04692279026142764,0.38721804511278196,0.000387218045112782,864.7,
2002-02-19,2002-02-20,2002-03-20,266,0.06994123420163983,0.06958675658969954,0.35447761194029853,0.0003544776119402985,841.7,
2002-03-19,2002-03-20,2002-04-18,264,0.005527023389451849,0.005124038314824984,0.40298507462686567,0.00040298507462686563,944.2,
2002-04-17,2002-04-18,2002-05-16,266,-0.04179858236027556,-0.042149328628932274,0.35074626865671643,0.0003507462686567164,918.85,
2002-05-15,2002-05-16,2002-06-14,268,-0.15847734237483616,-0.15879215718965098,0.3148148148148148,0.00031481481481481486,910.75,
2002-06-13,2002-06-14,2002-07-15,269,-0.10949710844982195,-0.10986007141278492,0.362962962962963,0.000362962962962963,896.55,
2002-07-12,2002-07-15,2002-08-12,270,-0.08886894733835493,-0.08914385508743242,0.27490774907749077,0.00027490774907749075,928.55,
2002-08-09,2002-08-12,2002-09-10,272,0.03487665261693674,0.03454760849928968,0.3290441176470588,0.00032904411764705883,806.35,
2002-09-09,2002-09-10,2002-10-08,266,-0.15428873098706558,-0.15454976039883028,0.2610294117647059,0.0002610294117647059,840.4,
2002-10-07,2002-10-08,2002-11-05,260,0.157591609586865,0.15728563943761126,0.30597014925373134,0.00030597014925373136,769.2,
2002-11-04,2002-11-05,2002-12-04,256,0.030210135796663963,0.02978705887358704,0.4230769230769231,0.0004230769230769231,1001.8499999999999,
2002-12-03,2002-12-04,2003-01-03,255,-0.03462048009920986,-0.034987667599209855,0.3671875,0.0003671875,877.4,
2003-01-02,2003-01-03,2003-02-03,254,-0.04824913154951466,-0.04858506904951466,0.3359375,0.0003359375,1048.8,
2003-01-31,2003-02-03,2003-03-04,252,-0.029256408654133478,-0.029645080529133477,0.388671875,0.000388671875,790.9,
2003-03-03,2003-03-04,2003-04-01,251,0.02443103731492981,0.024073329805048387,0.3577075098814229,0.0003577075098814229,867.45,
2003-03-31,2003-04-01,2003-04-30,250,0.11363703070914374,0.11330766562977866,0.32936507936507936,0.00032936507936507937,897.3,
2003-04-29,2003-04-30,2003-05-29,247,0.11352608404827004,0.11320208404827004,0.324,0.000324,813.6500000000001,
2003-05-28,2003-05-29,2003-06-26,248,0.03542666226555859,0.03503911206475537,0.38755020080321284,0.00038755020080321283,898.7,
2003-06-25,2003-06-26,2003-07-25,252,0.05814489042094963,0.057816827179842906,0.32806324110671936,0.00032806324110671935,888.4,
2003-07-24,2003-07-25,2003-08-22,251,0.08882080934889447,0.08851807497389447,0.302734375,0.000302734375,833.4000000000001,
2003-08-21,2003-08-22,2003-09-22,255,0.05408062457629707,0.05380718707629707,0.2734375,0.0002734375,805.05,
2003-09-19,2003-09-22,2003-10-20,256,0.027456486860728987,0.02721329619925039,0.24319066147859922,0.0002431906614785992,892.8,
2003-10-17,2003-10-20,2003-11-17,260,0.02119131815995633,0.020957601684860546,0.23371647509578544,0.00023371647509578546,952.2,
2003-11-14,2003-11-17,2003-12-16,267,-0.03027181083109326,-0.030576643544847907,0.3048327137546468,0.0003048327137546468,882.8,
2003-12-15,2003-12-16,2004-01-15,283,0.12152497086548583,0.12120341609516781,0.3215547703180212,0.0003215547703180212,794.4,
2004-01-14,2004-01-15,2004-02-13,293,-0.0011312404547100998,-0.0014803929970829811,0.34915254237288135,0.00034915254237288134,797.3,
