regime,bucket,mean_spread,n
early,all,-0.006474509509635521,1993
early,large,-0.0013425933050844978,1993
early,small,-0.008607860234137787,1993
late,all,0.005862558107082545,2264
late,large,0.0032086155022907105,2264
late,small,0.008677913878195942,2264
bull,all,0.005500184741634953,3132
bull,large,0.004391734928902111,3132
bull,small,0.006637119817676204,3132
bear,all,-0.014984395119172787,1125
bear,large,-0.008147908228594354,1125
bear,small,-0.01626322461810033,1125
high_vol,all,-0.006623525364246257,2021
high_vol,large,-0.000962942562044295,2021
high_vol,small,-0.007703656307302356,2021
low_vol,all,0.006151734732948557,2236
low_vol,large,0.0029224615196978003,2236
low_vol,small,0.008077111346447702,2236
