regime,bucket,mean_spread,n
early,all,-0.0042087577223719275,2139
early,large,0.0011697983259660303,2139
early,small,-0.007855818323389023,2139
late,all,0.0037104493574232783,2264
late,large,0.003516856071596939,2264
late,small,0.005687719333003656,2264
bull,all,0.006387078847894084,3173
bull,large,0.007025274295816264,3173
bull,small,0.00875458419257513,3173
bear,all,-0.016966078542532667,1230
bear,large,-0.009615312662835933,1230
bear,small,-0.02577633696491848,1230
high_vol,all,-0.007847326584472663,2142
high_vol,large,-0.001646163869501039,2142
high_vol,small,-0.012403615510442135,2142
low_vol,all,0.007168022167621935,2261
low_vol,large,0.006187723915881484,2261
low_vol,small,0.010014128969287132,2261
