strategy,rebalance_date,period_end,symbol,rank,score,target_weight,holding_return,gross_return_contribution,actual_start_weight,ending_weight
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,GS,1,0.7875196376408078,0.2,0.03303779552744657,0.006607559105489314,0.20004000800160032,0.20242244606841492
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,MSFT,2,0.4513490224703516,0.2,-0.0012528456041481784,-0.0002505691208296357,0.20004000800160032,0.19489835338675832
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,CSCO,3,0.44058736674316745,0.2,0.020224720829344456,0.0040449441658688915,0.20004000800160035,0.1997425056313138
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,AXP,4,0.41116559972464284,0.2,0.031693901427512605,0.006338780285502521,0.20004000800160035,0.2015265717812933
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,JPM,5,0.3679420793852932,0.2,0.03148136222976072,0.006296272445952145,0.20004000800160032,0.20160607411824624
Dual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,GS,1,0.8251442469404124,0.2,-0.08161472489660582,-0.016322944979321165,0.20000036594870357,0.1907451496149585
Dual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,MSFT,2,0.4194165339748306,0.2,-0.06851150130095363,-0.013702300260190725,0.20000036594870363,0.19405055050403702
Dual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,AXP,3,0.4122469451628137,0.2,0.012985742261128363,0.002597148452225673,0.2000003659487036,0.2099622727263201
Dual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,CSCO,4,0.402673268338396,0.2,-0.07489008310836431,-0.014978016621672863,0.20000036594870363,0.19225802665437303
Dual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,JPM,5,0.3826312536388239,0.2,0.023592987952839817,0.004718597590567964,0.20000036594870363,0.21298591320310953
Dual Momentum,2021-10-01 00:00:00-04:00,2021-11-01 00:00:00-04:00,GS,1,0.4748390647449059,0.2,0.0991723088135883,0.01983446176271766,0.20001732689997268,0.19903382033450046
Dual Momentum,2021-10-01 00:00:00-04:00,2021-11-01 00:00:00-04:00,AXP,2,0.4155798506066497,0.2,0.03865864124141094,0.007731728248282188,0.20001732689997262,0.18889928035619052
Dual Momentum,2021-10-01 00:00:00-04:00,2021-11-01 00:00:00-04:00,JPM,3,0.3305323926179362,0.2,0.055345418212627395,0.01106908364252548,0.20001732689997268,0.1904079274379145
Dual Momentum,2021-10-01 00:00:00-04:00,2021-11-01 00:00:00-04:00,MSFT,4,0.2800609003480947,0.2,0.1745359338462984,0.034907186769259684,0.20001732689997268,0.21476276845253037
Dual Momentum,2021-10-01 00:00:00-04:00,2021-11-01 00:00:00-04:00,HD,5,0.25815172873362213,0.2,0.1366756589734266,0.02733513179468532,0.20001732689997265,0.20697556641327994
Dual Momentum,2021-11-01 00:00:00-04:00,2021-12-01 00:00:00-05:00,GS,1,0.5229433546363447,0.2,-0.07486634777150791,-0.014973269554301583,0.20001688899732606,0.18948728323730998
Dual Momentum,2021-11-01 00:00:00-04:00,2021-12-01 00:00:00-05:00,AXP,2,0.49698003124120027,0.2,-0.10585414096646961,-0.021170828193293925,0.200016888997326,0.1809592912070046
Dual Momentum,2021-11-01 00:00:00-04:00,2021-12-01 00:00:00-05:00,HD,3,0.3994251058266127,0.2,0.08242061078741214,0.01648412215748243,0.200016888997326,0.22278621793991063
Dual Momentum,2021-11-01 00:00:00-04:00,2021-12-01 00:00:00-05:00,UNH,4,0.39349208674350944,0.2,-0.01933656732419531,-0.003867313464839062,0.200016888997326,0.1995266009966801
Dual Momentum,2021-11-01 00:00:00-04:00,2021-12-01 00:00:00-05:00,MSFT,5,0.3928188825609289,0.2,0.013227639835240446,0.002645527967048089,0.200016888997326,0.2073284330542833
Dual Momentum,2021-12-01 00:00:00-05:00,2022-01-03 00:00:00-05:00,HD,1,0.5825870254776637,0.2,0.03603755734048586,0.007207511468097172,0.20003152189970627,0.20063807372083875
Dual Momentum,2021-12-01 00:00:00-05:00,2022-01-03 00:00:00-05:00,MSFT,2,0.4615711284175419,0.2,0.0006566685148512441,0.00013133370297024882,0.20003152189970627,0.19507725314072977
Dual Momentum,2021-12-01 00:00:00-05:00,2022-01-03 00:00:00-05:00,CRM,3,0.3833011424158741,0.2,-0.05990576480014076,-0.011981152960028153,0.20003152189970627,0.18211149847699448
Dual Momentum,2021-12-01 00:00:00-05:00,2022-01-03 00:00:00-05:00,AAPL,4,0.36056740619792427,0.2,0.06179840198585884,0.012359680397171769,0.20003152189970627,0.20609803614264338
Dual Momentum,2021-12-01 00:00:00-05:00,2022-01-03 00:00:00-05:00,UNH,5,0.34887931751452306,0.2,0.10762165711702809,0.02152433142340562,0.20003152189970627,0.21622876142235706
Dual Momentum,2022-01-03 00:00:00-05:00,2022-02-01 00:00:00-05:00,AAPL,1,0.4169825906634088,0.2,-0.021481041560488245,-0.004296208312097649,0.20002021250898294,0.21275576018517964
Dual Momentum,2022-01-03 00:00:00-05:00,2022-02-01 00:00:00-05:00,UNH,2,0.37067812734629113,0.2,-0.0499999724297312,-0.00999999448594624,0.20002021250898294,0.2045930136812356
Dual Momentum,2022-01-03 00:00:00-05:00,2022-02-01 00:00:00-05:00,MSFT,3,0.35849304086162403,0.2,-0.07437034174653734,-0.014874068349307469,0.20002021250898294,0.20073761556677727
Dual Momentum,2022-01-03 00:00:00-05:00,2022-02-01 00:00:00-05:00,HD,4,0.33494469828105644,0.2,-0.11306628264156415,-0.022613256528312833,0.20002021250898294,0.1906993326721539
Dual Momentum,2022-01-03 00:00:00-05:00,2022-02-01 00:00:00-05:00,NKE,5,0.2402498779611888,0.2,-0.10762248575018685,-0.02152449715003737,0.20002021250898294,0.1913239488335208
Dual Momentum,2022-02-01 00:00:00-05:00,2022-03-01 00:00:00-05:00,AAPL,1,0.3248459389491605,0.2,-0.05229690559952238,-0.010459381119904477,0.20003565130999446,0.19012433051214073
Dual Momentum,2022-02-01 00:00:00-05:00,2022-03-01 00:00:00-05:00,CVX,2,0.291453062791835,0.2,0.12002176931919073,0.024004353863838146,0.20003565130999446,0.2225616362433631
Dual Momentum,2022-02-01 00:00:00-05:00,2022-03-01 00:00:00-05:00,MSFT,3,0.2422223662067795,0.2,-0.04315935211401811,-0.008631870422803624,0.20003565130999446,0.19301315336239344
Dual Momentum,2022-02-01 00:00:00-05:00,2022-03-01 00:00:00-05:00,PG,4,0.20990520315060923,0.2,-0.04030148844099668,-0.008060297688199337,0.20003565130999446,0.19400748815620633
Dual Momentum,2022-02-01 00:00:00-05:00,2022-03-01 00:00:00-05:00,UNH,5,0.1764424046864823,0.2,-0.008652612967056328,-0.0017305225934112656,0.20003565130999446,0.2004721704385169
Dual Momentum,2022-03-01 00:00:00-05:00,2022-04-01 00:00:00-04:00,CVX,1,0.43730735086164674,0.2,0.12254340759866822,0.024508681519733646,0.20002160563090987,0.2170455492584037
Dual Momentum,2022-03-01 00:00:00-05:00,2022-04-01 00:00:00-04:00,AAPL,2,0.33070959005556744,0.2,0.05664844721508788,0.011329689443017578,0.20002160563090987,0.2049226507147877
Dual Momentum,2022-03-01 00:00:00-05:00,2022-04-01 00:00:00-04:00,AXP,3,0.22415073023128684,0.2,-0.033235797376364506,-0.0066471594752729015,0.20002160563090987,0.1856765226017668
Dual Momentum,2022-03-01 00:00:00-05:00,2022-04-01 00:00:00-04:00,MSFT,4,0.20366039665950564,0.2,0.04375835774986436,0.008751671549972874,0.20002160563090987,0.20105915590788975
Dual Momentum,2022-03-01 00:00:00-05:00,2022-04-01 00:00:00-04:00,PG,5,0.17682724014838103,0.2,-0.005119102198015035,-0.0010238204396030071,0.20002160563090987,0.19140084436477148
Dual Momentum,2022-04-01 00:00:00-04:00,2022-05-02 00:00:00-04:00,CVX,1,0.5882234713750156,0.2,-0.03974683103673027,-0.007949366207346055,0.20006365085565064,0.19940164575614258
Dual Momentum,2022-04-01 00:00:00-04:00,2022-05-02 00:00:00-04:00,AAPL,2,0.27740897724984803,0.2,-0.09952288181726876,-0.019904576363453753,0.20006365085565064,0.18767823826480273
Dual Momentum,2022-04-01 00:00:00-04:00,2022-05-02 00:00:00-04:00,UNH,3,0.2718233175260609,0.2,0.000254492230654213,5.08984461308426e-05,0.20006365085565064,0.20631407634214516
Dual Momentum,2022-04-01 00:00:00-04:00,2022-05-02 00:00:00-04:00,TRV,4,0.22358840079357645,0.2,-0.07016999616664032,-0.014033999233328065,0.20006365085565064,0.19217986701037096
Dual Momentum,2022-04-01 00:00:00-04:00,2022-05-02 00:00:00-04:00,KO,5,0.17557898988633913,0.2,0.047328683098724955,0.009465736619744992,0.20006365085565064,0.2147566415400057
Dual Momentum,2022-05-02 00:00:00-04:00,2022-06-01 00:00:00-04:00,CVX,1,0.5941826687498402,0.2,0.13993908736153338,0.027987817472306678,0.2000138230210117,0.21870702764404976
Dual Momentum,2022-05-02 00:00:00-04:00,2022-06-01 00:00:00-04:00,UNH,2,0.24572979866759015,0.2,-0.02445120012439561,-0.004890240024879123,0.20001382302101167,0.1888002691527406
Dual Momentum,2022-05-02 00:00:00-04:00,2022-06-01 00:00:00-04:00,MRK,3,0.18560298956901278,0.2,0.03325076734323429,0.006650153468646858,0.2000138230210117,0.2013750891406579
Dual Momentum,2022-05-02 00:00:00-04:00,2022-06-01 00:00:00-04:00,TRV,4,0.16782654638741623,0.2,0.03825750380727433,0.0076515007614548665,0.2000138230210117,0.20270285766350798
Dual Momentum,2022-05-02 00:00:00-04:00,2022-06-01 00:00:00-04:00,KO,5,0.15912005986400923,0.2,-0.028492624359373386,-0.0056985248718746774,0.20001382302101173,0.1884820313625673
Dual Momentum,2022-06-01 00:00:00-04:00,2022-07-01 00:00:00-04:00,CVX,1,0.8294786719885716,0.2,-0.17048597743412963,-0.03409719548682593,0.20003412100187876,0.1707399556494269
Dual Momentum,2022-06-01 00:00:00-04:00,2022-07-01 00:00:00-04:00,MRK,2,0.23620242225120558,0.2,0.004114726459919726,0.0008229452919839453,0.20003412100187876,0.2089784153343367
Dual Momentum,2022-06-01 00:00:00-04:00,2022-07-01 00:00:00-04:00,UNH,3,0.1992106130460387,0.2,0.03176071339100783,0.006352142678201567,0.20003412100187876,0.2155881703489241
Dual Momentum,2022-06-01 00:00:00-04:00,2022-07-01 00:00:00-04:00,AMGN,4,0.17437744511306352,0.2,-0.05673168931219308,-0.011346337862438617,0.20003412100187876,0.19663525160279124
