date,period,symbol,pnl,return_contribution,security_close_return
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,__cash_interest__,0.0,0.0,
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,__costs__,-2.2,-0.00022,
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,KO,-8.11715368511739,-0.000811715368511739,
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,JNJ,-8.744871147100143,-0.0008744871147100143,
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,CSCO,23.854881922422944,0.0023854881922422944,
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,MCD,1.6703995876952331,0.0001670399587695233,
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,MSFT,9.233265599237448,0.0009233265599237449,
2021-08-24 00:00:00-04:00,2021-08-23 00:00:00-04:00,__cash_interest__,-0.00031477144997696323,-3.142781425903246e-08,
2021-08-24 00:00:00-04:00,2021-08-23 00:00:00-04:00,KO,-15.175333937909517,-0.001515155127170257,-0.007618587592129189
2021-08-24 00:00:00-04:00,2021-08-23 00:00:00-04:00,JNJ,-24.88981316368346,-0.0024850806040621317,-0.012499560103090168
2021-08-24 00:00:00-04:00,2021-08-23 00:00:00-04:00,CSCO,26.96607428635757,0.0026923813262890923,0.013324114553481703
2021-08-24 00:00:00-04:00,2021-08-23 00:00:00-04:00,MCD,-10.272949678526459,-0.001025684999108862,-0.005132188436539065
2021-08-24 00:00:00-04:00,2021-08-23 00:00:00-04:00,MSFT,-13.388438531615588,-0.0013367456274096087,-0.006663456533814949
2021-08-25 00:00:00-04:00,2021-08-23 00:00:00-04:00,__cash_interest__,-0.00031481648682501806,-3.1548102405214664e-08,
2021-08-25 00:00:00-04:00,2021-08-23 00:00:00-04:00,KO,2.1176663258893913,0.00021221364479035928,0.0010713098992287673
2021-08-25 00:00:00-04:00,2021-08-23 00:00:00-04:00,JNJ,-13.005121162942599,-0.0013032573305755235,-0.006613786898689411
