date,n,observations,max_risk_contribution,top2_risk_contribution,risk_hhi,average_pairwise_correlation,maximum_pairwise_correlation,ex_ante_volatility
2021-08-23 00:00:00-04:00,5,60,0.29336351933404586,0.562298499746505,0.23961891042754255,0.37530532346764095,0.8919303124943005,0.14661254240917068
2021-09-01 00:00:00-04:00,5,60,0.2906508148936368,0.5704303665681147,0.24408543101719077,0.3745812820080595,0.8934938010952247,0.14955438632412466
2021-10-01 00:00:00-04:00,5,60,0.26640923421650925,0.5297654044811662,0.22497676733477856,0.46437541797767423,0.8852737372204275,0.1658013573497563
2021-11-01 00:00:00-04:00,5,60,0.25830038447050424,0.4951757793322358,0.20829862788705594,0.31153625072428043,0.5686338604572939,0.14693809886590573
2021-12-01 00:00:00-05:00,5,60,0.22457282297205475,0.43880221080829696,0.201539961867863,0.38895925061133,0.499942099365627,0.15896612132095503
2022-01-03 00:00:00-05:00,5,60,0.22374742899463063,0.4462528751016239,0.20307386701416863,0.385024853044175,0.5795579473386854,0.16074061667943224
2022-02-01 00:00:00-05:00,5,60,0.3060404753734119,0.5999877264725106,0.24257407194780553,0.2298967302155587,0.7054221367520274,0.14670444256064813
2022-03-01 00:00:00-05:00,5,60,0.28415864426408577,0.5585224083757332,0.2421704148255562,0.18162471059563107,0.75639098354308,0.1685459285546669
2022-04-01 00:00:00-04:00,5,60,0.2774205271147469,0.5521091130698874,0.23009190433248816,0.15006946437791582,0.5210156478190492,0.13855090439347467
2022-05-02 00:00:00-04:00,5,60,0.25058006758390233,0.4590858041716761,0.20544440139736206,0.34959867192037086,0.5940991924252036,0.163940839875719
2022-06-01 00:00:00-04:00,5,60,0.264815588158527,0.5201588856540191,0.22215581103033558,0.31791524109454855,0.6817671250144756,0.16249434556115053
2022-07-01 00:00:00-04:00,5,60,0.28426558980882344,0.5395743953784169,0.22101323504110995,0.40729864362903817,0.6430963549459667,0.1927384441615557
2022-08-01 00:00:00-04:00,5,60,0.3068898629953905,0.5433009032382482,0.22720269702058865,0.3656978104141201,0.6124520768938425,0.1931365306869383
2022-09-01 00:00:00-04:00,5,60,0.28496587909738774,0.5580437331773023,0.22277025923171376,0.398999238441928,0.6360007338584166,0.16374595671528336
2022-10-03 00:00:00-04:00,2,60,0.7511910753726798,1.0,0.6261939126937666,0.07119913649402698,0.07119913649402698,0.20099502436781383
2022-11-01 00:00:00-04:00,5,60,0.23973410309240045,0.46939388798370396,0.2046869388770817,0.4420224394904794,0.5941339011807312,0.1803476086797116
2022-12-01 00:00:00-05:00,5,60,0.282115542665718,0.5213996014684796,0.21551931220543394,0.41633902182739224,0.6932311343689271,0.21217760069565222
2023-01-03 00:00:00-05:00,5,60,0.22652846350206854,0.4517946170332874,0.2045474747250108,0.4104390427161232,0.6082493508259481,0.1740000375598712
2023-02-01 00:00:00-05:00,5,60,0.30731371452869094,0.5184386332673387,0.22464481588951327,0.3882839409099642,0.6789434057201835,0.17882771622310875
2023-03-01 00:00:00-05:00,5,60,0.31677990307092574,0.5360386858242089,0.2203364742512789,0.4067164047955565,0.6038997241085519,0.15942515642010396
2023-04-03 00:00:00-04:00,5,60,0.2652023220318409,0.5187263918521308,0.21767129791416756,0.3618712762404661,0.5619420808397273,0.1695911119825009
2023-05-01 00:00:00-04:00,5,60,0.22567739651400037,0.4506451914984174,0.20870155317536782,0.32653620270649647,0.501466134820607,0.19123200343511018
2023-06-01 00:00:00-04:00,5,60,0.2745596389516908,0.5134207265660606,0.22846562195297954,0.18944748737509529,0.4974996107358859,0.1553163987429954
2023-07-03 00:00:00-04:00,5,60,0.247051046588462,0.4522504048222181,0.2036785201325009,0.1775537566233367,0.4859683312809426,0.15275970899022243
