date,period,symbol,point,weight,target_weight
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,GS,start,0.20004000800160032,0.2
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,MSFT,start,0.20004000800160032,0.2
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,CSCO,start,0.20004000800160035,0.2
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,AXP,start,0.20004000800160035,0.2
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,JPM,start,0.20004000800160032,0.2
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,GS,close,0.19904729177795477,0.2
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,MSFT,close,0.20018538960002047,0.2
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,CSCO,close,0.20164218110867885,0.2
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,AXP,close,0.19830144737615304,0.2
2021-08-23 00:00:00-04:00,2021-08-23 00:00:00-04:00,JPM,close,0.20102295559136135,0.2
2021-08-24 00:00:00-04:00,2021-08-23 00:00:00-04:00,GS,close,0.20115454244216618,0.2
2021-08-24 00:00:00-04:00,2021-08-23 00:00:00-04:00,MSFT,close,0.19745947750334916,0.2
2021-08-24 00:00:00-04:00,2021-08-23 00:00:00-04:00,CSCO,close,0.20289855652800426,0.2
2021-08-24 00:00:00-04:00,2021-08-23 00:00:00-04:00,AXP,close,0.19783384177118965,0.2
2021-08-24 00:00:00-04:00,2021-08-23 00:00:00-04:00,JPM,close,0.20085148063692607,0.2
2021-08-25 00:00:00-04:00,2021-08-23 00:00:00-04:00,GS,close,0.20094779455817272,0.2
2021-08-25 00:00:00-04:00,2021-08-23 00:00:00-04:00,MSFT,close,0.19468603687121097,0.2
2021-08-25 00:00:00-04:00,2021-08-23 00:00:00-04:00,CSCO,close,0.2005541314262724,0.2
2021-08-25 00:00:00-04:00,2021-08-23 00:00:00-04:00,AXP,close,0.20148710781014098,0.2
2021-08-25 00:00:00-04:00,2021-08-23 00:00:00-04:00,JPM,close,0.20252047064634646,0.2
2021-08-26 00:00:00-04:00,2021-08-23 00:00:00-04:00,GS,close,0.20110571668699434,0.2
2021-08-26 00:00:00-04:00,2021-08-23 00:00:00-04:00,MSFT,close,0.19328738408669216,0.2
2021-08-26 00:00:00-04:00,2021-08-23 00:00:00-04:00,CSCO,close,0.20054906751772567,0.2
2021-08-26 00:00:00-04:00,2021-08-23 00:00:00-04:00,AXP,close,0.20117814126692196,0.2
2021-08-26 00:00:00-04:00,2021-08-23 00:00:00-04:00,JPM,close,0.20407575034854084,0.2
2021-08-27 00:00:00-04:00,2021-08-23 00:00:00-04:00,GS,close,0.20286956463824887,0.2
2021-08-27 00:00:00-04:00,2021-08-23 00:00:00-04:00,MSFT,close,0.19200411282275642,0.2
2021-08-27 00:00:00-04:00,2021-08-23 00:00:00-04:00,CSCO,close,0.19819437360299497,0.2
2021-08-27 00:00:00-04:00,2021-08-23 00:00:00-04:00,AXP,close,0.20320579654324733,0.2
2021-08-27 00:00:00-04:00,2021-08-23 00:00:00-04:00,JPM,close,0.20392052900746274,0.2
2021-08-30 00:00:00-04:00,2021-08-23 00:00:00-04:00,GS,close,0.2016700696046829,0.2
2021-08-30 00:00:00-04:00,2021-08-23 00:00:00-04:00,MSFT,close,0.19618002902420084,0.2
2021-08-30 00:00:00-04:00,2021-08-23 00:00:00-04:00,CSCO,close,0.2002960914483992,0.2
2021-08-30 00:00:00-04:00,2021-08-23 00:00:00-04:00,AXP,close,0.19964296433371106,0.2
2021-08-30 00:00:00-04:00,2021-08-23 00:00:00-04:00,JPM,close,0.20240694608053275,0.2
2021-08-31 00:00:00-04:00,2021-08-23 00:00:00-04:00,GS,close,0.20242244606841492,0.2
2021-08-31 00:00:00-04:00,2021-08-23 00:00:00-04:00,MSFT,close,0.19489835338675832,0.2
2021-08-31 00:00:00-04:00,2021-08-23 00:00:00-04:00,CSCO,close,0.1997425056313138,0.2
2021-08-31 00:00:00-04:00,2021-08-23 00:00:00-04:00,AXP,close,0.2015265717812933,0.2
2021-08-31 00:00:00-04:00,2021-08-23 00:00:00-04:00,JPM,close,0.20160607411824624,0.2
2021-09-01 00:00:00-04:00,2021-09-01 00:00:00-04:00,GS,start,0.20000036594870357,0.2
2021-09-01 00:00:00-04:00,2021-09-01 00:00:00-04:00,MSFT,start,0.20000036594870363,0.2
2021-09-01 00:00:00-04:00,2021-09-01 00:00:00-04:00,CSCO,start,0.20000036594870363,0.2
2021-09-01 00:00:00-04:00,2021-09-01 00:00:00-04:00,AXP,start,0.2000003659487036,0.2
2021-09-01 00:00:00-04:00,2021-09-01 00:00:00-04:00,JPM,start,0.20000036594870363,0.2
2021-09-01 00:00:00-04:00,2021-09-01 00:00:00-04:00,GS,close,0.20090248352656068,0.2
2021-09-01 00:00:00-04:00,2021-09-01 00:00:00-04:00,MSFT,close,0.19997061416792913,0.2
2021-09-01 00:00:00-04:00,2021-09-01 00:00:00-04:00,CSCO,close,0.20072764697476267,0.2
2021-09-01 00:00:00-04:00,2021-09-01 00:00:00-04:00,AXP,close,0.19836764322723272,0.2
2021-09-01 00:00:00-04:00,2021-09-01 00:00:00-04:00,JPM,close,0.2000334478786095,0.2
2021-09-02 00:00:00-04:00,2021-09-01 00:00:00-04:00,GS,close,0.2013775153664394,0.2
2021-09-02 00:00:00-04:00,2021-09-01 00:00:00-04:00,MSFT,close,0.199586521573348,0.2
2021-09-02 00:00:00-04:00,2021-09-01 00:00:00-04:00,CSCO,close,0.20246099363093512,0.2
