date,symbol,capital_weight,standalone_vol,variance_contribution,absolute_risk_share,risk_to_capital
2021-08-23 00:00:00-04:00,GS,0.2,0.247238926864489,0.29336351933404586,0.29336351933404586,1.4668175966702293
2021-08-23 00:00:00-04:00,MSFT,0.2,0.14225154772648485,0.06971743279759925,0.06971743279759925,0.3485871639879962
2021-08-23 00:00:00-04:00,CSCO,0.2,0.15608649591812931,0.11817381863723295,0.11817381863723295,0.5908690931861647
2021-08-23 00:00:00-04:00,AXP,0.2,0.23561977788762242,0.2689349804124591,0.2689349804124591,1.3446749020622955
2021-08-23 00:00:00-04:00,JPM,0.2,0.2097921958233297,0.24981024881866298,0.24981024881866298,1.2490512440933148
2021-09-01 00:00:00-04:00,GS,0.2,0.2469455417232994,0.2906508148936368,0.2906508148936368,1.4532540744681839
2021-09-01 00:00:00-04:00,MSFT,0.2,0.13736930977978812,0.06168079543475728,0.06168079543475728,0.30840397717378637
2021-09-01 00:00:00-04:00,AXP,0.2,0.2491478258093169,0.27977955167447793,0.27977955167447793,1.3988977583723896
2021-09-01 00:00:00-04:00,CSCO,0.2,0.15512257764699025,0.11374713202541646,0.11374713202541646,0.5687356601270823
2021-09-01 00:00:00-04:00,JPM,0.2,0.21585393088208485,0.25414170597171154,0.25414170597171154,1.2707085298585576
2021-10-01 00:00:00-04:00,GS,0.2,0.24744181931711112,0.26640923421650925,0.26640923421650925,1.3320461710825462
2021-10-01 00:00:00-04:00,AXP,0.2,0.2508208298127688,0.26335617026465685,0.26335617026465685,1.3167808513232842
2021-10-01 00:00:00-04:00,JPM,0.2,0.22242453957191355,0.23790625495973053,0.23790625495973053,1.1895312747986526
2021-10-01 00:00:00-04:00,MSFT,0.2,0.16246764462573246,0.09315547866043636,0.09315547866043636,0.46577739330218176
2021-10-01 00:00:00-04:00,HD,0.2,0.18107300776753965,0.13917286189866698,0.13917286189866698,0.6958643094933349
2021-11-01 00:00:00-04:00,GS,0.2,0.23448987471076446,0.23687539486173156,0.2368753948617316,1.1843769743086578
2021-11-01 00:00:00-04:00,AXP,0.2,0.2724381730479177,0.25830038447050424,0.2583003844705043,1.291501922352521
2021-11-01 00:00:00-04:00,HD,0.2,0.1809787278393724,0.15725624027689977,0.1572562402768998,0.7862812013844989
2021-11-01 00:00:00-04:00,UNH,0.2,0.2043916298125324,0.18678996912871834,0.18678996912871837,0.9339498456435916
2021-11-01 00:00:00-04:00,MSFT,0.2,0.20136659543424998,0.16077801126214594,0.16077801126214597,0.8038900563107296
2021-12-01 00:00:00-05:00,HD,0.2,0.20139649034357907,0.17508677107942344,0.17508677107942344,0.8754338553971172
