rebalance_date,next_rebalance_date,symbol,rank,momentum_score,incumbent,forward_return,spy_forward_return,active_return,volatility_63d,beta_spy_126d,log_dollar_volume_20d,distance_from_252d_high,momentum_acceleration_63_189,volatility_63d_z,beta_spy_126d_z,log_dollar_volume_20d_z,distance_from_252d_high_z,momentum_acceleration_63_189_z
2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,GS,1,0.7875196376408078,,0.0330377955274465,0.0166233494732019,0.016414446054244598,0.2428278256321325,0.9197412197330935,20.411066717561617,-0.04609652066257364,-0.7030251745236651,1.0607575930838846,-0.5023207474568137,-0.5411833365014135,-0.21463958090539642,-1.6127818711437398
2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,MSFT,2,0.4513490224703516,,-0.0012528456041481,0.0166233494732019,-0.01787619507735,0.14448921579049956,1.1716080345566822,22.507319278400406,0.0,-0.20754806150370397,-1.181721976938258,1.4426770857109783,1.710686354523709,1.0363350018487894,1.0855614208772613
2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,CSCO,3,0.4405873667431674,,0.0202247208293444,0.0166233494732019,0.0036013713561425,0.15712540889377144,1.023935936319792,20.40165655373971,0.0,-0.3224123566153445,-0.8935706097125512,0.3023048961818918,-0.551292072010677,1.0363350018487894,0.46001628052134474
2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,AXP,4,0.4111655997246428,,0.0316939014275126,0.0166233494732019,0.015070551954310698,0.23115983683591457,0.9863762053107239,20.27529670341482,-0.0797811617857136,-0.39014910410789416,0.7946848212508971,0.01225638193768554,-0.6870323556123964,-1.128778636707441,0.0911253803830809
2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,JPM,5,0.3679420793852932,,0.0314813622297607,0.0166233494732019,0.014858012756558802,0.20595183002919035,0.8222839511501313,20.97891663189587,-0.06505920182035985,-0.41127427115036985,0.2198501723160276,-1.2549176163737437,0.06882140960077024,-0.7292517860847415,-0.02392121063794765
2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,GS,1,0.8251442469404124,True,-0.0816147248966058,-0.0446335289386206,-0.036981195957985206,0.24326463306896037,0.9291363785016217,20.490197567593402,-0.009937527357892217,-0.7414823744125418,0.9210497292088441,-0.7697763099228379,-0.4464070773411517,0.608400011365154,-1.6155348671313834
2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,MSFT,2,0.4194165339748306,True,-0.0685115013009536,-0.0446335289386206,-0.023877972362333,0.1410896836123687,1.2059961765126637,22.480059335351562,-0.009092413071172034,-0.1963762795196009,-1.1806789688150972,1.2961801270031463,1.6830996428385498,0.6574925690666631,1.0104068355397495
2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,AXP,3,0.4122469451628137,True,0.0129857422611283,-0.0446335289386206,0.0576192711997489,0.24338140804735242,1.062982619746466,20.10195616649307,-0.04400937253588444,-0.3983968742923798,0.9234517790713885,0.22899818043168402,-0.8618945680257902,-1.3708281849643336,0.03721224171218413
2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,CSCO,4,0.402673268338396,True,-0.0748900831083643,-0.0446335289386206,-0.030256554169743703,0.15391015825304905,1.0933827662738747,20.472258454599768,-0.0055602251528616975,-0.2804776962318525,-0.9169630617565523,0.45584721685006685,-0.46560512531261755,0.8626768168270347,0.605264755002568
2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,JPM,5,0.3826312536388239,True,0.0235929879528398,-0.0446335289386206,0.06822651689146039,0.2107944148516693,0.869974386038578,20.99218330816828,-0.033455256314122384,-0.41387466203121415,0.2531405222914162,-1.211249214362062,0.0908071278410171,-0.7577412122945182,-0.03734896512311919
2021-10-01 00:00:00-04:00,2021-11-01 00:00:00-04:00,GS,1,0.4748390647449059,True,0.0991723088135883,0.0680311573192442,0.0311411514943441,0.24299197734335273,1.3309597765726575,20.579752198700277,-0.09488679403710598,-0.4618334883017772,0.8729041098198479,1.2922865520741889,-0.4913006396460269,-1.2915620292174916,-1.2986648954205893
2021-10-01 00:00:00-04:00,2021-11-01 00:00:00-04:00,AXP,2,0.4155798506066497,True,0.0386586412414109,0.0680311573192442,-0.029372516077833297,0.2463159303133446,1.239921378696198,20.17573913030256,-0.052271440981060735,-0.41204605380608506,0.963320751061698,0.4830742470022992,-0.9106876640807646,0.13644686926802707,-0.8237344236206954
2021-10-01 00:00:00-04:00,2021-11-01 00:00:00-04:00,JPM,3,0.3305323926179362,True,0.0553454182126273,0.0680311573192442,-0.012685739106616897,0.2199562651345472,1.1373977901095869,21.18812302424103,-0.019702991326640884,-0.28244727733024755,0.2462972518596458,-0.42822638415551406,0.14022059130899445,1.2277914805686652,0.41252947870357853
2021-10-01 00:00:00-04:00,2021-11-01 00:00:00-04:00,MSFT,4,0.2800609003480947,True,0.1745359338462984,0.0680311573192442,0.1065047765270542,0.16522664712011342,1.1895808037617661,22.65111792793052,-0.07633879897907137,-0.240077174598484,-1.2424326676032889,0.035612366833719364,1.6588870093406072,-0.6700324608221511,0.8167048109824004
2021-10-01 00:00:00-04:00,2021-11-01 00:00:00-04:00,HD,5,0.2581517287336221,False,0.1366756589734266,0.0680311573192442,0.0686445016541824,0.18001783965836163,1.0300118702549568,20.670481026829172,-0.03851675686912881,-0.23206177373498393,-0.8400894451379013,-1.3827467817546932,-0.397119296922799,0.5973561402029505,0.8931650293553062
2021-11-01 00:00:00-04:00,2021-12-01 00:00:00-05:00,GS,1,0.5229433546363447,True,-0.0748663477715079,0.0029112157771542,-0.0777775635486621,0.23161351287783102,1.3678771426823486,20.610490479077665,-0.010320753306154895,-0.42466367843821207,0.44213160733677637,1.1828916691468543,-0.3697715774439292,0.2039084968288392,-0.865414725801044
2021-11-01 00:00:00-04:00,2021-12-01 00:00:00-05:00,AXP,2,0.4969800312412002,True,-0.1058541409664696,0.0029112157771542,-0.1087653567436238,0.26669037461626294,1.2238078435678361,20.14604242786388,-0.07109265386313968,-0.4677838354648074,1.4816608957686588,0.5581730424518713,-0.838872048417252,-1.771366015006803,-1.266289050645205
2021-11-01 00:00:00-04:00,2021-12-01 00:00:00-05:00,HD,3,0.3994251058266127,True,0.0824206107874121,0.0029112157771542,0.0795093950102579,0.17931307535881694,0.9622056886593302,20.604437926997676,-0.0015579156625292745,-0.2575938209676487,-1.1078313569739333,-0.5761959033218611,-0.37588475850668407,0.4887277914397955,0.6877803674824647
2021-11-01 00:00:00-04:00,2021-12-01 00:00:00-05:00,UNH,4,0.3934920867435094,False,-0.0193365673241953,0.0029112157771542,-0.022247783101349502,0.20821053139947804,0.7763654330583702,20.831454952908448,0.0,-0.28155845783181555,-0.25143342321787476,-1.3820432974387489,-0.14659368172124818,0.5393648633690841,0.4649887942251329
2021-11-01 00:00:00-04:00,2021-12-01 00:00:00-05:00,MSFT,5,0.3928188825609289,True,0.0132276398352404,0.0029112157771542,0.0103164240580862,0.19764578292751728,1.1451685642630784,22.690547991110826,0.0,-0.22627573426921144,-0.5645277229136304,0.21717448916188248,1.7311220660891171,0.5393648633690841,0.9789346147386516
2021-12-01 00:00:00-05:00,2022-01-03 00:00:00-05:00,HD,1,0.5825870254776637,True,0.0360375573404858,0.035380950761124,0.0006566065793617987,0.19795535706491774,0.9416619368451759,20.953330841157218,-0.02790510299094584,-0.34815525408682624,-0.8145086919841544,-0.8888710971605808,-0.7445170554870307,0.33548958655007644,-0.8198320716422145
2021-12-01 00:00:00-05:00,2022-01-03 00:00:00-05:00,MSFT,2,0.4615711284175419,True,0.0006566685148512,0.035380950761124,-0.034724282246272796,0.20389871809762503,1.0780138851986276,22.77814732265552,-0.03648955881403815,-0.36446327072617546,-0.5914253040477344,0.7312751790392853,0.8794094805050418,0.04086251359998259,-1.2111463761876902
2021-12-01 00:00:00-05:00,2022-01-03 00:00:00-05:00,CRM,3,0.3833011424158741,False,-0.0599057648001407,0.035380950761124,-0.0952867155612647,0.26525318141319165,0.9861652904153263,21.060151872499468,-0.08065533397856317,-0.3090745689814438,1.7115075762088585,-0.36007819441318123,-0.6494557114244818,-1.4749508739291755,0.11791722377325325
2021-12-01 00:00:00-05:00,2022-01-03 00:00:00-05:00,AAPL,4,0.3605674061979242,False,0.0617984019858588,0.035380950761124,0.0264174512247348,0.21362294588825564,1.1306668457032016,23.23548069160599,0.0,-0.2702612961554196,-0.22642750757175434,1.3569024540618257,1.2863960466410127,1.2932205113778408,1.0492499050511381
2021-12-01 00:00:00-05:00,2022-01-03 00:00:00-05:00,UNH,5,0.348879317514523,True,0.107621657117028,0.035380950761124,0.07224070635590399,0.21754680032456555,0.94583988457228,20.922636011605373,-0.04335078894882516,-0.27798944591044084,-0.0791460726052111,-0.8392283415273492,-0.7718327602345387,-0.19462173759872478,0.8638113190055147
2022-01-03 00:00:00-05:00,2022-02-01 00:00:00-05:00,AAPL,1,0.4169825906634088,True,-0.0214810415604882,-0.0537897150820693,0.032308673521581094,0.24030865589631226,1.2125236533959523,23.630717391981023,-0.015305445793068473,-0.17037052605907155,0.8572038483535388,1.2867681781587021,1.3292009940942724,0.2441527915228314,-0.8434189625621565
2022-01-03 00:00:00-05:00,2022-02-01 00:00:00-05:00,UNH,2,0.3706781273462911,True,-0.0499999724297312,-0.0537897150820693,0.003789742652338099,0.20353077814259188,0.831356900701367,20.93928216704669,-0.0068041071660459584,-0.08693894920476386,-1.2236638615788638,-0.9719117548960382,-0.6506339383564224,0.6206843235355124,0.7199889354142218
2022-01-03 00:00:00-05:00,2022-02-01 00:00:00-05:00,MSFT,3,0.358493040861624,True,-0.0743703417465373,-0.0537897150820693,-0.020580626664468,0.22477065958224643,1.1387359422452104,22.917535728641386,-0.019789422871747897,-0.1930299682167289,-0.021925584385890463,0.8495243175543095,0.8045805398540801,0.04555362578930083,-1.2680297894063257
2022-01-03 00:00:00-05:00,2022-02-01 00:00:00-05:00,HD,4,0.3349446982810564,True,-0.1130662826415641,-0.0537897150820693,-0.0592765675594948,0.2123341481319175,0.8978038629133521,21.056329982345666,-0.0028112003012306097,-0.07160102286389303,-0.7255750791851441,-0.578166972331246,-0.5645329052165293,0.7975335710427183,1.0074033183614777
2022-01-03 00:00:00-05:00,2022-02-01 00:00:00-05:00,NKE,5,0.2402498779611888,False,-0.1076224857501868,-0.0537897150820693,-0.05383277066811751,0.2448466528116518,0.8964459143545883,20.574982687445374,-0.05937949290796962,-0.10486605126825799,1.1139606767963564,-0.5862137684857314,-0.9186146903754111,-1.707924311890363,0.3840564981927832
2022-02-01 00:00:00-05:00,2022-03-01 00:00:00-05:00,AAPL,1,0.3248459389491605,True,-0.0522969055995223,-0.0347030187785348,-0.017593886820987496,0.2916735553933303,1.303624593344457,23.581215155319455,-0.03972318195363167,-0.1563875300279789,1.3140308613074159,1.118356622252984,1.1790935880602122,0.31259094055633624,0.08899429906653111
2022-02-01 00:00:00-05:00,2022-03-01 00:00:00-05:00,CVX,2,0.291453062791835,False,0.1200217693191907,-0.0347030187785348,0.1547247880977255,0.21797101382265263,0.5744946691141162,21.198218743767093,-0.029844147059540194,-0.13110841822722796,-0.159186454000531,-0.5662601118054025,-0.7105286671359272,0.6375977077457264,0.39413841190800675
2022-02-01 00:00:00-05:00,2022-03-01 00:00:00-05:00,MSFT,3,0.2422223662067795,True,-0.0431593521140181,-0.0347030187785348,-0.008456333335483297,0.25480494579760415,1.1952683114157223,23.359179261170983,-0.09364330600791426,-0.30274647241845654,0.5770756235336114,0.8680050734941257,1.0030278730631803,-1.4613075620002631,-1.677704229907587
2022-02-01 00:00:00-05:00,2022-03-01 00:00:00-05:00,PG,4,0.2099052031506092,False,-0.0403014884409966,-0.0347030187785348,-0.0055984696624617955,0.15981807874477005,0.2623384413272958,21.053453014021898,-0.017622052052972847,-0.08174038964521824,-1.3215874929193818,-1.2874808263787527,-0.8253221865009144,1.0396879553205987,0.9900597956625766
2022-02-01 00:00:00-05:00,2022-03-01 00:00:00-05:00,UNH,5,0.1764424046864823,True,-0.0086526129670563,-0.0347030187785348,0.0260504058114785,0.20540660496176397,0.7621809381091925,21.279254371462894,-0.06529141515480286,-0.14681769807482814,-0.41033253792111546,-0.1326207575629555,-0.6462706074865538,-0.5285690416223982,0.20451172327047198
