strategy,rebalance_date,next_rebalance_date,symbol,rank,score,qualifies_absolute_filter,selected_by_canonical,universe_size,rank_percentile_from_top,forward_return,forward_mfe,forward_mae,spy_forward_return,universe_median_forward_return,universe_top_quartile_threshold,beat_spy,beat_universe_median,future_top_quartile
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,KO,1,-0.003339323750220391,True,True,29,0.0,-0.005117242975526404,0.001411714022227173,-0.021527914886103283,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,JNJ,2,-0.0037212702140352327,True,True,29,0.03571428571428571,-0.030775213092632647,0.003027037883179373,-0.033129735361615564,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,CSCO,3,-0.00392859135753143,True,True,29,0.07142857142857142,0.020224720829344456,0.041832347224669775,-0.0019014139767609128,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,MCD,4,-0.003964519390041832,True,True,29,0.10714285714285714,-0.001151990423891469,0.0038838369197295997,-0.015033588747105808,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,MSFT,5,-0.004251480338590907,True,True,29,0.14285714285714285,-0.0012528456041481784,0.00791416471888895,-0.021170390452368126,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,VZ,6,-0.004620522210605715,True,False,29,0.17857142857142858,-0.009901026120352374,0.0028802853215048607,-0.018361847625708916,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,PG,7,-0.00489191710020076,True,False,29,0.21428571428571427,-0.013583235459303178,0.007277033062685012,-0.019543651018690933,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,MMM,8,-0.005362363657252955,True,False,29,0.25,-0.0023075820545493952,0.011743765700360065,-0.011692270476102773,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,UNH,9,-0.006308911125801675,True,False,29,0.2857142857142857,-0.0325623628669649,0.0,-0.03795067478913283,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,WMT,10,-0.006350499807374788,True,False,29,0.32142857142857145,-0.02619913369308735,0.001715896352307844,-0.03636228094526561,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,AAPL,11,-0.006634052619940656,True,False,29,0.35714285714285715,0.030476668708101284,0.034926893639624534,-0.00997902988942101,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,HD,12,-0.0066864313674573905,True,False,29,0.39285714285714285,-0.008438342624938255,0.0016060569069600295,-0.03136318454858922,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,MRK,13,-0.006858811296123868,True,False,29,0.42857142857142855,-0.036531342530389144,0.0015169099438272493,-0.03893306047596323,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,V,14,-0.006933168986617,True,False,29,0.4642857142857143,-0.01547058814445279,0.014997988090456493,-0.017361309620198884,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,HON,15,-0.006955035992207592,True,False,29,0.5,0.028158235989242497,0.03085062295581653,0.0,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,IBM,16,-0.008178132352111844,True,False,29,0.5357142857142857,0.002578613158768839,0.00945431230906868,-0.008737713152670357,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,TRV,17,-0.008705061743856657,True,False,29,0.5714285714285714,-0.012878601170624338,0.011021064655301283,-0.0173363001924991,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,JPM,18,-0.008839599411425758,True,False,29,0.6071428571428571,0.03148136222976072,0.05472237013485359,-0.0005793879922082468,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,AMGN,19,-0.010247978422211035,True,False,29,0.6428571428571429,0.0061111756687894925,0.014541930021113814,-0.01793194892745975,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,True,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,DIS,20,-0.011140808244528677,True,False,29,0.6785714285714286,0.027558209860939265,0.03331821603672647,-0.006607172785448534,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,AXP,21,-0.011342972462872858,True,False,29,0.7142857142857143,0.031693901427512605,0.0475100937333619,-0.006946567926976677,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,INTC,22,-0.01143722224818855,True,False,29,0.75,0.028902845470707206,0.043354167190257975,-0.002091664005179794,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,GS,23,-0.011920155011383882,True,False,29,0.7857142857142857,0.03303779552744657,0.04695340462590192,-0.007191058605836798,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,CRM,24,-0.012261157897022756,True,False,29,0.8214285714285714,0.036069955055611835,0.07089486055695993,-0.0016731232520671435,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,CVX,25,-0.013177547038433768,True,False,29,0.8571428571428571,0.008013618256869082,0.0350716256310617,-0.00031219461380127544,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,True,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,CAT,26,-0.013968814009849284,True,False,29,0.8928571428571429,0.01746660404450484,0.04077186584925574,-0.006851619633029271,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,DOW,27,-0.016589794708993244,True,False,29,0.9285714285714286,0.032682657990746655,0.07374023500606919,-0.0006504213906884937,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,NKE,28,-0.018739964417752275,True,False,29,0.9642857142857143,-0.02512755748025164,0.008557078632967396,-0.029383644230959627,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,BA,29,-0.024652570102673188,True,False,29,1.0,0.01932075306291048,0.033683937408070186,-0.002084960127991975,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,False
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,KO,1,-0.0031819974114223326,True,True,29,0.0,-0.05678706431876779,0.011528986756576876,-0.06304182718918583,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,False,False,False
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,VZ,2,-0.003300249633539809,True,True,29,0.03571428571428571,-0.017818145826597243,0.009091016906951133,-0.018181799208429328,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,True,True,False
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,JNJ,3,-0.0037417808709797606,True,True,29,0.07142857142857142,-0.06576038817801,0.013417854296359666,-0.06645475612215679,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,False,False,False
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,MCD,4,-0.0037940577787198837,True,True,29,0.10714285714285714,0.02181786497285687,0.046326062640658305,-0.008113200296749334,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,True,True,True
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,WMT,5,-0.00401021308957672,True,True,29,0.14285714285714285,-0.0562486283892486,0.014163461159895085,-0.056316199438085746,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,False,False,False
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,MSFT,6,-0.0043626402563750055,True,False,29,0.17857142857142858,-0.06851150130095363,0.008089296104890176,-0.07016248867464014,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,False,False,False
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,CSCO,7,-0.004413430403463425,True,False,29,0.21428571428571427,-0.07489008310836431,0.011860509711244305,-0.07810921816790473,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,False,False,False
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,PG,8,-0.00483067626635969,True,False,29,0.25,-0.016862561114643015,0.03442700467713933,-0.019672701703342788,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,True,True,False
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,MMM,9,-0.005182397130015448,True,False,29,0.2857142857142857,-0.09406332701615794,0.00544859208047721,-0.09858626909794088,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,False,False,False
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,V,10,-0.005950318340653182,True,False,29,0.32142857142857145,-0.021518727177371355,0.018463614526964323,-0.05582722592707379,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,True,True,False
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,HD,11,-0.006096767207474985,True,False,29,0.35714285714285715,0.007955254663188471,0.0558422356653816,-0.01621820499721116,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,True,True,True
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,AAPL,12,-0.006111028617097669,True,False,29,0.39285714285714285,-0.07151770926067402,0.028986495425474157,-0.07563965470125933,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,False,False,False
