,weekly_net_return
2001-01-12,0.09058788106742752
2001-01-19,0.006606466996960526
2001-01-26,0.03003560291444789
2001-02-02,0.01845961812468713
2001-02-09,-0.05456746465548114
2001-02-16,0.0014975654129886246
2001-02-23,-0.0653179661699484
2001-03-02,-0.004396648437147503
2001-03-09,-0.04117209324797286
2001-03-16,-0.07523911336489715
2001-03-23,0.03578093144164509
2001-03-30,0.00259011636415964
2001-04-06,-0.06588158578812761
2001-04-12,0.09900572045118419
2001-04-20,0.05904149624421243
2001-04-27,0.04679492208489793
2001-05-04,0.05037956921658047
2001-05-11,-0.0007305229997533744
2001-05-18,0.05718438865899322
2001-05-25,0.025984747906676146
2001-06-01,-0.025384095806550305
2001-06-08,0.021553573081528242
2001-06-15,-0.05216405088684721
2001-06-22,-0.03128549454146845
2001-06-29,0.04950933331090495
2001-07-06,-0.022696612424564125
2001-07-13,0.02631225178442986
2001-07-20,-0.010231752133381285
2001-07-27,-0.006731346622235519
2001-08-03,0.008851836940729052
2001-08-10,-0.03302247791817541
2001-08-17,-0.021725574236018723
2001-08-24,0.016664796471432836
2001-08-31,-0.032196135171704374
2001-09-07,-0.04838418180084879
2001-09-10,-0.04950896663516397
2001-09-21,-0.1206001695979253
2001-09-28,0.04628692363414343
2001-10-05,0.10013522479581832
2001-10-12,0.04941636477622807
2001-10-19,-0.00041447008414913325
2001-10-26,0.05514342969778474
2001-11-02,-0.002413221017760349
2001-11-09,0.04172988865002913
2001-11-16,0.04130738746237728
2001-11-23,0.01477418641185644
2001-11-30,0.006372934119697217
2001-12-07,0.04253114868334626
2001-12-14,-0.02478016653394449
2001-12-21,0.018646614286481636
2001-12-28,0.0361379232780779
2002-01-04,0.0401209290760453
2002-01-11,-0.026079761516219813
2002-01-18,-0.03157580959571534
2002-01-25,0.023630960118162368
2002-02-01,-0.01566178636449558
2002-02-08,-0.043052688468121485
2002-02-15,0.009179396439969794
2002-02-22,-0.03723784144965874
2002-03-01,0.0607215118586559
2002-03-08,0.07827626990079714
2002-03-15,0.002933612955316982
2002-03-22,-0.007843845145355204
2002-03-28,0.005455903653686596
2002-04-05,-0.036466168539821056
2002-04-12,0.015257624621138124
2002-04-19,0.0301974773252721
2002-04-26,-0.029442181157643223
2002-05-03,-0.01363599397665331
2002-05-10,-0.007685092743560379
2002-05-17,0.03617741088332361
2002-05-24,-0.011098624733619883
2002-05-31,-0.02272528282564086
2002-06-07,-0.042964531401066076
2002-06-14,-0.01843188627948211
2002-06-21,-0.013070060907866941
2002-06-28,0.025796890284689854
2002-07-05,-0.012750068872936867
2002-07-12,-0.05908599236868189
2002-07-19,-0.08137089100996214
2002-07-26,0.029932272855675564
2002-08-02,-0.02630354968621302
2002-08-09,0.03513936259124445
2002-08-16,0.051192467234422785
2002-08-23,0.049010316885226037
2002-08-30,-0.03858173840091198
2002-09-06,-0.00050591689121155
2002-09-13,-0.005636274647898811
2002-09-20,-0.07494223373570016
2002-09-27,-0.021744550796294726
2002-10-04,-0.054383646650138145
2002-10-11,0.012069423071346274
2002-10-18,0.06254592396555929
2002-10-25,0.0361662132765184
2002-11-01,0.030270209505905855
2002-11-08,-0.01798707607738456
2002-11-15,0.02985403228426391
2002-11-22,0.030308104439348022
2002-11-29,0.025805962004384994
2002-12-06,-0.034644459574641955
2002-12-13,-0.024384992038896484
2002-12-20,-0.01522718542753763
2002-12-27,-0.0017210110664323897
2003-01-03,0.03556639303788479
2003-01-10,0.02016942849251538
2003-01-17,-0.020355663354958305
2003-01-24,-0.04180778876002871
2003-01-31,-0.002241833811880717
2003-02-07,-0.03843260177664813
2003-02-14,-0.0016473853818633384
2003-02-21,0.01464612850888435
2003-02-28,-0.003587099638651433
2003-03-07,-0.036027901793374215
2003-03-14,0.010168382857129435
2003-03-21,0.05482116352023682
2003-03-28,0.0029289791713550334
2003-04-04,0.04909338587968251
2003-04-11,-0.022363489452814432
2003-04-17,0.046929868141526124
2003-04-25,0.02062763171469613
2003-05-02,0.048865144589583555
2003-05-09,0.017153632962689475
2003-05-16,0.006617006960650903
2003-05-23,0.008692442872454747
2003-05-30,0.05809867618167624
2003-06-06,0.026305756044577817
2003-06-13,0.0009580888608530986
2003-06-20,0.016659054249430535
2003-06-27,0.006909657861303495
2003-07-03,0.016137457209228108
2003-07-11,0.03274863775762009
2003-07-18,-0.021045272222886047
2003-07-25,0.009546741532673238
2003-08-01,5.789845913086833e-06
2003-08-08,-0.012700678574922571
2003-08-15,0.05609961561119972
2003-08-22,0.02673138958179136
2003-08-29,0.0314411850187771
2003-09-05,0.027044418170321872
2003-09-12,-0.005644779343402953
2003-09-19,0.013188534530559532
2003-09-26,-0.05006825423855351
2003-10-03,0.054945832294714204
2003-10-10,0.02737581648243939
2003-10-17,0.004641709560709562
2003-10-24,-0.023101037977017066
2003-10-31,0.04788724604981693
2003-11-07,0.018409603791105924
2003-11-14,-0.01887266969320722
2003-11-21,-0.00371856237171917
2003-11-28,0.049059795707902004
2003-12-05,-0.011513980800927586
2003-12-12,0.022795470883812046
2003-12-19,-0.015141778576572201
2003-12-26,0.022160774113129264
2004-01-02,0.017706815746464117
2004-01-09,0.02066277636103169
2004-01-16,0.01768635311179805
2004-01-23,0.014462003505769684
2004-01-30,-0.021303536962714528
2004-02-06,0.006444028991578255
2004-02-13,0.018810171955406994
2004-02-20,-0.015511609002800564
2004-02-27,0.007018364772113489
2004-03-05,0.018287144813711874
2004-03-12,-0.040225229939973836
2004-03-19,-0.01874502880076563
2004-03-26,0.014482291309011932
2004-04-02,0.04375688713152687
2004-04-08,0.0035205858906500872
2004-04-16,-0.021971273646503756
2004-04-23,0.01698990046073374
2004-04-30,-0.06266582502749685
2004-05-07,-0.020929489122698913
2004-05-14,-0.015044024770336588
2004-05-21,0.021496149677570648
2004-05-28,0.040704264435821036
2004-06-04,0.008377037009358351
2004-06-10,0.0029866659626178226
2004-06-18,-0.00462434786876864
2004-06-25,0.03213353930859912
2004-07-02,-0.009927232463927934
2004-07-09,-0.0339839016574063
2004-07-16,-0.026229541031581233
2004-07-23,-0.026916361692391547
2004-07-30,0.011959588049677663
2004-08-06,-0.04633463773567993
2004-08-13,-0.015254924315301434
2004-08-20,0.06236618251780157
2004-08-27,0.0013913048986603233
2004-09-03,0.011891425099352254
2004-09-10,0.03713341284083241
2004-09-17,0.0036369024590041047
2004-09-24,-0.009650673236534856
2004-10-01,0.0506462699944492
2004-10-08,-0.014505224194048082
2004-10-15,-0.014863397482789174
2004-10-22,-0.0025373263276662174
2004-10-29,0.025202166898277055
2004-11-05,0.036669775906781
2004-11-12,0.027421722500233284
2004-11-19,0.008257320575882488
2004-11-26,0.0303142253897182
2004-12-03,0.021147341599676996
2004-12-10,-0.011909830212028882
2004-12-17,0.0223258013376969
2004-12-23,0.015842171100720556
2004-12-31,0.012312676756674221
2005-01-07,-0.05842451878317298
2005-01-14,0.0061754270404501726
2005-01-21,-0.013670511492011114
2005-01-28,0.008335033407035989
2005-02-04,0.03266730057050777
2005-02-11,-0.005770195037223694
2005-02-18,-0.0035139214788173605
2005-02-25,0.008168942494314565
2005-03-04,0.023002717175920118
2005-03-11,-0.017135410782316302
2005-03-18,-0.0038239599920069107
2005-03-24,-0.004481990007262071
2005-04-01,-0.0019488000080434653
2005-04-08,0.0018882680378828067
2005-04-15,-0.06485852914640393
2005-04-22,0.03077909444486987
2005-04-29,-0.023946157697418938
2005-05-06,0.029669015670665922
2005-05-13,-0.014641909693369646
2005-05-20,0.04587033369590839
2005-05-27,0.023533779288933857
2005-06-03,0.006336452791540646
2005-06-10,0.006625110151157072
