,weekly_net_return
2001-01-12,0.09151671069171846
2001-01-19,0.007105570758732722
2001-01-26,0.031618280934790646
2001-02-02,0.01718210324613224
2001-02-09,-0.05217801595387043
2001-02-16,0.001622204303219074
2001-02-23,-0.06278893269901176
2001-03-02,-0.0017501592263668786
2001-03-09,-0.041994228092822536
2001-03-16,-0.07462798293914302
2001-03-23,0.03071955765468358
2001-03-30,0.004669094449377126
2001-04-06,-0.06357001470576518
2001-04-12,0.08119607247271199
2001-04-20,0.050666259769615654
2001-04-27,0.04436327071722985
2001-05-04,0.043993359204520265
2001-05-11,-0.0001806039412999978
2001-05-18,0.0578771905360478
2001-05-25,0.016240446920358885
2001-06-01,-0.024782198122838286
2001-06-08,0.020553007912522674
2001-06-15,-0.044890687225221854
2001-06-22,-0.02368385014944637
2001-06-29,0.040737860996458986
2001-07-06,-0.023719943383327658
2001-07-13,0.0289453210403358
2001-07-20,-0.004278275385035261
2001-07-27,-0.010158582078201611
2001-08-03,0.0069197453151015964
2001-08-10,-0.02929051834022211
2001-08-17,-0.01950848202714453
2001-08-24,0.019436025219813944
2001-08-31,-0.032865623316192624
2001-09-07,-0.048134406870233265
2001-09-10,-0.04589994668608661
2001-09-21,-0.11734077017926649
2001-09-28,0.05472172027734357
2001-10-05,0.09398142810787997
2001-10-12,0.05375950778648044
2001-10-19,0.004661335002324208
2001-10-26,0.05351211870515824
2001-11-02,-0.002029384593102758
2001-11-09,0.03846823278116386
2001-11-16,0.04010909404812481
2001-11-23,0.014920380663384239
2001-11-30,0.004254584248734829
2001-12-07,0.04106478458469181
2001-12-14,-0.023173076369798026
2001-12-21,0.01963825839481086
2001-12-28,0.0345666983258113
2002-01-04,0.03876009577765736
2002-01-11,-0.026580603187432727
2002-01-18,-0.026480380098228562
2002-01-25,0.02476636048320433
2002-02-01,-0.014323027103872486
2002-02-08,-0.03988911102629774
2002-02-15,0.006417321649502759
2002-02-22,-0.0366494870612999
2002-03-01,0.058163488306708463
2002-03-08,0.07618763896156636
2002-03-15,0.0044277246534716284
2002-03-22,-0.008503613227615536
2002-03-28,0.008165099995164439
2002-04-05,-0.028460983284599076
2002-04-12,0.017446623234638962
2002-04-19,0.03186536087042347
2002-04-26,-0.022394846449498382
2002-05-03,-0.01593241069666991
2002-05-10,-0.00686620362035033
2002-05-17,0.037360222479367586
2002-05-24,-0.012434659363037271
2002-05-31,-0.021545910266757288
2002-06-07,-0.03827029727668068
2002-06-14,-0.015886255655648236
2002-06-21,-0.010819511890632473
2002-06-28,0.025491330055067585
2002-07-05,-0.012510773066916269
2002-07-12,-0.05974895966729665
2002-07-19,-0.07982772079193477
2002-07-26,0.03378715269656205
2002-08-02,-0.02622646691502806
2002-08-09,0.03721928608750125
2002-08-16,0.05163885743305972
2002-08-23,0.03746896908548381
2002-08-30,-0.03785718653646363
2002-09-06,0.0011444930352097113
2002-09-13,-0.008041242105131201
2002-09-20,-0.0738879921676505
2002-09-27,-0.021204467221385265
2002-10-04,-0.04815017111466166
2002-10-11,0.015755379214649173
2002-10-18,0.06269390510348935
2002-10-25,0.03401895374291463
2002-11-01,0.027245743859367354
2002-11-08,-0.01803452626436796
2002-11-15,0.029281731428463822
2002-11-22,0.028236420999126963
2002-11-29,0.026023857574624543
2002-12-06,-0.031757684388707276
2002-12-13,-0.026053656350915538
2002-12-20,-0.018658632951388327
2002-12-27,0.0013281768112983505
2003-01-03,0.034194264202352984
2003-01-10,0.018981824487695465
2003-01-17,-0.022407723086446448
2003-01-24,-0.041182289514299024
2003-01-31,0.00019410875625348813
2003-02-07,-0.037140832641405455
2003-02-14,0.0007081348283380827
2003-02-21,0.017758189408913737
2003-02-28,-0.0029223271441404346
2003-03-07,-0.03655547078279755
2003-03-14,0.009825305030769204
2003-03-21,0.05755036454106645
2003-03-28,-0.0007869455219703385
2003-04-04,0.05165285745661634
2003-04-11,-0.020791547708149588
2003-04-17,0.05052880028869536
2003-04-25,0.01660681740487314
2003-05-02,0.04810791418218243
2003-05-09,0.019229305191974105
2003-05-16,0.0021477764365849896
2003-05-23,0.008689688153112244
2003-05-30,0.058804387867422536
2003-06-06,0.025351442081832574
2003-06-13,-0.001762889377528823
2003-06-20,0.010768221834468465
2003-06-27,0.009329435529007406
2003-07-03,0.014167207922112868
2003-07-11,0.03279075943471457
2003-07-18,-0.019940293800762086
2003-07-25,0.009030353610494707
2003-08-01,0.0017689610952057694
2003-08-08,-0.008500532392271496
2003-08-15,0.054842626100844706
2003-08-22,0.0289663793020157
2003-08-29,0.03025455671352959
2003-09-05,0.027361769759491276
2003-09-12,-0.006509233604972888
2003-09-19,0.01422669698731859
2003-09-26,-0.05046137129822991
2003-10-03,0.05283539410978042
2003-10-10,0.028497490940450135
2003-10-17,0.004384970838402583
2003-10-24,-0.020481823839426157
2003-10-31,0.04464621197819707
2003-11-07,0.021137641693449276
2003-11-14,-0.015834066532353423
2003-11-21,-0.001638986878683153
2003-11-28,0.04700106466029867
2003-12-05,-0.008038471427044289
2003-12-12,0.02490153970350904
2003-12-19,-0.013559575869081771
2003-12-26,0.02232618638173095
2004-01-02,0.016184685965410204
2004-01-09,0.018400468755465207
2004-01-16,0.017894101919284217
2004-01-23,0.01901377442655648
2004-01-30,-0.019699259524259414
2004-02-06,0.004588605616023649
2004-02-13,0.016865186378584612
2004-02-20,-0.015418573059969331
2004-02-27,0.009491577843852265
2004-03-05,0.017291931803403066
2004-03-12,-0.035126734921992996
2004-03-19,-0.01801080580534194
2004-03-26,0.013598276255109596
2004-04-02,0.04448131827323258
2004-04-08,0.002516754200923421
2004-04-16,-0.019536544307011617
2004-04-23,0.014943075289429663
2004-04-30,-0.05462803395471284
2004-05-07,-0.02082648357666748
2004-05-14,-0.015508074371462864
2004-05-21,0.020093981594376364
2004-05-28,0.03821893427498214
2004-06-04,0.006339799208881441
2004-06-10,0.002992367037371785
2004-06-18,-0.0024192062865022604
2004-06-25,0.030033567414017803
2004-07-02,-0.009199982904578024
2004-07-09,-0.02831117639160664
2004-07-16,-0.02403176360172712
2004-07-23,-0.023477075685492805
2004-07-30,0.011332497960664436
2004-08-06,-0.04344637731859154
2004-08-13,-0.00961169161357915
2004-08-20,0.05845882385670502
2004-08-27,-0.0018627482299059788
2004-09-03,0.012924403123712073
2004-09-10,0.03756674296887317
2004-09-17,0.001636440317094901
2004-09-24,-0.012742501315089043
2004-10-01,0.0468383342904867
2004-10-08,-0.015554667089757139
2004-10-15,-0.013315418281275155
2004-10-22,7.85052378477095e-05
2004-10-29,0.023836663776835333
2004-11-05,0.03984057129745362
2004-11-12,0.029237985417360987
2004-11-19,0.005108327439558968
2004-11-26,0.028869380328834102
2004-12-03,0.01856187383269182
2004-12-10,-0.010515041697605584
2004-12-17,0.020220561043269157
2004-12-23,0.014759526784135748
2004-12-31,0.012827223364854607
2005-01-07,-0.05560939883798606
2005-01-14,0.005959931634732761
2005-01-21,-0.012594810640216109
2005-01-28,0.010799332771571805
2005-02-04,0.03469135402446478
2005-02-11,-0.008522945949717189
2005-02-18,-0.002158953288042453
2005-02-25,0.008814353828355572
2005-03-04,0.022834360263719336
2005-03-11,-0.01613903558832506
2005-03-18,-0.0023151283848188453
2005-03-24,-0.005599820563746466
2005-04-01,-0.002095111602929083
2005-04-08,0.00030166948255436643
2005-04-15,-0.06311022712191776
2005-04-22,0.025371749755018297
2005-04-29,-0.023005571862535507
2005-05-06,0.027636946123652563
2005-05-13,-0.012683215939158448
2005-05-20,0.046789586113655524
2005-05-27,0.023444528187634987
2005-06-03,0.007600700087687079
2005-06-10,0.005106174579933978
2005-06-17,0.01752638933603524
2005-06-24,-0.02317115125580916
2005-07-01,0.014788588068786133
2005-07-08,0.029411471400012556
2005-07-15,0.009796133543410003
2005-07-22,0.026378853673245967
2005-07-29,0.007030696972118845
2005-08-05,-0.013005979001339466
2005-08-12,-0.010538199146477538
2005-08-19,-0.0025715873566234788
2005-08-26,-0.012819534711660679
2005-09-02,0.020366123795755857
2005-09-09,0.02296871369058483
2005-09-16,-0.00782692863439285
2005-09-23,-0.013947335537047278
2005-09-30,0.014573606217506996
2005-10-07,-0.028799755352755932
2005-10-14,-0.023990697598380985
2005-10-21,0.0011515446936977373
2005-10-28,0.007698133110992982
2005-11-04,0.05087185302676396
2005-11-11,0.00817156800956459
2005-11-18,0.011466102977504186
2005-11-25,0.0222844730599934
2005-12-02,0.009668083962977686
2005-12-09,0.004563753982286729
2005-12-16,-0.005638709860343661
2005-12-23,0.00769869736959371
2005-12-30,-0.009164999701124978
2006-01-06,0.02799575864621159
2006-01-13,0.00797491588787281
2006-01-20,-0.0041773163243974155
2006-01-27,0.026972780922265616
2006-02-03,-0.001225014254141611
2006-02-10,-0.005893292729416221
2006-02-17,0.02286600208303715
2006-02-24,0.004392352025930417
2006-03-03,0.0028458583968535883
2006-03-10,0.0032106254337210516
2006-03-17,0.01876852408874523
2006-03-24,0.012291456734520059
2006-03-31,0.01729622189981947
2006-04-07,0.003687414422003592
2006-04-13,-0.005031680372901145
2006-04-21,0.026007998420264442
2006-04-28,0.0011898556912041123
2006-05-05,0.02072175381919834
2006-05-12,-0.04718849469951275
2006-05-19,-0.015730459094084628
2006-05-26,0.022879309472991143
