,weekly_net_return
2001-01-12,0.10736870274541928
2001-01-19,0.012543307918766776
2001-01-26,0.03702989642263672
2001-02-02,0.014161940760267794
2001-02-09,-0.0601042963148598
2001-02-16,-0.007102663908278647
2001-02-23,-0.06695808758136672
2001-03-02,-0.004615272577028603
2001-03-09,-0.04726146282323486
2001-03-16,-0.07936828100742593
2001-03-23,0.027561656298715428
2001-03-30,0.004193074804341671
2001-04-06,-0.07676944166215696
2001-04-12,0.08053476586430887
2001-04-20,0.052813272357671665
2001-04-27,0.048252377360609416
2001-05-04,0.04898681001174443
2001-05-11,0.0028739975713589585
2001-05-18,0.04991865186746744
2001-05-25,0.02725191977760781
2001-06-01,-0.024465401035692887
2001-06-08,0.012390157265230819
2001-06-15,-0.0592491867293524
2001-06-22,-0.032699341272169086
2001-06-29,0.04434768279697313
2001-07-06,-0.020979082033937044
2001-07-13,0.02290336792238438
2001-07-20,-0.013594634397666788
2001-07-27,-0.0161513253497632
2001-08-03,0.006620490157372434
2001-08-10,-0.031833607059068375
2001-08-17,-0.022887412144568093
2001-08-24,0.01473874165820465
2001-08-31,-0.03465492868416355
2001-09-07,-0.0546638969838626
2001-09-10,-0.052465728449745265
2001-09-21,-0.11665128859028429
2001-09-28,0.04605654454817844
2001-10-05,0.08091058819892694
2001-10-12,0.06005821277765713
2001-10-19,-0.0005883487337794508
2001-10-26,0.05076660144241628
2001-11-02,-0.004284699671243168
2001-11-09,0.03820806391978682
2001-11-16,0.07512465354891389
2001-11-23,0.01724729189722444
2001-11-30,6.232123131589271e-05
2001-12-07,0.05185574392062166
2001-12-14,-0.030148504917369996
2001-12-21,0.016401877337227245
2001-12-28,0.03829199006623026
2002-01-04,0.05111410343681259
2002-01-11,-0.026878360478927905
2002-01-18,-0.03447160269297481
2002-01-25,0.023189874818688644
2002-02-01,-0.014751130580538433
2002-02-08,-0.05726085764517312
2002-02-15,0.005089066530813804
2002-02-22,-0.044727393900219355
2002-03-01,0.058954339738369735
2002-03-08,0.0927757529426168
2002-03-15,0.004021390123808328
2002-03-22,-0.006774825969732289
2002-03-28,0.009502976363433642
2002-04-05,-0.03530749321345583
2002-04-12,0.01334332573948778
2002-04-19,0.034412256693432675
2002-04-26,-0.03245456634077812
2002-05-03,-0.02363832462211603
2002-05-10,-0.014523337047373314
2002-05-17,0.043198511621154526
2002-05-24,-0.01717784963977086
2002-05-31,-0.02588283058165567
2002-06-07,-0.045727892206841335
2002-06-14,-0.027782150856819558
