scale,paths,breachProbability1m,breachProbability3m,breachProbability6m,breachProbability12m,dailyLimitBreachProbability,drawdownBreachProbability,expectedPayout,medianPayout,expectedNetPayout,medianNetPayout,p05NetPayout,probabilityAnyPayout,medianDaysToFirstPayout,medianDrawdownUtilization,p95DrawdownUtilization,expectedResets,expectedFees,candidate,label,drawdownRule
0.1,5000,0.0,0.0,0.0,0.0,0.0,0.0,124.34316439260594,0.0,-375.6568356073941,-500.0,-500.0,0.135,229.0,0.31485908907004945,0.49168313375437506,0.0,500.0,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.15,5000,0.0,0.0002,0.0004,0.0032,0.0,0.0032,1419.42552313975,818.3632056191216,917.82552313975,318.3632056191215,-500.0,0.5984,195.0,0.467576634779735,0.7344903703412493,0.0032,501.6,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.2,5000,0.0,0.004,0.0158,0.0374,0.0,0.0374,3467.8308258996026,3269.467560410313,2949.030825899602,2766.168059732421,-500.0,0.8138,163.0,0.6188789996651879,0.973883796060896,0.0376,518.8,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.25,5000,0.0,0.0294,0.0712,0.1502,0.0,0.1502,5757.666579893634,5727.369402208255,5177.466579893634,5185.130072168384,-731.6245319625239,0.9026,138.0,0.7664492247141268,1.0602113433732137,0.1604,580.2,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.3,5000,0.0,0.0852,0.175,0.3322,0.0,0.3322,7986.522869999394,7981.022456680588,7286.6228699993935,7355.705828937394,-1000.0,0.9354,119.0,0.9204124924018179,1.1321825456438466,0.3998,699.9,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.35,5000,0.0536,0.222,0.4012,0.65,0.0,0.65,9676.179884288671,9496.874291411765,8681.87988428867,8534.650168446191,-1000.0524870277872,0.9506,105.0,1.0653239622094577,1.1989033895551613,0.9886,994.3,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.4,5000,0.1086,0.3524,0.5854,0.8288,0.656,0.5036,10899.138904751926,10493.74407678597,9557.738904751926,9264.322569197067,-1979.0695727394288,0.9426,95.0,1.0189140529030059,1.1973099040931101,1.6828,1341.4,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.45,5000,0.2572,0.604,0.8442,0.9736,0.8912,0.7528,10063.298330996671,9273.934148477805,7899.598330996671,7165.8603178711855,-3000.0,0.9324,94.0,1.0890824623578155,1.3003516659081027,3.3274,2163.7,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.5,5000,0.3044,0.6854,0.9046,0.9908,0.9612,0.7458,10819.921822999042,9894.959681313247,8173.221822999042,7256.017328129197,-3500.0,0.9262,90.0,1.0972618636127662,1.3448201139269675,4.2934,2646.7,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.55,5000,0.5038,0.8592,0.9822,1.0,0.9882,0.9234,9050.28537594562,7804.54004842086,4393.285375945618,3266.130805856799,-6500.0,0.8578,97.0,1.2031753529086417,1.4265721626417547,8.314,4657.0,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.6,5000,0.5926,0.9306,0.9956,1.0,0.9978,0.955,7671.989653016849,6423.249726286228,2308.8896530168495,956.0994220238067,-7500.0,0.792,105.0,1.3125549304457915,1.4690817943244567,9.7262,5363.1,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.65,5000,0.6306,0.9544,0.998,1.0,0.9998,0.9518,7735.267552608615,6389.010211394319,811.7675526086146,-557.8174953889447,-9500.0,0.782,105.0,1.2827593677202094,1.528240451815446,12.847,6923.5,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.7,5000,0.7612,0.9876,0.9998,1.0,1.0,0.9924,5561.704529279416,4016.4818969892804,-3655.895470720583,-5346.707014827954,-12500.0,0.6314,114.0,1.289880010866902,1.5530302874162696,17.4352,9217.6,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.75,5000,0.7984,0.9916,0.9998,1.0,1.0,0.9978,5483.8968615310205,3779.8476603580757,-5896.703138468979,-7739.483142093406,-16000.0,0.596,119.0,1.3262658069445437,1.6438381005377072,21.7612,11380.6,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.8,5000,0.807,0.9942,1.0,1.0,1.0,0.999,5174.626301187905,2847.093181021535,-9352.473698812097,-11500.0,-20000.0,0.5476,120.0,1.4146835274075154,1.5687659934797267,28.0542,14527.1,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.85,5000,0.8736,0.9966,1.0,1.0,1.0,0.9966,4535.757179231847,0.0,-11193.442820768154,-13500.0,-21000.0,0.4752,121.0,1.5031012478704846,1.5659235911192422,30.4584,15729.2,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.9,5000,0.881,0.9966,1.0,1.0,1.0,1.0,4924.749272958705,0.0,-13517.950727041296,-16000.0,-24000.0,0.4578,120.0,1.5915189683334539,1.5915189683334539,35.8854,18442.7,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.95,5000,0.9536,0.9992,1.0,1.0,1.0,1.0,3509.1741030412645,0.0,-20282.425896958735,-22500.0,-30500.0,0.3362,127.0,1.679936688796423,1.679936688796423,46.5832,23791.6,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
1.0,5000,0.9542,0.9994,1.0,1.0,1.0,1.0,3645.693617078176,0.0,-26365.106382921826,-28000.0,-39500.0,0.329,130.0,1.5364025495015836,1.6533063175866336,59.0216,30010.8,dm_optimized_63d_daily,DM Optimized 63D/Daily,trailing_to_breakeven
0.1,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,-500.0,-500.0,0.0,,0.08092996653338923,0.29265343565257085,0.0,500.0,mrm,Canonical MRM,static
0.15,5000,0.0,0.0,0.0,0.0004,0.0,0.0004,0.22398908488827993,0.0,-499.9760109151118,-500.0,-500.0,0.0002,248.0,0.12151041030240231,0.4389801534788105,0.0004,500.2,mrm,Canonical MRM,static
