date,ticker,distribution_ratio,name,entry_date,entry_price,siccode,is_financial,missing_days_first_21,data_quality_fail,survivorship_exit_H1,raw_return_H1,survivorship_exit_H2,raw_return_H2,survivorship_exit_H3,raw_return_H3,survivorship_exit_H4,raw_return_H4,exclude_reason,marketcap_entry,spy_entry,spy_return_H1,excess_return_H1,spy_return_H2,excess_return_H2,spy_return_H3,excess_return_H3,spy_return_H4,excess_return_H4
2000-03-16,GTIV,0.25,0,2000-03-16,1.775,8082.0,False,0.0,False,False,0.10422535211267614,False,0.5002816901408451,False,1.0523943661971833,False,2.0005633802816902,,,,,,,,,,,
2000-03-16,TSG1,0.72265,1,2000-03-16,47.896,4700.0,False,0.0,False,False,-0.3419074661767162,False,-0.4902079505595457,False,-0.4411850676465675,False,-0.15961666945047615,,6603.5,,,,,,,,,
2000-04-03,EW,0.2,2,2000-04-03,1.146,3842.0,False,0.0,False,False,0.03664921465968596,False,0.49476439790575943,False,0.46858638743455505,False,0.337696335078534,,798.8,,,,,,,,,
2000-04-04,EPC,0.33333,3,2000-04-04,13.434,2844.0,False,0.0,False,False,-0.16421021289266036,False,-0.09088878963823133,False,0.04987345541164201,False,0.17299389608456162,,2036.4,,,,,,,,,
2000-06-30,ANCJQ,0.125,4,2000-06-30,5.438,7510.0,False,0.0,False,False,0.18389113644722332,False,0.05737403457153367,False,-0.3563810224347186,False,-0.2552408973887459,,245.5,,,,,,,,,
2000-07-03,DHA,0.1,5,2000-07-03,2.0,5130.0,False,0.0,False,False,-0.469,False,-0.5,False,-0.375,False,1.2650000000000001,,4.8,,,,,,,,,
2000-07-03,DLAPQ,0.1,6,2000-07-03,2.195,5130.0,False,0.0,False,False,0.013211845102505837,False,0.22687927107061512,False,0.4273348519362188,False,0.829612756264237,,22.6,,,,,,,,,
2000-07-13,JNS,4.0,7,2000-07-13,39.88,6282.0,True,0.0,False,False,-0.14947342026078247,False,-0.28227181544633906,False,-0.11933299899699101,False,-0.3536860581745237,,10891.2,,,,,,,,,
2000-07-24,APW,1.0,8,2000-07-24,37.25,5065.0,False,0.0,False,False,0.06877852348993274,False,0.15100671140939603,False,0.10067114093959728,False,-0.7755704697986577,,1460.3,,,,,,,,,
2000-07-28,PALM,1.4832,9,2000-07-28,180.929,3575.0,False,0.0,False,False,0.03690950593879361,False,0.43791763619983537,False,-0.23322408237485426,False,-0.8617468730828115,,21027.2,,,,,,,,,
2000-08-03,VSTNQ,0.13093,10,2000-08-03,15.188,3714.0,False,0.0,False,False,0.04938109033447469,False,0.16460363444824844,False,-0.06044245456939701,False,0.35633394785356876,,1986.6,,,,,,,,,
2000-09-01,SNVT,0.05,11,2000-09-01,9.0,8742.0,False,0.0,False,False,-0.368,False,-0.5833333333333333,False,-0.36111111111111116,False,-0.48888888888888893,,133.5,,,,,,,,,
2000-10-02,AV1,0.08333,12,2000-10-02,20.188,3661.0,False,0.0,False,False,-0.33435704378838904,False,-0.507727362789776,False,-0.43778482266693086,False,-0.46255201109570043,,5699.4,,,,,,,,,
2000-10-10,FLA,0.23103,13,2000-10-10,29.699,4011.0,False,0.0,False,False,-0.12074480622243178,False,-0.1340449173372842,False,-0.2521633725041247,False,-0.45365163810229303,,1471.6,,,,,,,,,
2000-10-18,MON2,0.0,14,2000-10-18,8.151,2870.0,False,0.0,False,False,0.10747147589252837,False,0.35897435897435903,False,0.6428659060238009,False,0.534044902465955,,5482.5,,,,,,,,,
2001-02-01,GPN,0.8,15,2001-02-01,4.754,7389.0,False,0.0,False,False,-0.09045014724442568,False,0.1482961716449307,False,0.5671013883045859,False,0.5618426588136307,,563.7,1.0707815453333107,-0.09562864037193686,0.0051784931275111745,-0.08977661567936313,0.23807278732429382,-0.10614317146001262,0.6732445597645985,-0.20683388176500295,0.7686765405786337
2001-03-06,PRWK,0.25,17,2001-03-06,7.47,8742.0,False,0.0,False,False,-0.31057563587684067,False,-0.109772423025435,False,0.09772423025435062,False,0.6465863453815262,,65.4,0.9787871438017497,-0.11842919709759114,-0.19214643877924953,0.02432435247748188,-0.13409677550291688,-0.0954250855719656,0.19314931582631623,-0.0587843137217372,0.7053706591032634
2001-03-30,RMG2,0.5,19,2001-03-30,26.0,4841.0,False,0.0,False,False,-0.1807692307692308,False,-0.007692307692307665,False,-0.15384615384615385,False,-0.11538461538461542,,,0.9083295224174938,0.08878231057697783,-0.2695515413462086,0.0536355989731816,-0.06132790666548926,-0.0731868139563202,-0.08065933988983365,-0.019676951898261907,-0.09570766348635351
2001-04-03,MIRKQ,0.39761,20,2001-04-03,33.89,4911.0,False,0.0,False,False,0.15520802596636174,False,0.014753614635585777,False,-0.2829743287105341,False,-0.6031277663027441,,11478.6,0.8592897001631608,0.13425123317119048,0.020956792795171264,0.12739365402061842,-0.11264003938503264,-0.028591044358889706,-0.25438328435164437,0.040675109655740505,-0.6438028759584846
2001-04-30,STLW,1.5113,21,2001-04-30,79.9,3674.0,False,0.0,False,False,0.28535669586983725,False,0.2465581977471838,False,-0.47434292866082606,False,-0.655819774718398,,512.1,0.9859372294690188,-0.010737029074405324,0.2960937249442426,-0.043157120875134125,0.2897153186223179,-0.13763648743662127,-0.3367064412242048,-0.15650410765623335,-0.4993156670621647
2001-07-02,COL,1.0,22,2001-07-02,18.077,3728.0,False,0.0,False,False,-0.11876970736294745,False,-0.3412070586933673,False,-0.16927587542180678,False,0.05664656746141494,,4343.4,0.968991507729888,-0.016273241489076273,-0.10249646587387118,-0.1329064888318433,-0.208300569861524,-0.052352886437235346,-0.11692298898457143,-0.21934573419995418,0.2759923016613691
2001-07-02,KSL,0.33333,23,2001-07-02,14.87,5172.0,False,0.0,False,False,-0.061869535978480106,False,0.1936785474108944,False,0.32481506388702086,False,0.3422999327505045,,161.4,0.968991507729888,-0.016273241489076273,-0.04559629448940383,-0.1329064888318433,0.3265850362427377,-0.052352886437235346,0.3771679503242562,-0.21934573419995418,0.5616456669504587
2001-07-09,AWE,0.3218,24,2001-07-09,16.56,4812.0,False,0.0,False,False,0.06400966183574885,False,-0.041062801932367,False,-0.28985507246376807,False,-0.6376811594202898,,41896.8,0.9344095627812449,0.008938724877793236,0.05507093695795562,-0.07758703879887352,0.03652423686650652,-0.03284756658145527,-0.2570075058823128,-0.21806018038016917,-0.41962097904012063
2001-07-09,FIS,0.5,25,2001-07-09,10.834,7389.0,False,0.0,False,False,0.0849178512091564,False,-0.03738231493446553,False,0.13882222632453378,False,0.1003322872438619,,2052.4,0.9344095627812449,0.008938724877793236,0.07597912633136317,-0.07758703879887352,0.04020472386440799,-0.03284756658145527,0.17166979290598905,-0.21806018038016917,0.31839246762403106
2001-08-06,RSTN1,0.5131,26,2001-08-06,14.19,3576.0,False,0.0,False,False,-0.3474277660324172,False,-0.06060606060606055,False,-0.1515151515151515,False,-0.9330514446793516,,1525.3,0.93909369203242,-0.054862995653730096,-0.2925647703786871,-0.06049446967497263,-0.00011159093108792373,-0.06697527651624946,-0.08453987499890203,-0.2364531813624855,-0.6965982633168661
2001-08-07,ZBH,0.1,27,2001-08-07,25.793,3842.0,False,0.0,False,False,-0.09017950606753777,False,0.002326212538285688,False,0.15597255069204818,False,0.22777497770712984,,5796.7,0.9427619927861255,-0.08280160994366148,-0.007377896123876293,-0.06315286388483066,0.06547907642311634,-0.07352496740207193,0.2294975180941201,-0.2532722444260047,0.48104722213313456
2001-08-09,KAI,0.0612,28,2001-08-09,11.743,3550.0,False,0.0,False,False,0.009026654176956583,False,0.01498765221834275,False,-0.0059609980413863894,False,0.08992591331005695,,163.9,0.9280088143232986,-0.07427675390900113,0.08330340808595771,-0.03280772500012308,0.04779537721846583,-0.050577257308861756,0.04461625926747537,-0.20277641508701483,0.2927023283970718
2001-09-26,SRLSQ,0.4,29,2001-09-26,2.9,2835.0,False,0.0,False,False,0.17241379310344818,False,0.7275862068965517,False,1.0517241379310347,False,0.8413793103448275,,,0.7944466358444765,0.09054196535957049,0.08187182774387769,0.14169914832417008,0.5858870585723817,0.13663195088337865,0.915092187047656,-0.14230780778393803,0.9836871181287655
2001-11-16,VAS,0.1461,30,2001-11-16,18.0,3841.0,False,0.0,False,False,0.012222222222222134,False,0.22944444444444434,False,0.022222222222222143,False,-0.08333333333333337,,468.0,0.8960743840885014,0.005421235556098303,0.006800986666123832,-0.02964006833174304,0.2590845127761874,-0.04349191287650267,0.06571413509872481,-0.19745066016961466,0.11411732683628129
2002-04-01,DDE,0.7,31,2002-04-01,6.312,7011.0,False,0.0,False,False,-0.07842205323193918,False,0.01552598225602031,False,-0.35662230671736384,False,-0.20262991128010133,,336.7,0.9033877880390652,-0.05856664182695215,-0.019855411404987033,-0.1332257221818226,0.1487517044378429,-0.2719570806180729,-0.08466522609929095,-0.24776434804136016,0.045134436761258834
2002-05-09,TRZ,1.0,32,2002-05-09,13.449,6512.0,True,0.0,False,False,0.034723771284110416,False,-0.27578258606587847,False,-0.39370956948472,False,-0.3470146479292141,,2460.7,0.8496119226462561,-0.037216166658317174,0.07193993794242759,-0.15296253501728108,-0.12282005104859739,-0.12961285432204805,-0.26409671516267197,-0.11529668287456929,-0.23171796505464481
2002-06-03,AGR1,0.01078,33,2002-06-03,31.6,3674.0,False,0.0,False,False,-0.5253164556962026,False,-0.49683544303797467,False,-0.5632911392405063,False,-0.199367088607595,,5168.4,0.8229604553680472,-0.08687942496610024,-0.4384370307301023,-0.11755102527934891,-0.37928441775862576,-0.0923474867840608,-0.47094365245644554,-0.0474724627731653,-0.1518946258344297
2002-06-03,AGR.B,0.26456,34,2002-06-03,3.13,3674.0,False,0.0,False,False,-0.5047923322683705,False,-0.5079872204472844,False,-0.549520766773163,False,-0.23961661341853036,,,0.8229604553680472,-0.08687942496610024,-0.41791290730227026,-0.11755102527934891,-0.3904361951679355,-0.0923474867840608,-0.4571732799891022,-0.0474724627731653,-0.19214415064536505
2002-06-03,NPO,0.2,35,2002-06-03,6.088,3050.0,False,0.0,False,False,-0.1757555847568989,False,-0.4372536136662286,False,-0.47864651773981604,False,0.20712877792378448,,142.9,0.8229604553680472,-0.08687942496610024,-0.08887615979079866,-0.11755102527934891,-0.3197025883868797,-0.0923474867840608,-0.38629903095575524,-0.0474724627731653,0.2546012406969498
2002-06-18,ACDO,0.19253,36,2002-06-18,35.833,8090.0,False,0.0,False,False,-0.20017860631261686,False,-0.08444729718415978,False,0.052940027349091645,False,-0.39720369491809215,,1409.5,0.8276912603485255,-0.16064268896577127,-0.039535917346845584,-0.16035580956496553,0.07590851238080576,-0.11990993896706903,0.17284996631616067,-0.015904770278362568,-0.3812989246397296
2002-07-01,EYE2,0.22222,37,2002-07-01,10.29,3841.0,False,0.0,False,False,-0.008746355685131157,False,-0.07580174927113692,False,0.17103984450923249,False,0.7016520894071918,,295.6,0.76776224300171,-0.060496750844116876,0.05175039515898572,-0.15328604681932467,0.07748429754818775,-0.08337753829261962,0.2544173828018521,0.032874478952068964,0.6687776104551229
2002-07-01,WHG,0.25,38,2002-07-01,4.229,6282.0,True,0.0,False,False,0.025301489713880354,False,0.09032868290375973,False,0.016079451406951994,False,0.47387089146370287,,70.6,0.76776224300171,-0.060496750844116876,0.08579824055799723,-0.15328604681932467,0.2436147297230844,-0.08337753829261962,0.09945698969957162,0.032874478952068964,0.4409964125116339
2002-07-24,QTWWQ,1.0,39,2002-07-24,324.0,3714.0,False,0.0,False,False,-0.024691358024691357,False,-0.4839506172839506,False,-0.36049382716049383,False,-0.28148148148148144,,71.5,0.6703580402591787,0.1411703318607258,-0.16586168988541716,0.06139325048757249,-0.5453438677715231,0.05695847335108417,-0.417452300511578,0.1824729570339123,-0.46395443851539375
2002-08-21,TAP.A1,0.0432,40,2002-08-21,16.5,6331.0,True,0.0,False,False,-0.23212121212121217,False,-0.1260606060606061,False,-0.051515151515151514,False,-0.055757575757575784,,,0.7576342645125806,-0.11511145718694271,-0.11700975493426946,-0.052062162286956704,-0.07399844377364939,-0.10201276540790993,0.05049761389275842,0.07047679038068932,-0.1262343661382651
2002-08-21,TAP.B,0.08877,41,2002-08-21,17.28,6331.0,True,0.0,False,False,-0.2689236111111112,False,-0.16313657407407411,False,-0.1171296296296297,False,-0.10798611111111123,,17590.0,0.7576342645125806,-0.11511145718694271,-0.15381215392416847,-0.052062162286956704,-0.11107441178711741,-0.10201276540790993,-0.015116864221719761,0.07047679038068932,-0.17846290149180055
2002-09-09,GPRO1,0.086,42,2002-09-09,7.265,3841.0,False,0.0,False,False,0.032346868547832086,False,0.48313833448038546,False,0.48313833448038546,False,3.3035099793530627,,345.8,0.7173590965898632,-0.10952730094903862,0.1418741694968707,0.019661619983182943,0.4634767144972025,-0.10348150357100294,0.5866198380513884,0.1555968089727071,3.1479131703803556
2002-10-01,GEN1,0.7886,43,2002-10-01,1.99,4911.0,False,0.0,False,False,-0.0653266331658291,False,0.6080402010050252,False,1.150753768844221,False,1.6381909547738696,,578.0,0.6813112624793335,0.04327997551261231,-0.10860660867844141,0.034338976100153795,0.5737012249048714,0.037214761435716115,1.113539007408505,0.21049961973569342,1.4276913350381761
2002-10-01,KMX,0.31388,44,2002-10-01,8.15,5500.0,False,0.0,False,False,0.012269938650306678,False,0.0969325153374232,False,-0.04233128834355837,False,1.0975460122699383,,1679.1,0.6813112624793335,0.04327997551261231,-0.031010036862305634,0.034338976100153795,0.0625935392372694,0.037214761435716115,-0.07954604977927449,0.21049961973569342,0.8870463925342449
2002-10-01,SAIA,0.5,45,2002-10-01,5.407,4213.0,False,0.0,False,False,0.09728130201590535,False,0.22193452931385238,False,0.3870908082115776,False,0.8888477899019787,,118.8,0.6813112624793335,0.04327997551261231,0.054001326503293035,0.034338976100153795,0.18759555321369858,0.037214761435716115,0.3498760467758615,0.21049961973569342,0.6783481701662852
2002-10-01,XEC,0.25,46,2002-10-01,14.803,1311.0,False,0.0,False,False,-0.0464770654597042,False,0.06674322772411001,False,0.19131257177599137,False,0.20441802337364035,,446.2,0.6813112624793335,0.04327997551261231,-0.08975704097231652,0.034338976100153795,0.032404251623956215,0.037214761435716115,0.15409781034027525,0.21049961973569342,-0.006081596362053077
2002-11-04,CEVA,0.33333,47,2002-11-04,5.11,7370.0,False,0.0,False,False,0.27788649706457913,False,-0.21722113502935425,False,-0.10958904109589052,False,0.5264187866927592,,92.2,0.7243103660995467,0.01448451196163636,0.26340198510294277,-0.06433720346768057,-0.15288393156167368,0.033987785924959546,-0.14357682702085006,0.17968627265118586,0.34673251404157335
2002-11-19,CMCSA,1.6175,48,2002-11-19,5.176,4841.0,False,0.0,False,False,-0.048106646058732716,False,0.07109737248840786,False,0.2376352395672332,False,0.2515455950540957,,23671.7,0.7181901864793676,-0.01328025710815317,-0.034826388950579545,-0.052693964871643906,0.12379133736005177,0.04480891803531728,0.19282632153191592,0.17803978997694614,0.07350580507714954
2002-12-19,PXP,1.0,49,2002-12-19,9.95,1311.0,False,0.0,False,False,0.008040201005025116,False,-0.13969849246231147,False,0.02713567839195985,False,0.5216080402010053,,241.0,0.7086524361503691,-0.006244218621633935,0.01428441962665905,-0.018985558169640315,-0.12071293429267116,0.11777842484630785,-0.090642746454348,0.24741633104754013,0.27419170915346514
2003-01-07,BHS,0.2,50,2003-01-07,5.884,1520.0,False,0.0,False,False,0.11437797416723328,False,0.4481645139360979,False,0.755778382053025,False,1.829707681849082,,305.7,0.7406488824343224,-0.08929151698352389,0.20366949115075716,-0.04512456563209688,0.4932890795681948,0.0929617718358502,0.6628166102171749,0.23769584048729375,1.5920118413617883
2003-01-07,TGN2,0.05,51,2003-01-07,9.873,4911.0,False,0.0,False,False,0.45994125392484553,False,0.7679530031398765,False,1.2840068874708805,False,2.2636483338397655,,840.0,0.7406488824343224,-0.08929151698352389,0.5492327709083694,-0.04512456563209688,0.8130775687719733,0.0929617718358502,1.1910451156350303,0.23769584048729375,2.025952493352472
2003-03-17,MPAC1,0.5,52,2003-03-17,5.08,2650.0,False,0.0,False,False,-0.03543307086614167,False,0.16141732283464583,False,0.5728346456692914,False,0.6259842519685039,,19.7,0.6931251795355354,0.03874144160575432,-0.07417451247189599,0.17619146808668473,-0.014774145252038906,0.18543364656336325,0.3874009991059282,0.30920609909556607,0.31677815287293787
2003-04-01,STRR,0.075,53,2003-04-01,62.654,7363.0,False,0.0,False,False,0.15631883040188965,False,0.47968206339579256,False,0.474319277300731,False,1.1356178376480353,,111.2,0.689985839201092,0.06810741562295064,0.08821141477893901,0.1493018865686424,0.33038017682715015,0.17034076177855995,0.30397851552217103,0.3352394347580816,0.8003784028899537
2003-07-01,CVCO,0.05,54,2003-07-01,10.0,2451.0,False,0.0,False,False,-0.040000000000000036,False,0.0714999999999999,False,0.17500000000000004,False,0.98,,62.9,0.7930020266994631,0.008728314419843564,-0.0487283144198436,0.018305786717823125,0.05319421328217677,0.13807137243328804,0.036928627566712,0.1643746245345703,0.8156253754654297
2003-08-20,MHS,0.1206,55,2003-08-20,12.61,5912.0,False,0.0,False,False,-0.04044409199048371,False,0.3854084060269627,False,0.2470261697065821,False,0.20222045995241889,,6809.4,0.8084544992550242,0.036017776214536834,-0.07646186820502054,0.03771614287152447,0.3476922631554382,0.15346864113312653,0.09355752857345556,0.11724179423603998,0.08497866571637891
