date,ticker,distribution_ratio,name,entry_date,entry_price,siccode,is_financial,missing_days_first_21,data_quality_fail,survivorship_exit_H1,raw_return_H1,survivorship_exit_H2,raw_return_H2,survivorship_exit_H3,raw_return_H3,survivorship_exit_H4,raw_return_H4,exclude_reason,marketcap_entry,spy_entry,spy_return_H1,excess_return_H1,spy_return_H2,excess_return_H2,spy_return_H3,excess_return_H3,spy_return_H4,excess_return_H4
2000-03-16,AAMRQ,0.72265,0,2000-03-16,30.562,4512.0,False,0.0,False,False,0.0634120803612328,False,-0.09609973169295205,False,0.09613245206465537,False,0.10562135985864796,,4525.9,,,,,,,,,
2000-04-03,BAX,0.2,2,2000-04-03,10.459,3841.0,False,0.0,False,False,0.0019122287025528095,False,0.1416005354240366,False,0.2551869203556747,False,0.4669662491633999,,18068.0,,,,,,,,,
2000-04-04,RAL1,0.33333,3,2000-04-04,20.715,2040.0,False,0.0,False,False,-0.1577118030412744,False,-0.0519913106444605,False,0.13236784938450397,False,0.49167270094134685,,6338.2,,,,,,,,,
2000-06-30,AN,0.125,4,2000-06-30,7.063,5500.0,False,0.0,False,False,-0.01769786209825852,False,-0.15050261928359054,False,-0.15050261928359054,False,0.6706781820756054,,2550.7,,,,,,,,,
2000-07-03,DLWI,0.1,5,2000-07-03,6.5,2211.0,False,0.0,False,False,-0.2692307692307693,False,-0.038461538461538436,False,-0.2692307692307693,False,-0.5261538461538462,,37.9,,,,,,,,,
2000-07-13,KSU,4.0,6,2000-07-13,5.585,4011.0,False,0.0,False,False,0.0700089525514771,False,0.3600716204118173,False,0.6800358102059085,False,1.4272157564905998,,348.2,,,,,,,,,
2000-07-24,EPAC,1.0,7,2000-07-24,4.83,3590.0,False,0.0,False,False,0.0,False,-0.03002070393374756,False,-0.10993788819875772,False,-0.11490683229813659,,156.5,,,,,,,,,
2000-07-28,COMS1,1.4832,8,2000-07-28,12.938,3576.0,False,0.0,False,False,0.30429741845725755,False,0.28984387076827933,False,-0.14499922708301138,False,-0.6251352604730253,,4539.1,,,,,,,,,
2000-08-03,F,0.13093,9,2000-08-03,11.657,3711.0,False,0.0,False,False,-0.1453204083383376,False,-0.10766063309599394,False,-0.021188985159131812,False,-0.10869005747619453,,35242.3,,,,,,,,,
2000-09-01,RX,0.05,10,2000-09-01,18.364,7374.0,False,0.0,False,False,0.08146373339141788,False,0.42795687214114553,False,0.4057939446743628,False,0.46389675451971235,,5702.7,,,,,,,,,
2000-10-02,LU1,0.08333,11,2000-10-02,25.035,3661.0,False,0.0,False,False,-0.24729378869582586,False,-0.5701617735170761,False,-0.7462752146994208,False,-0.7882164969043339,,103524.9,,,,,,,,,
