Date,SPY
2001-01-02,
2001-01-03,0.048035690567011846
2001-01-04,-0.01076468815284537
2001-01-05,-0.03264268600363707
2001-01-08,0.007740228276577055
2001-01-09,-0.002640192001848063
2001-01-10,0.017569183089406026
2001-01-11,0.000946405523915006
2001-01-12,-0.0018905658386751956
2001-01-16,0.006392323442985903
2001-01-17,0.004587152634862202
2001-01-18,0.009952299278083387
2001-01-19,-0.0056807677770502885
2001-01-22,0.006645018286162374
2001-01-23,0.007876191619402118
2001-01-24,0.0029874926382715827
2001-01-25,-0.0025199614752120514
2001-01-26,-0.001148636768865674
2001-01-29,0.005335580042701293
2001-01-30,0.008784957995453091
2001-01-31,-0.0056609851336513195
2001-02-01,0.006641599745479176
2001-02-02,-0.02269249137387097
2001-02-05,0.007343769482865747
2001-02-06,-0.0029453742832107332
2001-02-07,-0.005170120963654656
2001-02-08,-0.011656483208162483
2001-02-09,-0.009615521253392934
2001-02-12,0.01145388870529529
2001-02-13,-0.008174475307021756
2001-02-14,-0.0015127212064381945
2001-02-15,0.009692981087565
2001-02-16,-0.022049077670166062
2001-02-20,-0.015413766814108998
2001-02-21,-0.021574615767291916
2001-02-22,0.0015120147817573315
2001-02-23,-0.006756060476624803
2001-02-26,0.021286863694725433
2001-02-27,-0.009246105316645048
2001-02-28,-0.01969348223792955
2001-03-01,0.005244469908625371
2001-03-02,-0.007946007646331688
2001-03-05,0.009142219263735152
2001-03-06,0.010742228155568245
2001-03-07,0.007138475452835857
2001-03-08,0.001102033875917785
2001-03-09,-0.02957770909101254
2001-03-12,-0.04280191860801297
2001-03-13,0.016429424413515026
2001-03-14,-0.01974681780471288
2001-03-15,0.0002553165602745544
2001-03-16,-0.020057046074872464
2001-03-19,0.020346051404730225
2001-03-20,-0.02684308996844975
2001-03-21,-0.016987673432778405
2001-03-22,-0.010155537917351465
2001-03-23,0.03023805746612962
2001-03-26,0.012753338226876743
2001-03-27,0.020441655340018183
2001-03-28,-0.027639345467797338
2001-03-29,0.003825165893851512
2001-03-30,0.010477665022105453
2001-04-02,-0.02133861517625002
2001-04-03,-0.03336220679077628
2001-04-04,0.0041664494089628246
2001-04-05,0.03788968247825353
