realization_date,signal_date,regime,transition_active,ret_A,ret_B,nav_A,nav_B,composite_ret
2001-01-12,2001-01-05,,False,0.08086155158214926,0.08086155158214926,1.0808615515821494,1.0808615515821494,0.0919432332623395
2001-01-19,2001-01-12,,False,0.009374791241818035,0.009374791241818035,1.0909944029895395,1.0909944029895395,0.0080918054862942
2001-01-26,2001-01-19,,False,0.02921776806324229,0.02921776806324229,1.1228708244143835,1.1228708244143835,0.0320712738711507
2001-02-02,2001-01-26,,False,0.010950626711692986,0.010950626711692986,1.1351669636579964,1.1351669636579964,0.017095008372013
2001-02-09,2001-02-02,,False,-0.039679888529917884,-0.039679888529917884,1.0901236650772017,1.0901236650772017,-0.0507581225175636
2001-02-16,2001-02-09,,False,0.004144662412156238,0.004144662412156238,1.0946418596564491,1.0946418596564491,0.0038587563589745
2001-02-23,2001-02-16,,False,-0.056465327216447314,-0.056465327216447314,1.0328325488661274,1.0328325488661274,-0.0624177053611372
2001-03-02,2001-02-23,,False,-0.007943198695888491,-0.007943198695888491,1.0246285547109029,1.0246285547109029,7.8070298387319e-05
2001-03-09,2001-03-02,,False,-0.02922102316163455,-0.02922102316163455,0.9946878599816235,0.9946878599816235,-0.0411252871055441
2001-03-16,2001-03-09,,False,-0.0696114184969958,-0.0696114184969958,0.9254462270865615,0.9254462270865615,-0.0730752644563302
2001-03-23,2001-03-16,,False,0.02171148269590672,0.02171148269590672,0.9455390368319435,0.9455390368319435,0.0288775598800849
2001-03-30,2001-03-23,,False,0.001018442191893632,0.001018442191893632,0.9465020136811357,0.9465020136811357,0.0057742801529315
2001-04-06,2001-03-30,,False,-0.06420907426018191,-0.06420907426018191,0.8857279955972719,0.8857279955972719,-0.0630674439173349
2001-04-12,2001-04-06,,False,0.07095935237086844,0.07095935237086844,0.9485786805416018,0.9485786805416018,0.0801275555950088
2001-04-20,2001-04-12,,False,0.05384259810943984,0.05384259810943984,0.999652621213186,0.999652621213186,0.0508347071659468
2001-04-27,2001-04-20,,False,0.04651036058449362,0.04651036058449362,1.0461468250850454,1.0461468250850454,0.0449561388712004
2001-05-04,2001-04-27,,False,0.03987990822704541,0.03987990822704541,1.0878670644614519,1.0878670644614519,0.0404661639773693
2001-05-11,2001-05-04,,False,-0.002868705389327924,-0.002868705389327924,1.0847462943507589,1.0847462943507589,0.0005546332352691
2001-05-18,2001-05-11,,False,0.05337874241584329,0.05337874241584329,1.1426486873834487,1.1426486873834487,0.0582492416932443
2001-05-25,2001-05-18,,False,0.010575269640485172,0.010575269640485172,1.1547325053568753,1.1547325053568753,0.0126439237779728
2001-06-01,2001-05-25,,False,-0.019362091437474162,-0.019362091437474162,1.1323744690023319,1.1323744690023319,-0.0237603120320788
2001-06-08,2001-06-01,,False,0.018841941242261306,0.018841941242261306,1.1537106022115107,1.1537106022115107,0.0219433114139898
2001-06-15,2001-06-08,,False,-0.045068193624221174,-0.045068193624221174,1.1017149494047254,1.1017149494047254,-0.0445926545866376
2001-06-22,2001-06-15,,False,-0.020795282684412546,-0.020795282684412546,1.0788044755942108,1.0788044755942108,-0.0227917060374246
2001-06-29,2001-06-22,,False,0.0401306048055056,0.0401306048055056,1.122097551666693,1.122097551666693,0.0413709729499978
2001-07-06,2001-06-29,,False,-0.025865815498974997,-0.025865815498974997,1.0930735834234306,1.0930735834234306,-0.0214727862113933
2001-07-13,2001-07-06,,False,0.026732025463254133,0.026732025463254133,1.1222936542887163,1.1222936542887163,0.0293824550194675
2001-07-20,2001-07-13,,False,0.0008359390866800699,0.0008359390866800699,1.1232318234210692,1.1232318234210692,-0.0033297915940246
2001-07-27,2001-07-20,,False,-0.011941217583770118,-0.011941217583770118,1.1098190678205835,1.1098190678205835,-0.0093048176209644
2001-08-03,2001-07-27,,False,0.0018913621871314546,0.0018913621871314546,1.111918137640017,1.111918137640017,0.0068051922670111
2001-08-10,2001-08-03,,False,-0.025069135815182803,-0.025069135815182803,1.0840433108321543,1.0840433108321543,-0.0283378467963114
2001-08-17,2001-08-10,,False,-0.015454617214466858,-0.015454617214466858,1.0672898364193402,1.0672898364193402,-0.0180003172884804
2001-08-24,2001-08-17,,False,0.015337397273300305,0.015337397273300305,1.0836592846462594,1.0836592846462594,0.0199284326790691
2001-08-31,2001-08-24,,False,-0.02940100382059272,-0.02940100382059272,1.0517986138781539,1.0517986138781539,-0.0309443383263229
2001-09-07,2001-08-31,,False,-0.04729560381373969,-0.04729560381373969,1.0020531633443321,1.0020531633443321,-0.048022813822938
2001-09-10,2001-09-07,,False,-0.04851539916509726,-0.04851539916509726,0.9534381541400334,0.9534381541400334,-0.0449801745808327
2001-09-21,2001-09-10,,False,-0.11143434015226875,-0.11143434015226875,0.8471924025574418,0.8471924025574418,-0.1161330132496269
2001-09-28,2001-09-21,,False,0.04606433574527751,0.04606433574527751,0.886217757829696,0.886217757829696,0.0533238456493501
2001-10-05,2001-09-28,,False,0.07839617896508229,0.07839617896508229,0.9556938437745468,0.9556938437745468,0.0904947538012884
2001-10-12,2001-10-05,,False,0.051847151908412596,0.051847151908412596,1.0052438476706604,1.0052438476706604,0.0531228128813256
2001-10-19,2001-10-12,,False,0.0015505102726311463,0.0015505102726311463,1.0068024885829732,1.0068024885829732,0.0053377033614191
2001-10-26,2001-10-19,,False,0.048638298916294516,0.048638298916294516,1.055771648972341,1.055771648972341,0.0535042889888473
2001-11-02,2001-10-26,SIDEWAYS,False,-0.002703156276299758,-0.002703156276299758,1.0529177332130821,1.0529177332130821,-0.0019135724713936
2001-11-09,2001-11-02,SIDEWAYS,False,0.03507264613834962,0.03507264613834962,1.0898463442828579,1.0898463442828579,0.0373507526041687
2001-11-16,2001-11-09,SIDEWAYS,False,0.04344490003693834,0.04344490003693834,1.1371946097658494,1.1371946097658494,0.0407727916662239
2001-11-23,2001-11-16,SIDEWAYS,False,0.01624801283251041,0.01624801283251041,1.1556717623783865,1.1556717623783865,0.0151947130114837
2001-11-30,2001-11-23,SIDEWAYS,False,0.00761547372529949,0.00761547372529949,1.1644727503198498,1.1644727503198498,0.0060217670661467
2001-12-07,2001-11-30,SIDEWAYS,False,0.042017093365473115,0.042017093365473115,1.2134005105915882,1.2134005105915882,0.0413163777053542
2001-12-14,2001-12-07,SIDEWAYS,False,-0.022428888256226406,-0.022428888256226406,1.1861852861294815,1.1861852861294815,-0.0221470945469732
2001-12-21,2001-12-14,SIDEWAYS,False,0.02528762843973899,0.02528762843973899,1.2161810989058093,1.2161810989058093,0.0210399959536567
2001-12-28,2001-12-21,SIDEWAYS,False,0.03194502337494103,0.03194502337494103,1.2550320325385167,1.2550320325385167,0.0353226389522982
2002-01-04,2001-12-28,SIDEWAYS,False,0.030679618772295175,0.030679618772295175,1.293535936843817,1.293535936843817,0.0377217731891233
2002-01-11,2002-01-04,SIDEWAYS,False,-0.023487773315447318,-0.023487773315447318,1.2631536579838447,1.2631536579838447,-0.0259826019790734
2002-01-18,2002-01-11,BEAR,False,-0.02620296097225516,-0.02620296097225516,1.2300552919817327,1.2300552919817327,-0.0251103914978269
2002-01-25,2002-01-18,BEAR,False,0.025815434132851957,0.025815434132851957,1.261809703351653,1.261809703351653,0.0258598231357471
2002-02-01,2002-01-25,BEAR,False,-0.012220979972885744,-0.012220979972885744,1.2463891522373995,1.2463891522373995,-0.0144633121563005
2002-02-08,2002-02-01,BEAR,False,-0.03847933004408538,-0.03847933004408538,1.198428932685089,1.198428932685089,-0.0383730432492216
2002-02-15,2002-02-08,BEAR,False,0.006248634607328044,0.006248634607328044,1.2059174771882883,1.2059174771882883,0.0071873866672238
2002-02-22,2002-02-15,BEAR,False,-0.024932540001332628,-0.024932540001332628,1.1758508914499852,1.1758508914499852,-0.0342568524995716
2002-03-01,2002-02-22,BEAR,False,0.05708462098749217,0.05708462098749217,1.2429738939262125,1.2429738939262125,0.0586047267931075
2002-03-08,2002-03-01,BEAR,False,0.07066889037447041,0.07066889037447041,1.3308134797744124,1.3308134797744124,0.0765528501283655
2002-03-15,2002-03-08,SIDEWAYS,False,0.004669664323838286,0.004669664323838286,1.337027932002598,1.337027932002598,0.0048789547253104
2002-03-22,2002-03-15,SIDEWAYS,False,-0.004727502187397252,-0.004727502187397252,1.3307071295294444,1.3307071295294444,-0.0067833561343075
2002-03-28,2002-03-22,BULL,False,0.010332276919365611,0.010332276919365611,1.3444563640903169,1.3444563640903169,0.009000352946003
2002-04-05,2002-03-28,BULL,False,-0.03012968188725222,-0.03012968188725222,1.303948321528984,1.303948321528984,-0.0276458763869187
2002-04-12,2002-04-05,BEAR,True,0.020293211023072674,0.018864317324845708,1.3304096199809532,1.3285464164415066,0.0182058843808947
2002-04-19,2002-04-12,BEAR,True,0.02696389888791289,0.026226711260826215,1.366282650453626,1.3633898197021235,0.0317472359937182
2002-04-26,2002-04-19,BEAR,True,-0.02537617641713526,-0.024375226402307017,1.3316116208800437,1.3301568841722837,-0.0215425167475586
2002-05-03,2002-04-26,BEAR,True,-0.0067174953186184775,-0.004989953877099308,1.3226665260505641,1.3235194626709579,-0.0140162490685995
2002-05-10,2002-05-03,BEAR,False,-0.01122299251642961,-0.01122299251642961,1.3078222495269667,1.3086656136460526,-0.0064205890765357
2002-05-17,2002-05-10,BEAR,False,0.03605987329693555,0.03605987329693555,1.3549821541398224,1.3558559298621855,0.0383812325047064
2002-05-24,2002-05-17,BEAR,False,-0.015049829209127983,-0.015049829209127983,1.3345899041386018,1.335450529685576,-0.0125741928315217
2002-05-31,2002-05-24,BEAR,False,-0.021809474965331196,-0.021809474965331196,1.3054831990353073,1.3063250547909604,-0.0204861607610582
