,0
2001-01-31,0.04187926057157676
2001-02-28,-0.03961228936265071
2001-03-31,-0.03310140656468184
2001-04-30,-0.009366556736376
2001-05-31,0.03496153566133611
2001-06-30,0.00601669859953257
2001-07-31,-0.03143852699276756
2001-08-31,-0.027340048103530516
2001-09-30,-0.05047535791608143
2001-10-31,0.10346254104900424
2001-11-30,0.08077591419474509
2001-12-31,0.007384661844339772
2002-01-31,-0.012598352239780779
2002-02-28,-0.09082975132305893
2002-03-31,0.01600871479991192
2002-04-30,-0.06864145862374192
2002-05-31,-0.039831082303947926
2002-06-30,-0.036216499613211176
2002-07-31,-0.0017343461017818584
2002-08-31,-0.010940611930533434
2002-09-30,-0.05232817305385848
2002-10-31,0.061077782465997835
2002-11-30,0.13548368392573246
2002-12-31,-0.03497663381290757
2003-01-31,0.0013281464815548434
2003-02-28,0.01702294051577065
2003-03-31,-0.0181207738092035
2003-04-30,0.016753180836724613
2003-05-31,0.060847816171667304
2003-06-30,-0.0038375795649969666
2003-07-31,0.010169813124045704
2003-08-31,0.015261624846299338
2003-09-30,0.007077755453842606
2003-10-31,0.013639344289173183
2003-11-30,0.014103819810521823
2003-12-31,0.007925780999141152
2004-01-31,0.04798132157781416
2004-02-29,-0.005672282675418401
2004-03-31,-0.0008162393051297824
2004-04-30,0.0022403747434984467
2004-05-31,0.017350610528484963
2004-06-30,0.0019135944543958242
2004-07-31,0.010398583781826995
2004-08-31,-0.022356799764016257
2004-09-30,0.006948906129254383
2004-10-31,0.010077641958669753
2004-11-30,-0.019445924709145843
2004-12-31,-0.005264897614622406
2005-01-31,0.00864191765303015
2005-02-28,0.0057419831985174585
2005-03-31,0.020045749079046077
2005-04-30,0.02212711534335554
2005-05-31,0.005963508132068168
2005-06-30,0.0003889816428225834
2005-07-31,-0.008054238752570123
2005-08-31,0.006413569167459016
2005-09-30,0.005521049186567161
2005-10-31,0.012924436422799952
2005-11-30,-0.0021740622393465747
2005-12-31,0.01518053074648626
2006-01-31,0.0013923817329063726
2006-02-28,0.0018224108381782664
2006-03-31,0.01975007303103051
2006-04-30,0.00023477179921872066
2006-05-31,-0.013543858118897113
2006-06-30,0.008075969559518833
2006-07-31,-0.006791289512769624
2006-08-31,0.004824140281804633
2006-09-30,-0.006885067321376551
2006-10-31,-0.0071465329302508665
2006-11-30,-0.003963753152691908
2006-12-31,-0.007239551418167461
2007-01-31,0.004915802150541562
2007-02-28,-0.006368199411223929
2007-03-31,0.01044088458193694
2007-04-30,-0.0037208846003791776
2007-05-31,9.517685763816425e-05
2007-06-30,-0.006324912141171117
2007-07-31,-0.018897441826811308
2007-08-31,-0.019615381392235027
2007-09-30,-0.003741724992145354
2007-10-31,0.004542039280671352
2007-11-30,-0.012258899024193956
2007-12-31,-0.013181843191280424
2008-01-31,0.015336252847560003
2008-02-29,0.012488486843609547
2008-03-31,0.009418158067657077
2008-04-30,0.0059407355484564425
2008-05-31,-0.0005539732492836555
2008-06-30,0.02789514048588107
2008-07-31,-0.0014382460136481128
2008-08-31,0.0025549170092161143
2008-09-30,0.0006224516049173623
2008-10-31,-0.014132406510854123
2008-11-30,-0.014016200599439255
2008-12-31,-0.018585466867494023
2009-01-31,-0.007059736517996976
2009-02-28,0.011973229804994684
2009-03-31,0.05809196277059188
2009-04-30,0.11458738531912024
2009-05-31,0.05660352029233248
2009-06-30,-0.008261936214053422
2009-07-31,0.04885287684637353
2009-08-31,0.03380824240202532
2009-09-30,0.033155868841092465
2009-10-31,-0.03825914879973182
2009-11-30,-0.006529003970618404
2009-12-31,0.023336164984208554
2010-01-31,0.0006873348935181739
2010-02-28,0.027576097513091244
2010-03-31,0.013852042732030806
2010-04-30,0.04680065093891407
2010-05-31,0.0008394179410527725
2010-06-30,-0.02888439065658438
2010-07-31,0.008800883089764053
2010-08-31,-0.010225139074982778
2010-09-30,0.016935295250556204
