,Q1
2001-01-31,0.14197158629411485
2001-02-28,-0.12318657916810019
2001-03-31,-0.07559099710208081
2001-04-30,0.14675267445531964
2001-05-31,0.021131710202837
2001-06-30,0.019950416007145814
2001-07-31,-0.046940431880360456
2001-08-31,-0.06196526455275567
2001-09-30,-0.15638637879902062
2001-10-31,0.12530033383057082
2001-11-30,0.09558234123782038
2001-12-31,0.0580700721500857
2002-01-31,-0.010526451615398067
2002-02-28,-0.03675344529560873
2002-03-31,0.08602804914239902
2002-04-30,-0.018279200933409335
2002-05-31,-0.0330585348382368
2002-06-30,-0.0594634092403517
2002-07-31,-0.10609951869023895
2002-08-31,0.010880974212866457
2002-09-30,-0.07146920181353003
2002-10-31,0.08081118532765803
2002-11-30,0.08246159526189716
2002-12-31,-0.05746959850698953
2003-01-31,-0.02461479947616506
2003-02-28,-0.011018549896432773
2003-03-31,0.03534648754730689
2003-04-30,0.09139304580073083
2003-05-31,0.07841782118314988
2003-06-30,0.03147959795362328
2003-07-31,0.05018798357661431
2003-08-31,0.049321006554205356
2003-09-30,-0.015889592206817335
2003-10-31,0.08657736587605319
2003-11-30,0.03397847841722757
2003-12-31,0.009963041261256987
2004-01-31,0.03828448500921588
2004-02-29,0.0026029006286462488
2004-03-31,0.007430675963633997
2004-04-30,-0.03522683863985877
2004-05-31,0.012728777258409837
2004-06-30,0.03102280020371605
2004-07-31,-0.07085708175227853
2004-08-31,-0.02150939746711467
2004-09-30,0.055924741084848587
2004-10-31,0.026638849342245554
2004-11-30,0.06573433368081374
2004-12-31,0.04575418519479148
2005-01-31,-0.032251231498036534
2005-02-28,0.019998520553142014
2005-03-31,-0.02041638472037019
2005-04-30,-0.05718139269971818
2005-05-31,0.07386822729250567
2005-06-30,0.024656418819552866
2005-07-31,0.0649503965885799
2005-08-31,-0.018412877875056497
2005-09-30,0.015381189741053312
2005-10-31,-0.01965183425131015
2005-11-30,0.05773441369577062
2005-12-31,0.0009453680415795472
2006-01-31,0.08729539725115523
2006-02-28,-0.016320080888689248
2006-03-31,0.030077383817174907
2006-04-30,0.006192535220910313
2006-05-31,-0.06842918304195551
2006-06-30,0.0005264415571151178
2006-07-31,-0.04790636639666135
2006-08-31,0.025925149656621297
2006-09-30,0.019485629684335443
2006-10-31,0.05184636943885127
2006-11-30,0.02374075922081201
2006-12-31,-0.004088462732584937
2007-01-31,0.021698944425007832
2007-02-28,-7.747118030950873e-05
2007-03-31,0.013896139004023795
2007-04-30,0.031616204376188735
2007-05-31,0.044684828807551744
2007-06-30,-0.003092574637530485
2007-07-31,-0.04557501900111785
2007-08-31,0.0033917232024372125
2007-09-30,0.026647562749447067
2007-10-31,0.02656544869862232
2007-11-30,-0.0668490925039643
2007-12-31,0.007613489337477299
2008-01-31,-0.07948243123449121
2008-02-29,-0.023341781170030437
2008-03-31,-0.008101160975174413
2008-04-30,0.054970526925076396
2008-05-31,0.04892415535329608
2008-06-30,-0.06555147313254887
2008-07-31,-0.000910861214970666
2008-08-31,0.0255610351122867
2008-09-30,-0.11385960576483987
2008-10-31,-0.1896831847556624
2008-11-30,-0.10351413013469732
2008-12-31,0.048131193543316735
2009-01-31,-0.0629432160568651
2009-02-28,-0.07550412140085967
2009-03-31,0.10184988393686203
2009-04-30,0.14436149984031513
2009-05-31,0.054445816520586506
2009-06-30,0.023933994124404397
2009-07-31,0.07260597545812109
2009-08-31,0.013275509158960414
2009-09-30,0.07061963988378807
2009-10-31,-0.04469948571362466
2009-11-30,0.03173220508331292
2009-12-31,0.07003951690370626
2010-01-31,-0.039954856134210424
2010-02-28,0.04232470231162508
2010-03-31,0.06665934016259588
2010-04-30,0.029965584774501217
2010-05-31,-0.06480975636046338
2010-06-30,-0.04747268581300102
2010-07-31,0.05490998459700754
2010-08-31,-0.061025184890043126
2010-09-30,0.13339845714505194
2010-10-31,0.04825328225970222
2010-11-30,0.041612289668090496
2010-12-31,0.0592692468366148
2011-01-31,-0.002105981654693621
2011-02-28,0.045917389868396705
2011-03-31,0.020727810636676575
2011-04-30,0.028312742289417173
2011-05-31,-0.008443849265604313
2011-06-30,-0.013598946909255583
2011-07-31,-0.036518501195088524
2011-08-31,-0.07881800982366209
2011-09-30,-0.09251047693664594
2011-10-31,0.1480185163810863
2011-11-30,-0.013752803044177607
2011-12-31,-0.007095323924716555
2012-01-31,0.07567953279695389
2012-02-29,0.03730075702094103
2012-03-31,0.02874924806931311
2012-04-30,-0.01697450680193036
2012-05-31,-0.08141998961579595
2012-06-30,0.03440280832150392
2012-07-31,-0.018238684070601533
2012-08-31,0.03498434022673134
2012-09-30,0.023952546800020402
2012-10-31,-0.04507603961859933
2012-11-30,0.011260743459831505
2012-12-31,0.01762315194112158
2013-01-31,0.056888187935451216
2013-02-28,0.0039203371204540646
2013-03-31,0.03414351719760946
2013-04-30,0.007144381330495821
2013-05-31,0.04519114966977086
2013-06-30,-0.005925889101109201
2013-07-31,0.07092675445109614
2013-08-31,-0.015448090422446341
2013-09-30,0.05407095860318409
2013-10-31,0.027617512242025286
2013-11-30,0.037964331537991974
2013-12-31,0.015756826840047585
2014-01-31,-0.029749000729389286
2014-02-28,0.046885774196438475
2014-03-31,-0.0033659053821929793
2014-04-30,-0.02851029326111541
2014-05-31,0.005641479089883263
2014-06-30,0.04849999251066615
2014-07-31,-0.045419390573679906
2014-08-31,0.05128691397918824
2014-09-30,-0.034820162561664016
2014-10-31,0.043789887064503465
2014-11-30,0.01652668450088177
2014-12-31,0.009234026157613717
2015-01-31,-0.02401202599998872
2015-02-28,0.05873139603855672
2015-03-31,0.006311397785987096
2015-04-30,-0.007027639974399976
2015-05-31,0.00949418364968544
2015-06-30,-0.0006294589941523825
2015-07-31,-0.008779091400753699
2015-08-31,-0.05389003895019734
2015-09-30,-0.04550178084297237
2015-10-31,0.060276316206733564
2015-11-30,0.013899986247407967
2015-12-31,-0.031234229724215495
2016-01-31,-0.059303346196383507
2016-02-29,0.021776797292167874
2016-03-31,0.06547507720784844
2016-04-30,0.003785292939393848
2016-05-31,0.011012237777940538
2016-06-30,0.003607608443898183
2016-07-31,0.0545884818009267
2016-08-31,0.005569470067188223
2016-09-30,0.004494733518567336
2016-10-31,-0.03707704978981498
2016-11-30,0.0753051372722467
2016-12-31,0.013514342923040717
2017-01-31,0.008517596800329891
2017-02-28,0.01866755255265942
2017-03-31,0.01669553955243601
2017-04-30,0.019454207094106075
2017-05-31,-0.002767612542096625
2017-06-30,0.015650151848811102
2017-07-31,0.0013119667204662246
2017-08-31,-0.004790653668835267
2017-09-30,0.042772532495111176
2017-10-31,0.015032327017270836
2017-11-30,0.03666080370754603
2017-12-31,0.0040780796609819195
2018-01-31,0.03993362524126464
2018-02-28,-0.030689469719808453
2018-03-31,0.01009516623304923
2018-04-30,0.006479626324533018
2018-05-31,0.06728884056951057
2018-06-30,0.013488969051246346
2018-07-31,0.01941426132817408
2018-08-31,0.051637526490330155
2018-09-30,-0.015607947579663538
2018-10-31,-0.09678005579184426
2018-11-30,0.0015901961950544267
2018-12-31,-0.09934895508738706
2019-01-31,0.09756822342096068
2019-02-28,0.050130489840600416
2019-03-31,-0.002630380975084439
2019-04-30,0.02503868835054709
2019-05-31,-0.08989509901472098
2019-06-30,0.06440619212805844
2019-07-31,0.011730690819630726
2019-08-31,-0.05056691569573461
2019-09-30,0.01001629072552308
2019-10-31,0.012774837472926105
2019-11-30,0.03142670365149651
2019-12-31,0.036230786773470545
2020-01-31,-0.03036062012987943
2020-02-29,-0.08441043057403905
2020-03-31,-0.14765274672817
2020-04-30,0.16899980858168323
2020-05-31,0.08059087826141163
2020-06-30,0.029975080897095652
2020-07-31,0.046317168367328576
2020-08-31,0.03280550090011822
2020-09-30,-0.031214493880756065
2020-10-31,-0.0004500705182579275
2020-11-30,0.12476572890104214
2020-12-31,0.06197795707381108
2021-01-31,0.03493188303516331
2021-02-28,0.04577966162998045
2021-03-31,0.018403873198547686
2021-04-30,0.02461136487735735
2021-05-31,0.01103919855038531
2021-06-30,0.028119131800878317
2021-07-31,-0.0005531815753849242
2021-08-31,0.015235242959775583
2021-09-30,-0.043651212686761275
2021-10-31,0.04887005314066553
2021-11-30,-0.019259866166162393
2021-12-31,0.031184597443233136
2022-01-31,-0.09428449644048052
2022-02-28,-0.009783558675243626
2022-03-31,0.010844619027367252
2022-04-30,-0.08356208980532104
2022-05-31,0.015893993697200536
2022-06-30,-0.0721625268951964
2022-07-31,0.11957996005815315
2022-08-31,-0.04003076003949406
2022-09-30,-0.08806736137176684
2022-10-31,0.10299211918008119
2022-11-30,0.06041164530077059
2022-12-31,-0.06586888323373986
2023-01-31,0.08289579787472678
2023-02-28,-0.019114939945153838
2023-03-31,-0.0006108381487123403
2023-04-30,-0.01786645037729898
2023-05-31,-0.012039188162716256
2023-06-30,0.07797939344358136
2023-07-31,0.05107175037853535
2023-08-31,-0.02576033758507999
2023-09-30,-0.042293154476698465
2023-10-31,-0.05114756745162877
2023-11-30,0.07030344681896622
2023-12-31,0.07675225004537208
2024-01-31,-0.02194420563806524
2024-02-29,0.05652633169381408
2024-03-31,0.022150299336031826
2024-04-30,-0.05503693549160077
2024-05-31,0.03975506452107927
2024-06-30,-0.005279564061291949
2024-07-31,0.05813433756742835
2024-08-31,-0.00884827577193664
2024-09-30,0.0062926048666959965
2024-10-31,-0.011380387721857446
2024-11-30,0.09342229922463788
2024-12-31,-0.049047328010843196
2025-01-31,0.026415370048211664
