,0
2001-01-31,-0.1371110425463547
2001-02-28,0.2683350814810106
2001-03-31,0.09058365083720996
2001-04-30,-0.08835532006180816
2001-05-31,-0.006165770751237851
2001-06-30,0.00824781099894194
2001-07-31,0.11194714335803281
2001-08-31,0.08494076569616323
2001-09-30,0.07367715924663626
2001-10-31,-0.08802662363377688
2001-11-30,-0.012216005969065385
2001-12-31,0.008148414325525793
2002-01-31,0.08469876847584558
2002-02-28,0.08610167510385422
2002-03-31,-0.026092028348849244
2002-04-30,0.06844176533162037
2002-05-31,0.05407373941633313
2002-06-30,0.04698644103844467
2002-07-31,0.07709021721841647
2002-08-31,-0.000978291935706806
2002-09-30,0.015227336747923786
2002-10-31,0.0016308289460143927
2002-11-30,-0.07958722397919339
2002-12-31,0.02892792326510247
2003-01-31,0.006251126612206219
2003-02-28,0.028309105563655356
2003-03-31,-0.005826779234109087
2003-04-30,-0.01702179596235244
2003-05-31,-0.059638240796187306
2003-06-30,-0.005744048011192215
2003-07-31,-0.001625809465307708
2003-08-31,0.0027136010993700985
2003-09-30,0.0021531308497076997
2003-10-31,-0.0045207853749183735
2003-11-30,0.018729453443573102
2003-12-31,0.00818414311407906
2004-01-31,-0.03373750567005164
2004-02-29,0.021587570866315974
2004-03-31,0.02689297885431157
2004-04-30,0.05667783908091015
2004-05-31,0.012437832197832524
2004-06-30,0.017218165899365225
2004-07-31,0.07481971726044415
2004-08-31,0.0032464539570585486
2004-09-30,-0.03401171945575552
2004-10-31,-0.002396623278923312
2004-11-30,-0.024993118121854035
2004-12-31,-0.012874085681764479
2005-01-31,0.030525918206203324
2005-02-28,0.011990406681417926
2005-03-31,0.05207428408800648
2005-04-30,0.0278573932905982
2005-05-31,-0.0031276986284176633
2005-06-30,-0.028966461391855304
2005-07-31,-0.026595012924001377
2005-08-31,-0.013233341222572425
2005-09-30,-0.024962405185684416
2005-10-31,0.04675032519546867
2005-11-30,0.005561313452575489
2005-12-31,-0.003709515364045722
2006-01-31,-0.06847805071183241
2006-02-28,0.0002913200077180706
2006-03-31,0.00573590793264224
2006-04-30,0.010882229600273022
2006-05-31,0.03982866295430613
2006-06-30,0.011719538389362247
2006-07-31,0.031460641564220126
2006-08-31,-0.012066108378591536
2006-09-30,0.03574178991721613
2006-10-31,-0.01972206186690679
2006-11-30,-0.0063227731603575435
2006-12-31,0.0180019861689989
2007-01-31,0.010949173515646098
2007-02-28,0.008177681629865891
2007-03-31,0.0046448177093391906
2007-04-30,-0.0010150250788413875
2007-05-31,0.023277817223216035
2007-06-30,-0.004446574825391562
2007-07-31,-0.0024881977833557875
2007-08-31,-0.008262283441737428
2007-09-30,-0.029143739611708734
2007-10-31,-0.026948180481166602
2007-11-30,0.040067049487217156
2007-12-31,-0.006493397773921693
2008-01-31,0.04751272800735223
2008-02-29,0.010003506795167066
2008-03-31,0.0397684612910126
2008-04-30,-0.016034313440721017
2008-05-31,-0.0189967838249211
2008-06-30,-0.024952850331406692
2008-07-31,0.030550573550368977
2008-08-31,0.03381790942806644
2008-09-30,0.053532835872906526
2008-10-31,0.03643821029851488
2008-11-30,0.023046545708034882
2008-12-31,0.041195237750865296
2009-01-31,-0.04221087983684766
2009-02-28,0.030262974520919486
2009-03-31,0.008212891031854172
2009-04-30,-0.008849617495890832
2009-05-31,-0.06940443915871715
2009-06-30,-0.003280923229968667
2009-07-31,0.003010328171444393
2009-08-31,0.022180851238257353
2009-09-30,-0.03495895613095845
2009-10-31,0.04501798887447588
2009-11-30,-0.003262547238759815
2009-12-31,-0.009080040666766667
2010-01-31,0.007824456809463108
2010-02-28,0.009706133586384197
2010-03-31,0.00541437556250067
2010-04-30,-0.010560719489707812
2010-05-31,0.04197978690386782
2010-06-30,0.015115088244373687
2010-07-31,-0.006356423503701983
2010-08-31,0.021137915419814288
