,0
2000-03-03,0.041498841762483474
2000-03-06,-0.033864484881560124
2000-03-07,-0.022497957967309357
2000-03-08,0.02344568211511998
2000-03-09,0.014477146950567052
2000-03-10,-0.0165134135260366
2000-03-13,-0.01265303736756198
2000-03-14,-0.10760973883694618
2000-03-15,0.003804526499091687
2000-03-16,0.04041955257237438
2000-03-17,0.010588419670435186
2000-03-20,-0.04899203258942217
2000-03-21,-0.009674988325297904
2000-03-22,0.15549314206862277
2000-03-23,0.024714848520575733
2000-03-24,-0.009197419200820185
2000-03-27,-0.02801706649100406
2000-03-28,-0.00778859730121349
2000-03-29,-0.0873749729707103
2000-03-30,-0.04526324787515007
2000-03-31,0.04764547953030248
2000-04-03,-0.0815476915137595
2000-04-04,-0.025676997706978455
2000-04-05,0.032720899506180685
2000-04-06,0.048462881965302844
2000-04-07,1.7376650850244577e-05
2000-04-10,-0.030131994708943025
2000-04-11,-0.04195757794799611
2000-04-12,-0.11579682734345599
2000-04-13,-0.040425969269597274
2000-04-14,-0.14128139994114297
2000-04-17,0.011900244662630143
2000-04-18,0.20921379634799023
2000-04-19,0.0197206834617809
2000-04-20,-0.012258648598979202
2000-04-24,-0.065164980845782
2000-04-25,0.06862382284629018
2000-04-26,-0.011638931549132172
2000-04-27,0.04344620787281555
2000-04-28,-0.007083963119764479
2000-05-01,0.03652940765549801
2000-05-02,-0.028599379643568356
2000-05-03,0.01602264494570136
2000-05-04,0.009059964538210976
2000-05-05,0.04142201931684161
2000-05-08,-0.04167247773122366
2000-05-09,-0.011067744161961008
2000-05-10,-0.06594856709983722
2000-05-11,0.06682767225007746
2000-05-12,0.01851608093008606
2000-05-15,0.03280911095490649
2000-05-16,0.02299260030231768
2000-05-17,-0.02236023495677634
2000-05-18,-0.031735023579237076
2000-05-19,-0.0247443004851792
2000-05-22,-0.02576621604235691
2000-05-23,-0.05512656161250719
2000-05-24,0.047549066448292744
2000-05-25,-0.017128035780483844
2000-05-26,0.06089373875640423
2000-05-30,0.06339858502311764
2000-05-31,-0.018566679617224965
2000-06-01,0.06362658550615477
2000-06-02,0.06522646740404821
2000-06-05,-0.0315018642618441
2000-06-06,0.00936816973255595
2000-06-07,0.00954056677997068
2000-06-08,-0.01021393503415923
2000-06-09,0.006140355390446483
2000-06-12,-0.04117060249495915
2000-06-13,0.026571921470328295
2000-06-14,0.0010848843563151828
2000-06-15,-0.02346497834629737
2000-06-16,0.02784702131058835
2000-06-19,0.004023507780202665
2000-06-20,-0.022884796650847493
2000-06-21,0.04826209867760356
2000-06-22,-0.014020169413772054
2000-06-23,0.016316297264858077
2000-06-26,-0.0005335704627302068
2000-06-27,-0.003558384561688979
2000-06-28,0.03416547231565997
2000-06-29,-0.015193111722461152
2000-06-30,0.02648174248562239
2000-07-03,0.0367268836687988
2000-07-05,-0.029012098866574892
2000-07-06,0.005473026136561159
2000-07-07,0.02039988278223351
2000-07-10,-0.0034896940298792243
2000-07-11,-0.021438083609300378
2000-07-12,0.09866996529924028
2000-07-13,-0.03928747017308946
2000-07-14,-0.0022884966634797318
2000-07-17,0.020031617842588143
