,0
2001-01-31,0.32081411723927067
2001-02-28,-0.10604275232962579
2001-03-31,-0.18125461651098596
2001-04-30,0.21554790962160908
2001-05-31,0.10321721594771449
2001-06-30,0.011795067465169229
2001-07-31,-0.00881960621640332
2001-08-31,-0.0665315633734509
2001-09-30,-0.20091594085230713
2001-10-31,0.26034272016985605
2001-11-30,0.10342318323286537
2001-12-31,0.0812252369319526
2002-01-31,-0.037504767297694364
2002-02-28,-0.11678994107380192
2002-03-31,0.17666211437552137
2002-04-30,-0.06081099165978232
2002-05-31,-0.03194594560416464
2002-06-30,-0.08777567942168318
2002-07-31,-0.1260429717441044
2002-08-31,0.09713994357822142
2002-09-30,-0.11372149731621395
2002-10-31,0.1267099383688568
2002-11-30,0.08804559934254375
2002-12-31,-0.016073825362152405
2003-01-31,0.010532497655286521
2003-02-28,-0.024361056772767453
2003-03-31,0.040801749455689595
2003-04-30,0.08665978595692514
2003-05-31,0.14611192011102414
2003-06-30,0.04920920651679195
2003-07-31,0.048534436785471646
2003-08-31,0.08140142652000937
2003-09-30,-0.014971668519700665
2003-10-31,0.09414874179227217
2003-11-30,0.0291273153817595
2003-12-31,0.0024679357939485502
2004-01-31,0.07389568291890503
2004-02-29,0.004022925635098762
2004-03-31,-0.036521819676301304
2004-04-30,0.0009940186612311663
2004-05-31,0.03392114975219007
2004-06-30,0.020872667532810363
2004-07-31,-0.08320700306888906
2004-08-31,-0.013303071113080378
2004-09-30,0.036640740277147144
2004-10-31,0.018002241258906704
2004-11-30,0.10484169522565367
2004-12-31,0.055307085065924744
2005-01-31,-0.068909829372094
2005-02-28,0.03599941184465694
2005-03-31,-0.029643233216421483
2005-04-30,-0.06482787216091845
2005-05-31,0.07999166174447114
2005-06-30,0.01935341692295034
2005-07-31,0.10062897998276044
2005-08-31,-0.03980519378303393
2005-09-30,0.005460014200407093
2005-10-31,-0.0433959192413661
2005-11-30,0.08649512228067668
2005-12-31,0.006169383938602779
2006-01-31,0.07751910360064618
2006-02-28,0.01565244120396092
2006-03-31,0.029872273655458192
2006-04-30,0.004988896433521406
2006-05-31,-0.04970667209067203
2006-06-30,-0.0215942341675458
2006-07-31,-0.03494125178535623
2006-08-31,0.010609377914314155
2006-09-30,0.033533189062989965
2006-10-31,0.056832985248519874
2006-11-30,0.02945227343221757
2006-12-31,0.005453473507447404
2007-01-31,0.008826087585073417
2007-02-28,0.05087907331438868
2007-03-31,-0.039096804191810164
2007-04-30,0.04574334198572361
2007-05-31,0.006189229568869026
2007-06-30,0.008339649173846553
2007-07-31,-0.06683585959635452
2007-08-31,0.024006202651220665
2007-09-30,0.003441309519556013
2007-10-31,0.012644124525691192
2007-11-30,-0.05804254958037658
2007-12-31,0.013467685733251411
2008-01-31,-0.08838081464454628
