,Q1
2001-01-31,0.07437691912183564
2001-02-28,-0.003316905025215409
2001-03-31,-0.012088907662109434
2001-04-30,0.06395758209418709
2001-05-31,0.042695637805793545
2001-06-30,0.02516565266820657
2001-07-31,-0.006111872540477789
2001-08-31,-0.00663866210095502
2001-09-30,-0.13397815242252614
2001-10-31,0.06261718910840404
2001-11-30,0.103864665192512
2001-12-31,0.06757986151998738
2002-01-31,0.015409928010989036
2002-02-28,-0.010930566282083592
2002-03-31,0.07607182768909541
2002-04-30,0.003546235596662999
2002-05-31,-0.019068761171700588
2002-06-30,-0.06085735952134916
2002-07-31,-0.11141820529483892
2002-08-31,0.0033035606405452974
2002-09-30,-0.08326287450630451
2002-10-31,0.053304538339570905
2002-11-30,0.0848198358812587
2002-12-31,-0.049065247742242156
2003-01-31,-0.023013295404878783
2003-02-28,-0.02033464763768163
2003-03-31,0.016074224781006813
2003-04-30,0.08216667749591633
2003-05-31,0.08978719124475056
2003-06-30,0.02214546566118691
2003-07-31,0.05454359585956264
2003-08-31,0.0468379726730134
2003-09-30,-0.007746989149975705
2003-10-31,0.07937312498588424
2003-11-30,0.04551364559561157
2003-12-31,0.02952203099974646
2004-01-31,0.038031394887978034
2004-02-29,0.019393056153375086
2004-03-31,0.0053044820323717564
2004-04-30,-0.014853034356471229
2004-05-31,0.005828301601290452
2004-06-30,0.033216054294391235
2004-07-31,-0.04926404595469024
2004-08-31,-0.013014970628224288
2004-09-30,0.032595672100908725
2004-10-31,0.0171785132563749
2004-11-30,0.07476003876727404
2004-12-31,0.04101692239417172
2005-01-31,-0.03103133091233183
2005-02-28,0.023296654896078992
2005-03-31,-0.008547084083419794
2005-04-30,-0.05273772298233589
2005-05-31,0.06524637378629827
2005-06-30,0.015126324197966265
2005-07-31,0.048619963616981926
2005-08-31,-0.021624651950581945
2005-09-30,-0.004443136065308428
2005-10-31,-0.019753317862390367
2005-11-30,0.04627230231469786
2005-12-31,0.0037529651794962495
2006-01-31,0.0485688432938341
2006-02-28,-0.0016378392668516433
2006-03-31,0.0382076940821241
2006-04-30,0.0013275446612587378
2006-05-31,-0.039377957727960745
2006-06-30,-0.009470841577726442
2006-07-31,-0.025501251202954472
2006-08-31,0.031140751539513848
2006-09-30,0.02462529393376334
2006-10-31,0.0459166553419658
2006-11-30,0.027164298540331665
2006-12-31,0.008358310927945636
2007-01-31,0.03227462548361952
2007-02-28,0.002207527756007376
2007-03-31,0.012993448196416076
2007-04-30,0.035021370817833006
2007-05-31,0.044429486587763696
2007-06-30,-0.01756752585885133
2007-07-31,-0.05115245978951333
2007-08-31,-0.005927800775976216
2007-09-30,0.0022333577651215426
2007-10-31,0.008450932182322053
2007-11-30,-0.06002960406535907
2007-12-31,-0.006130935104893271
2008-01-31,-0.05179328932476327
2008-02-29,-0.0287178439610458
2008-03-31,-0.00460047588714542
2008-04-30,0.039968571244186665
2008-05-31,0.03484194145074535
2008-06-30,-0.10299881631742724
2008-07-31,0.03489126185377122
2008-08-31,0.045111596244152535
2008-09-30,-0.09883239826833037
2008-10-31,-0.21784978302526978
2008-11-30,-0.1288125503596278
2008-12-31,0.07079511446443565
2009-01-31,-0.08788554552438739
2009-02-28,-0.09536983671508244
2009-03-31,0.10891960062292735
2009-04-30,0.20964368788653917
2009-05-31,0.03724156678350041
2009-06-30,0.024951270285393557
2009-07-31,0.09265787429204005
2009-08-31,0.0397305466072916
2009-09-30,0.06473356838417658
2009-10-31,-0.046450649425325195
2009-11-30,0.036204573926479716
2009-12-31,0.06713797474015519
2010-01-31,-0.03445366082238697
2010-02-28,0.05606771948477386
2010-03-31,0.06793109930231703
2010-04-30,0.048576713714900334
2010-05-31,-0.0670019866104125
2010-06-30,-0.07175246180218695
2010-07-31,0.06279842066523093
2010-08-31,-0.057147153335853185
2010-09-30,0.12044493175431097
2010-10-31,0.03744292919612895
2010-11-30,0.027996704932069738
2010-12-31,0.05753476094826378
2011-01-31,0.007028585799869196
2011-02-28,0.047838497691332235
2011-03-31,0.019326888785352537
2011-04-30,0.030887777774295078
2011-05-31,-0.004266009267304557
2011-06-30,-0.013765568461665025
2011-07-31,-0.03406925037744943
2011-08-31,-0.06537776459097094
2011-09-30,-0.0791378955171161
2011-10-31,0.12758498998097603
2011-11-30,-0.0012651778908975989
2011-12-31,0.005342036215963085
2012-01-31,0.06914765726722183
2012-02-29,0.03638387666842032
2012-03-31,0.02743529129726939
2012-04-30,-0.00658696989453593
2012-05-31,-0.06654251507763309
2012-06-30,0.033059448149393704
2012-07-31,-0.005975194589730424
2012-08-31,0.031173282973090046
2012-09-30,0.025203646779029962
2012-10-31,-0.01639080334380701
2012-11-30,0.02568685032709385
2012-12-31,0.0288518911889409
2013-01-31,0.06126776205319608
2013-02-28,0.012930727955701564
2013-03-31,0.04919104229599783
2013-04-30,0.009846288729735139
2013-05-31,0.057776182217288696
2013-06-30,-0.006504813051653284
2013-07-31,0.06865842167097162
2013-08-31,-0.030716292297625996
2013-09-30,0.050472288788515965
2013-10-31,0.030137989565745798
2013-11-30,0.04187651880881234
2013-12-31,0.023857793403457582
2014-01-31,-0.040564145332259
2014-02-28,0.050997312514377655
2014-03-31,0.0037379250765445845
2014-04-30,-0.015771204946356872
2014-05-31,0.01390953440406323
2014-06-30,0.029143139679117785
2014-07-31,-0.03286664877906892
2014-08-31,0.046644655901410106
2014-09-30,-0.04347380676723489
2014-10-31,0.04203837627254937
2014-11-30,0.026296722556422295
2014-12-31,0.01645239481723972
2015-01-31,-0.02581729253697975
2015-02-28,0.06543068731198737
2015-03-31,0.002511262745674289
2015-04-30,-0.00640746776642235
2015-05-31,0.01088797002043981
2015-06-30,-0.008734593468291632
2015-07-31,-0.013103319224379642
2015-08-31,-0.046151422927965285
2015-09-30,-0.046441342720698546
2015-10-31,0.0641629372983621
2015-11-30,0.011039839617019853
2015-12-31,-0.046635713828770346
2016-01-31,-0.059563095217646744
2016-02-29,0.03530323585966032
2016-03-31,0.07245495755776366
2016-04-30,0.00706396158062703
2016-05-31,0.0015915283071428396
2016-06-30,-0.008842186430381694
2016-07-31,0.06544996129454811
2016-08-31,0.010614572168419538
2016-09-30,0.003387667422116516
2016-10-31,-0.03320647921714419
2016-11-30,0.09045067371365277
2016-12-31,0.01060635967288368
2017-01-31,0.005474052591589232
2017-02-28,0.014884050309592006
2017-03-31,0.013291875124390048
2017-04-30,0.012502997702299998
2017-05-31,-0.013083487522181398
2017-06-30,0.02154830102962143
2017-07-31,-0.00044279672504296135
2017-08-31,-0.01431195337432579
2017-09-30,0.05615534422873214
2017-10-31,0.007630470800502921
2017-11-30,0.05368260633680395
2017-12-31,0.011346791138561997
2018-01-31,0.04163049435756386
2018-02-28,-0.039351009595156666
2018-03-31,0.0003527820948564744
2018-04-30,0.005939252428988269
2018-05-31,0.030014610390728228
2018-06-30,0.01719960514614433
2018-07-31,0.03181872483652365
2018-08-31,0.030956548184162515
2018-09-30,-0.011547642819470577
2018-10-31,-0.08385165066992138
2018-11-30,0.02705859965659464
2018-12-31,-0.10825730703641835
2019-01-31,0.11163905290128201
2019-02-28,0.03990125079275989
2019-03-31,-0.006080641711130814
2019-04-30,0.03926044154323917
2019-05-31,-0.09653712865811259
2019-06-30,0.08315164249940889
2019-07-31,0.00832405883621542
2019-08-31,-0.05155042953188306
2019-09-30,0.04909506860637488
2019-10-31,0.018220858742134426
2019-11-30,0.0385514842295122
2019-12-31,0.03251263456958963
2020-01-31,-0.04873534894316276
2020-02-29,-0.10852390856902942
2020-03-31,-0.26173464381511125
2020-04-30,0.20619607673236084
2020-05-31,0.0645008430685184
2020-06-30,0.02400399115165517
2020-07-31,0.0367790336172607
2020-08-31,0.07728857819913412
2020-09-30,-0.03887432216610748
2020-10-31,0.004283339782991465
2020-11-30,0.1918642631827709
2020-12-31,0.06798111257051641
2021-01-31,0.03267231856104399
2021-02-28,0.09176983523235376
2021-03-31,0.053420948549575104
2021-04-30,0.03827176371854971
2021-05-31,0.025848940503149367
2021-06-30,0.004647806823380938
2021-07-31,-0.0005814529420766817
2021-08-31,0.014681507177202922
2021-09-30,-0.034454573213709705
2021-10-31,0.04404248774996537
2021-11-30,-0.01080101101301493
2021-12-31,0.05841022756473519
2022-01-31,-0.06051261983864824
2022-02-28,-0.007807351514718227
2022-03-31,0.009346244338328443
2022-04-30,-0.05418657434190157
2022-05-31,0.010261743453852692
2022-06-30,-0.09569413225543712
2022-07-31,0.10546426563099617
2022-08-31,-0.03578673774724534
2022-09-30,-0.09970376917355225
2022-10-31,0.12256820337343646
2022-11-30,0.06433049966507866
2022-12-31,-0.055575009513625255
2023-01-31,0.11534794505443764
2023-02-28,-0.020115381753922714
2023-03-31,-0.02602024093117387
2023-04-30,-0.01970052491922574
2023-05-31,-0.033303373373984334
2023-06-30,0.11147705340483292
2023-07-31,0.048685814015841274
2023-08-31,-0.02950441926651378
2023-09-30,-0.04606254663026448
2023-10-31,-0.0502172099406671
2023-11-30,0.09024484504904669
2023-12-31,0.08676422732083808
2024-01-31,-0.0233663355481365
2024-02-29,0.048187902420613306
2024-03-31,0.04400397211059891
2024-04-30,-0.06473082256656715
2024-05-31,0.02957445465965397
2024-06-30,-0.020534754277947886
2024-07-31,0.0767306754908033
2024-08-31,-0.015394048086895377
2024-09-30,0.0079181589976862
2024-10-31,-0.024150404386115723
2024-11-30,0.08576580688007296
2024-12-31,-0.060201067239463675
2025-01-31,0.02346162732186989
