,Q1
2001-01-31,0.26822511461181103
2001-02-28,-0.1820768537581969
2001-03-31,-0.12902840261640322
2001-04-30,0.12205687506002734
2001-05-31,0.0703617878349578
2001-06-30,0.028186641488810702
2001-07-31,-0.0981097361944103
2001-08-31,-0.07833902279764218
2001-09-30,-0.22928321658428236
2001-10-31,0.190699650141332
2001-11-30,0.16541343419084167
2001-12-31,0.06753086517008873
2002-01-31,-0.040945082171102355
2002-02-28,-0.1416961848806586
2002-03-31,0.1146893631758527
2002-04-30,-0.09293458460540736
2002-05-31,-0.08281754881100482
2002-06-30,-0.11406266937176603
2002-07-31,-0.1632726789965476
2002-08-31,-0.009289022796286506
2002-09-30,-0.14138168674231402
2002-10-31,0.09951577489152999
2002-11-30,0.2334350002825914
2002-12-31,-0.1002587499111825
2003-01-31,-0.026403783780777373
2003-02-28,-0.02266887775344971
2003-03-31,0.006623734890020968
2003-04-30,0.1188623037190509
2003-05-31,0.17306543335208116
2003-06-30,0.026338989016477986
2003-07-31,0.0832351302741826
2003-08-31,0.06527809726749279
2003-09-30,-0.0036581492227458416
2003-10-31,0.10635782762583623
2003-11-30,0.04245115931963552
2003-12-31,0.02700149019854887
2004-01-31,0.08590120030511658
2004-02-29,-0.0016311508894394234
2004-03-31,-0.01743814695054849
2004-04-30,-0.05643829119744502
2004-05-31,0.010627882028685028
2004-06-30,0.03224496506582178
2004-07-31,-0.0874052481873557
2004-08-31,-0.03393248266503781
2004-09-30,0.05638189831352006
2004-10-31,0.015980396565142763
2004-11-30,0.0877382821799771
2004-12-31,0.0468221726974421
2005-01-31,-0.04633074707736396
2005-02-28,0.015263681367321386
2005-03-31,-0.033639686658531794
2005-04-30,-0.06342428338950976
2005-05-31,0.08179035024951707
2005-06-30,0.0378631795773237
2005-07-31,0.06996539656617945
2005-08-31,-0.014792663513530663
2005-09-30,0.011362783905911158
2005-10-31,-0.041280764332015614
2005-11-30,0.05119910431866517
2005-12-31,0.018496038157982498
2006-01-31,0.09528447891044167
2006-02-28,-0.004182946138458441
2006-03-31,0.059005495209309165
2006-04-30,-0.004210188543453372
2006-05-31,-0.07458793294202394
2006-06-30,-0.013879224588439428
2006-07-31,-0.04957773057374203
2006-08-31,0.026246514154563645
2006-09-30,0.0050794960158005
2006-10-31,0.06115225018087924
2006-11-30,0.026642283898089796
2006-12-31,0.0022943776780485633
2007-01-31,0.023160360086791523
2007-02-28,-0.00575904597150748
2007-03-31,0.012173684815976724
2007-04-30,0.034077381296844275
2007-05-31,0.0367592161106056
2007-06-30,-0.016758690700468655
2007-07-31,-0.06875804714725947
2007-08-31,-0.013255508434940702
2007-09-30,0.020730446753865987
2007-10-31,0.020212866999538212
2007-11-30,-0.09835395930117294
2007-12-31,-0.004947705444932266
2008-01-31,-0.0710264558050558
2008-02-29,-0.02613068535521688
2008-03-31,-0.015927675700277064
2008-04-30,0.051268698822059096
2008-05-31,0.056977851940248986
2008-06-30,-0.07296831567535149
2008-07-31,0.005908238202101862
2008-08-31,0.02493895725402666
2008-09-30,-0.12879845083853428
2008-10-31,-0.2523332956795341
2008-11-30,-0.15317815955999617
2008-12-31,0.04368057887887245
