strategy,rebalance_date,next_rebalance_date,group,symbol,next_period_return
Market-Residual Momentum,2022-05-02,2022-06-01,retained,HON,0.005181679964743946
Market-Residual Momentum,2022-05-02,2022-06-01,retained,MCD,0.009288357130524227
Market-Residual Momentum,2022-05-02,2022-06-01,retained,MSFT,-0.006730047409718165
Market-Residual Momentum,2022-05-02,2022-06-01,retained,JNJ,-0.0009353660519683116
Market-Residual Momentum,2022-05-02,2022-06-01,retained,KO,-0.028492624359373386
Market-Residual Momentum,2022-05-02,2022-06-01,universe_median,__UNIVERSE_MEDIAN__,0.0054823047382996926
Market-Residual Momentum,2022-06-01,2022-07-01,new,AAPL,-0.09246141624322257
Market-Residual Momentum,2022-06-01,2022-07-01,retained,HON,-0.10986892685678973
Market-Residual Momentum,2022-06-01,2022-07-01,retained,MSFT,-0.06835029508409018
Market-Residual Momentum,2022-06-01,2022-07-01,retained,MCD,-0.02162299577071125
Market-Residual Momentum,2022-06-01,2022-07-01,retained,JNJ,-0.00948901297496596
Market-Residual Momentum,2022-06-01,2022-07-01,outgoing,KO,0.0024603387085344597
Market-Residual Momentum,2022-06-01,2022-07-01,universe_median,__UNIVERSE_MEDIAN__,-0.07196418019732931
Market-Residual Momentum,2022-07-01,2022-08-01,retained,HON,0.10227486767504868
Market-Residual Momentum,2022-07-01,2022-08-01,retained,MCD,0.06571962935008946
Market-Residual Momentum,2022-07-01,2022-08-01,retained,MSFT,0.08358322482207337
Market-Residual Momentum,2022-07-01,2022-08-01,retained,JNJ,-0.01848423084669193
Market-Residual Momentum,2022-07-01,2022-08-01,retained,AAPL,0.18354898604916192
Market-Residual Momentum,2022-07-01,2022-08-01,universe_median,__UNIVERSE_MEDIAN__,0.06927502748588754
Market-Residual Momentum,2022-08-01,2022-09-01,retained,HON,-0.00687237910605909
Market-Residual Momentum,2022-08-01,2022-09-01,retained,MCD,-0.03558159589687071
Market-Residual Momentum,2022-08-01,2022-09-01,retained,MSFT,-0.06623142135903581
Market-Residual Momentum,2022-08-01,2022-09-01,retained,JNJ,-0.06657230634133993
Market-Residual Momentum,2022-08-01,2022-09-01,retained,AAPL,-0.02578972572258631
Market-Residual Momentum,2022-08-01,2022-09-01,universe_median,__UNIVERSE_MEDIAN__,-0.034453977103002464
Market-Residual Momentum,2022-09-01,2022-10-03,new,AMGN,-0.0532928890746317
Market-Residual Momentum,2022-09-01,2022-10-03,retained,HON,-0.10087240908201378
Market-Residual Momentum,2022-09-01,2022-10-03,retained,MSFT,-0.09062473802688542
Market-Residual Momentum,2022-09-01,2022-10-03,retained,MCD,-0.07267117509719256
Market-Residual Momentum,2022-09-01,2022-10-03,retained,AAPL,-0.11765833934528169
Market-Residual Momentum,2022-09-01,2022-10-03,outgoing,JNJ,0.017338090872416334
Market-Residual Momentum,2022-09-01,2022-10-03,universe_median,__UNIVERSE_MEDIAN__,-0.07809514193193279
Market-Residual Momentum,2022-10-03,2022-11-01,new,KO,0.06511730178297737
Market-Residual Momentum,2022-10-03,2022-11-01,new,JNJ,0.059468109916486434
Market-Residual Momentum,2022-10-03,2022-11-01,retained,MSFT,-0.003440861331817313
