strategy,rebalance_date,next_rebalance_date,outgoing_symbol,incoming_symbol,outgoing_prior_rank,outgoing_exit_rank,outgoing_prior_score,outgoing_exit_score,incoming_rank,incoming_score,score_differential,outgoing_realized_return,outgoing_mfe,outgoing_mae,outgoing_state,removal_reason,rank_bucket,incoming_return,outgoing_counterfactual_return,replacement_advantage,large_winner,large_loser
Dual Momentum,2021-10-01,2021-11-01,CSCO,HD,4,6,0.402673268338396,0.25112641854214846,5,0.25815172873362213,0.007025310191473677,-0.05617999330277301,0.029040707403714006,-0.05911850490015402,loser,fell below top-N,just outside boundary,0.1366756589734266,0.03017283770135637,0.10650282127207022,False,False
Dual Momentum,2021-11-01,2021-12-01,JPM,UNH,3,7,0.3305323926179362,0.3339841406542814,4,0.39349208674350944,0.05950794608922805,0.11425172796140481,0.11425172796140481,-0.015257439107184467,winner,fell below top-N,just outside boundary,-0.01933656732419531,-0.0641713371679199,0.04483476984372459,False,False
Dual Momentum,2021-12-01,2022-01-03,GS,CRM,1,10,0.5229433546363447,0.14862370870792807,3,0.3833011424158741,0.23467743370794603,-0.03525756705432037,0.0597664891365175,-0.06450006492768479,loser,fell below top-N,just outside boundary,-0.05990576480014076,0.013496064507240169,-0.07340182930738093,False,False
Dual Momentum,2021-12-01,2022-01-03,AXP,AAPL,2,15,0.49698003124120027,0.076773595130875,4,0.36056740619792427,0.28379381106704926,-0.0294109122540136,0.1632149634059017,-0.05303802761567944,loser,fell below top-N,moderate deterioration,0.06179840198585884,0.05387597200326866,0.007922429982590184,False,False
Dual Momentum,2022-01-03,2022-02-01,CRM,NKE,3,11,0.3833011424158741,0.15361578690652644,5,0.2402498779611888,0.08663409105466235,-0.05990576480014076,0.0,-0.08866046482194412,loser,fell below top-N,moderate deterioration,-0.10762248575018685,-0.08878083568096884,-0.018841650069218008,False,False
Dual Momentum,2022-02-01,2022-03-01,HD,CVX,4,9,0.33494469828105644,0.1273002141696149,2,0.291453062791835,0.16415284862222013,0.13057473940661635,0.2735070497835457,-0.0051193017950659225,winner,fell below top-N,just outside boundary,0.12002176931919073,-0.14853700649512225,0.268558775814313,False,False
Dual Momentum,2022-02-01,2022-03-01,NKE,PG,5,11,0.2402498779611888,0.11915169871246678,4,0.20990520315060923,0.09075350443814245,-0.10762248575018685,0.0,-0.14803314399631728,loser,fell below top-N,moderate deterioration,-0.04030148844099668,-0.08548447607869714,0.045182987637700456,False,True
Dual Momentum,2022-03-01,2022-04-01,UNH,AXP,5,6,0.1764424046864823,0.16734463305270597,3,0.22415073023128684,0.05680609717858087,0.022965305105641987,0.09832611420611781,-0.05257450725385615,winner,fell below top-N,just outside boundary,-0.033235797376364506,0.08770880951187543,-0.12094460688823994,False,False
Dual Momentum,2022-04-01,2022-05-02,PG,UNH,5,6,0.17682724014838103,0.15017426170749948,3,0.2718233175260609,0.12164905581856145,-0.04521428320095011,0.020834601632707006,-0.10927310248572142,loser,fell below top-N,just outside boundary,0.000254492230654213,0.058537162461028025,-0.05828267023037381,False,False
Dual Momentum,2022-04-01,2022-05-02,MSFT,TRV,4,7,0.20366039665950564,0.14177166875461,4,0.22358840079357645,0.08181673203896644,0.024161217963229564,0.13351277239685744,-0.08680565229061599,winner,fell below top-N,just outside boundary,-0.07016999616664032,-0.1023369956174901,0.032166999450849776,False,False
