strategy,rebalance_date,next_rebalance_date,outgoing_symbol,incoming_symbol,outgoing_prior_rank,outgoing_exit_rank,outgoing_prior_score,outgoing_exit_score,incoming_rank,incoming_score,score_differential,outgoing_realized_return,outgoing_mfe,outgoing_mae,outgoing_state,removal_reason,rank_bucket,incoming_return,outgoing_counterfactual_return,replacement_advantage,large_winner,large_loser
Market-Residual Momentum,2023-03-01,2023-04-03,IBM,V,3,9,-0.0053042269234321315,-0.00687358238237612,4,-0.0056633073452001526,0.0012102750371759674,-0.029791633602742507,0.0338101731985716,-0.029791633602742507,loser,fell below top-N,just outside boundary,0.026291650509159714,0.016058939461194965,0.010232711047964749,False,False
Market-Residual Momentum,2023-03-01,2023-04-03,AXP,HON,5,21,-0.005748659667536682,-0.011959660521084214,5,-0.005979736303305172,0.005979924217779042,0.0007498435486554822,0.04585303035702948,-0.0014421272541396135,near-flat,fell below top-N,severe/unranked,-0.003305536309906265,-0.05417559363716562,0.050870057327259355,False,False
Market-Residual Momentum,2023-04-03,2023-05-01,HON,CSCO,5,6,-0.005979736303305172,-0.006161966896419235,5,-0.00608283451349767,7.91323829215651e-05,-0.003305536309906265,0.030533141333443536,-0.03431969529837242,near-flat,fell below top-N,just outside boundary,-0.08654339441033121,0.049483327304645996,-0.1360267217149772,False,False
Market-Residual Momentum,2023-05-01,2023-06-01,CSCO,MCD,5,10,-0.00608283451349767,-0.00755185910881051,3,-0.005169169525768513,0.002382689583041997,-0.08654339441033121,0.004802151237135011,-0.09931629667018549,loser,fell below top-N,just outside boundary,-0.03652088108584295,0.05423722727333824,-0.09075810835918119,False,True
Market-Residual Momentum,2023-06-01,2023-07-03,JNJ,WMT,5,7,-0.005583148792032366,-0.004866224471706926,4,-0.004110003336590506,0.0007562211351164194,-0.03927114471987403,0.10422695349352296,-0.06799915514187316,loser,fell below top-N,just outside boundary,0.07249848197283737,0.06341428373555469,0.009084198237282681,False,False
Market-Residual Momentum,2023-07-03,2023-08-01,PG,AAPL,5,7,-0.0046562124090727686,-0.004958706008135749,5,-0.004710296546604487,0.00024840946153126264,0.10415329687838337,0.14125500447193184,-0.010720760322591283,winner,fell below top-N,just outside boundary,0.012694967460341378,0.03553054834712399,-0.022835580886782614,False,False
Market-Residual Momentum,2023-09-01,2023-10-02,AAPL,IBM,5,7,-0.0041071010301800825,-0.0044891568455697195,5,-0.004314365792988717,0.00017479105258100258,-0.020817841122018566,0.013778696289031833,-0.10086188471258828,loser,fell below top-N,just outside boundary,-0.049029127001703254,-0.09641673720157162,0.04738761019986837,False,False
Market-Residual Momentum,2023-10-02,2023-11-01,IBM,PG,5,6,-0.004314365792988717,-0.004431035787575532,5,-0.004072877968807398,0.00035815781876813446,-0.049029127001703254,0.017452222398457673,-0.049029127001703254,loser,fell below top-N,just outside boundary,0.04732026843649817,0.03541862396379236,0.011901644472705808,False,False
Market-Residual Momentum,2023-11-01,2023-12-01,KO,IBM,2,7,-0.0025838114153001746,-0.0046133349137049695,4,-0.0040109290118079954,0.0006024059018969741,-0.08616359507356852,0.01860100051580127,-0.15727541251548527,loser,fell below top-N,just outside boundary,0.10487276249137345,0.034049050129918434,0.07082371236145502,False,True
Market-Residual Momentum,2023-12-01,2024-01-02,IBM,JPM,4,7,-0.0040109290118079954,-0.0051252338052442115,4,-0.004347201166016168,0.0007780326392280434,0.10487276249137345,0.1059189563290932,0.0,winner,fell below top-N,just outside boundary,0.08516231188318368,0.027902151606054915,0.05726016027712877,False,False
