realization_date,signal_date,regime,full_ret,minus_ibs_ret,minus_rsi2_ret,minus_tue_ret,minus_srs_ret,ibs_spread,spy_ret,n_held,n_universe,held_sector_counts,universe_sector_counts,fac_Mkt-RF,fac_SMB,fac_HML,fac_RMW,fac_CMA,fac_UMD,fac_RF
2013-07-05,2013-06-28,BULL,0.03131761782268446,0.029831710693569,0.030487630477025882,0.030606793203094514,0.030011040320838258,0.013280491635566868,0.016050855756331694,219,1099,"{""Industrials"": 48, ""Technology"": 42, ""Consumer Defensive"": 32, ""Consumer Cyclical"": 30, ""Energy"": 28, ""Basic Materials"": 28, ""Communication Services"": 8, ""Utilities"": 3}","{""Industrials"": 255, ""Technology"": 238, ""Consumer Cyclical"": 212, ""Energy"": 110, ""Basic Materials"": 96, ""Consumer Defensive"": 93, ""Communication Services"": 54, ""Utilities"": 41}",0.01666090201540449,0.004399390750208232,0.0036936792796189444,0.0005910333600620543,0.0010984894614995966,0.007207010708767836,0.0
2013-07-12,2013-07-05,BULL,0.03307462048897757,0.03040078882624968,0.03197214395495628,0.03297254536670377,0.03191690888638115,0.0028531963670287534,0.025617985874111016,217,1085,"{""Industrials"": 55, ""Technology"": 38, ""Consumer Cyclical"": 30, ""Basic Materials"": 28, ""Energy"": 26, ""Consumer Defensive"": 21, ""Utilities"": 10, ""Communication Services"": 9}","{""Industrials"": 251, ""Technology"": 239, ""Consumer Cyclical"": 207, ""Energy"": 107, ""Consumer Defensive"": 92, ""Basic Materials"": 91, ""Communication Services"": 59, ""Utilities"": 39}",0.02693346350099457,0.00680282383902342,-0.00193998335720158,-0.008388573668489774,-0.0012025288340954399,0.00208169236707767,0.0
2013-07-19,2013-07-12,BULL,0.008829150527863464,0.007063283239166262,0.010494278974749721,0.009600892539564438,0.009230628891157196,0.0038235932843391843,0.008028112368903662,218,1090,"{""Industrials"": 50, ""Technology"": 47, ""Consumer Cyclical"": 40, ""Energy"": 37, ""Basic Materials"": 22, ""Consumer Defensive"": 13, ""Communication Services"": 8, ""Utilities"": 1}","{""Industrials"": 252, ""Technology"": 241, ""Consumer Cyclical"": 208, ""Energy"": 107, ""Consumer Defensive"": 92, ""Basic Materials"": 91, ""Communication Services"": 60, ""Utilities"": 39}",0.007597682483395651,0.00119846816412994,0.01841131604785673,-0.009275502985021666,0.010638488308691407,0.0014726648554939104,0.0
2013-07-26,2013-07-19,BULL,-0.006740120215759723,-0.0007096805911470113,-0.008152839052043453,-0.007805111132174062,-0.006975251162753904,-0.003807623980598809,-0.005368013188493448,217,1087,"{""Consumer Cyclical"": 76, ""Technology"": 49, ""Industrials"": 39, ""Consumer Defensive"": 18, ""Communication Services"": 16, ""Energy"": 9, ""Basic Materials"": 8, ""Utilities"": 2}","{""Industrials"": 253, ""Technology"": 239, ""Consumer Cyclical"": 208, ""Energy"": 106, ""Consumer Defensive"": 92, ""Basic Materials"": 90, ""Communication Services"": 60, ""Utilities"": 39}",-0.0047132857105590675,-0.006123748549588082,-0.009579309394305069,0.006279941863057026,-0.0043022564679903175,-0.005994631753367452,0.0
2013-08-02,2013-07-26,BULL,0.016638777243883903,0.016303036601662404,0.017612972794068572,0.01821962389900479,0.01732776845325016,3.8891426726458955e-05,0.012515761943523884,218,1092,"{""Industrials"": 55, ""Technology"": 46, ""Energy"": 37, ""Consumer Cyclical"": 31, ""Basic Materials"": 21, ""Communication Services"": 13, ""Consumer Defensive"": 9, ""Utilities"": 6}","{""Industrials"": 252, ""Technology"": 237, ""Consumer Cyclical"": 212, ""Energy"": 106, ""Consumer Defensive"": 94, ""Basic Materials"": 91, ""Communication Services"": 61, ""Utilities"": 39}",0.017450062487297968,0.006905786827920091,-0.0076911596748168165,-0.0013016081275222247,-0.003994034236552091,0.017397539035945542,0.0
2013-08-09,2013-08-02,BULL,-0.014045482233975596,-0.014730316962840365,-0.013590315598763156,-0.01321134426914686,-0.014879666534015182,0.000994437713697385,-0.009314961357563267,217,1088,"{""Industrials"": 51, ""Technology"": 48, ""Consumer Cyclical"": 39, ""Consumer Defensive"": 21, ""Basic Materials"": 17, ""Communication Services"": 16, ""Utilities"": 15, ""Energy"": 10}","{""Industrials"": 249, ""Technology"": 233, ""Consumer Cyclical"": 214, ""Energy"": 107, ""Consumer Defensive"": 94, ""Basic Materials"": 87, ""Communication Services"": 65, ""Utilities"": 39}",-0.009402828117462625,-0.0003298498044220777,-0.004892822117498086,0.009633158361344263,-0.0008031579988869719,-0.008186633276565991,0.0
2013-08-16,2013-08-09,BULL,-0.017338958210372908,-0.016656912789141196,-0.017149095638563983,-0.01720366134099666,-0.015839057796231914,0.00067494435314739,-0.025664000007201038,218,1093,"{""Consumer Cyclical"": 53, ""Technology"": 45, ""Industrials"": 42, ""Basic Materials"": 19, ""Consumer Defensive"": 17, ""Communication Services"": 16, ""Energy"": 14, ""Utilities"": 12}","{""Industrials"": 248, ""Technology"": 237, ""Consumer Cyclical"": 215, ""Energy"": 107, ""Consumer Defensive"": 95, ""Basic Materials"": 88, ""Communication Services"": 64, ""Utilities"": 39}",-0.026294459145538296,-0.007388003708106106,-0.0011353912441777192,0.0035876369673135677,-0.004894749380614849,-0.009210901489980605,0.0
2013-08-23,2013-08-16,BULL,0.013838722084905226,0.012248351914745596,0.01455100145121001,0.01405983406172177,0.012821858683471951,0.00036721314267196617,0.007465362526360542,218,1094,"{""Consumer Cyclical"": 46, ""Technology"": 41, ""Industrials"": 41, ""Consumer Defensive"": 26, ""Utilities"": 24, ""Basic Materials"": 14, ""Communication Services"": 14, ""Energy"": 12}","{""Industrials"": 249, ""Technology"": 240, ""Consumer Cyclical"": 214, ""Energy"": 107, ""Consumer Defensive"": 94, ""Basic Materials"": 88, ""Communication Services"": 63, ""Utilities"": 39}",0.009258547018521801,0.015148460732061553,-0.009081273475683438,-0.007185718854911816,-0.009667020746293109,0.008812218812477735,0.0
2013-08-30,2013-08-23,BULL,-0.013762817381953875,-0.015175318095705659,-0.013433617563423062,-0.0131852251365113,-0.013296070082519788,0.0017503649385244568,-0.009698830846754714,219,1098,"{""Consumer Cyclical"": 61, ""Technology"": 52, ""Industrials"": 42, ""Consumer Defensive"": 22, ""Communication Services"": 14, ""Basic Materials"": 14, ""Energy"": 9, ""Utilities"": 5}","{""Industrials"": 249, ""Technology"": 241, ""Consumer Cyclical"": 215, ""Energy"": 108, ""Consumer Defensive"": 94, ""Basic Materials"": 89, ""Communication Services"": 63, ""Utilities"": 39}",-0.011322236115374862,-0.009972073223187605,-0.007292120075052977,-0.0017387312447152414,-0.006386270423483054,0.005881907564062816,0.0
2013-09-06,2013-08-30,BULL,0.009708831090660135,0.007883065427269745,0.009294414610211485,0.009565108668365695,0.009679393904925433,0.0029969844818197077,0.019708946081268497,220,1100,"{""Technology"": 51, ""Industrials"": 49, ""Consumer Cyclical"": 48, ""Basic Materials"": 18, ""Energy"": 17, ""Communication Services"": 13, ""Utilities"": 12, ""Consumer Defensive"": 12}","{""Industrials"": 248, ""Technology"": 241, ""Consumer Cyclical"": 216, ""Energy"": 111, ""Consumer Defensive"": 94, ""Basic Materials"": 88, ""Communication Services"": 63, ""Utilities"": 39}",0.021227121893000023,0.006007369201999957,0.0003882215785360188,-0.006384766007757614,-0.002399009136486052,0.002991153545619074,0.0
2013-09-13,2013-09-06,BULL,0.030216266171452153,0.0335852869262963,0.030520386897801937,0.03128540441655931,0.0316682248266131,-0.00021437260924317414,0.015987751396391303,219,1096,"{""Consumer Cyclical"": 48, ""Technology"": 40, ""Industrials"": 37, ""Utilities"": 29, ""Energy"": 20, ""Communication Services"": 19, ""Consumer Defensive"": 14, ""Basic Materials"": 12}","{""Industrials"": 249, ""Technology"": 232, ""Consumer Cyclical"": 217, ""Energy"": 113, ""Consumer Defensive"": 94, ""Basic Materials"": 89, ""Communication Services"": 62, ""Utilities"": 40}",0.015461270735083632,-0.005801261803419333,0.00228601227651537,0.0038020842267925126,0.006912005819169176,0.00971722389112406,0.0
