strategy,rebalance_date,next_rebalance_date,symbol,rank,score,qualifies_absolute_filter,selected_by_canonical,universe_size,rank_percentile_from_top,forward_return,forward_mfe,forward_mae,spy_forward_return,universe_median_forward_return,universe_top_quartile_threshold,beat_spy,beat_universe_median,future_top_quartile
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,GS,1,0.7875196376408078,True,True,29,0.0,0.03303779552744657,0.04695340462590192,-0.007191058605836798,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,MSFT,2,0.4513490224703516,True,True,29,0.03571428571428571,-0.0012528456041481784,0.00791416471888895,-0.021170390452368126,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,CSCO,3,0.44058736674316745,True,True,29,0.07142857142857142,0.020224720829344456,0.041832347224669775,-0.0019014139767609128,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,AXP,4,0.41116559972464284,True,True,29,0.10714285714285714,0.031693901427512605,0.0475100937333619,-0.006946567926976677,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,JPM,5,0.3679420793852932,True,True,29,0.14285714285714285,0.03148136222976072,0.05472237013485359,-0.0005793879922082468,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,NKE,6,0.2824532938415869,True,False,29,0.17857142857142858,-0.02512755748025164,0.008557078632967396,-0.029383644230959627,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,AAPL,7,0.2614271285744181,True,False,29,0.21428571428571427,0.030476668708101284,0.034926893639624534,-0.00997902988942101,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,UNH,8,0.2608433074801726,True,False,29,0.25,-0.0325623628669649,0.0,-0.03795067478913283,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,JNJ,9,0.2414192648537532,True,False,29,0.2857142857142857,-0.030775213092632647,0.003027037883179373,-0.033129735361615564,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,HD,10,0.2409901619666608,True,False,29,0.32142857142857145,-0.008438342624938255,0.0016060569069600295,-0.03136318454858922,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,IBM,11,0.23477835071928088,True,False,29,0.35714285714285715,0.002578613158768839,0.00945431230906868,-0.008737713152670357,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,TRV,12,0.2179766836435577,True,False,29,0.39285714285714285,-0.012878601170624338,0.011021064655301283,-0.0173363001924991,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,DIS,13,0.21695633586410423,True,False,29,0.42857142857142855,0.027558209860939265,0.03331821603672647,-0.006607172785448534,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,CAT,14,0.2045405543189529,True,False,29,0.4642857142857143,0.01746660404450484,0.04077186584925574,-0.006851619633029271,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,INTC,15,0.17598966749749212,True,False,29,0.5,0.028902845470707206,0.043354167190257975,-0.002091664005179794,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,MMM,16,0.16933981066674053,True,False,29,0.5357142857142857,-0.0023075820545493952,0.011743765700360065,-0.011692270476102773,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,CVX,17,0.1640810492625917,True,False,29,0.5714285714285714,0.008013618256869082,0.0350716256310617,-0.00031219461380127544,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,True,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,HON,18,0.1431780054220988,True,False,29,0.6071428571428571,0.028158235989242497,0.03085062295581653,0.0,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,DOW,19,0.1387631934874891,True,False,29,0.6428571428571429,0.032682657990746655,0.07374023500606919,-0.0006504213906884937,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,MCD,20,0.12619125230483164,True,False,29,0.6785714285714286,-0.001151990423891469,0.0038838369197295997,-0.015033588747105808,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,V,21,0.1180876825884507,True,False,29,0.7142857142857143,-0.01547058814445279,0.014997988090456493,-0.017361309620198884,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,KO,22,0.10231792386105276,True,False,29,0.75,-0.005117242975526404,0.001411714022227173,-0.021527914886103283,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,PG,23,0.058145462956659566,True,False,29,0.7857142857142857,-0.013583235459303178,0.007277033062685012,-0.019543651018690933,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,MRK,24,0.05369014868646538,True,False,29,0.8214285714285714,-0.036531342530389144,0.0015169099438272493,-0.03893306047596323,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,BA,25,0.04608949816297847,True,False,29,0.8571428571428571,0.01932075306291048,0.033683937408070186,-0.002084960127991975,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,WMT,26,0.03160213566762793,False,False,29,0.8928571428571429,-0.02619913369308735,0.001715896352307844,-0.03636228094526561,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,AMGN,27,0.003365933220260464,False,False,29,0.9285714285714286,0.0061111756687894925,0.014541930021113814,-0.01793194892745975,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,True,False
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,CRM,28,-0.0040052814616566845,False,False,29,0.9642857142857143,0.036069955055611835,0.07089486055695993,-0.0016731232520671435,0.016623349473201987,0.002578613158768839,0.028158235989242497,True,True,True
Dual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,VZ,29,-0.04915025236027071,False,False,29,1.0,-0.009901026120352374,0.0028802853215048607,-0.018361847625708916,0.016623349473201987,0.002578613158768839,0.028158235989242497,False,False,False
Dual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,GS,1,0.8251442469404124,True,True,29,0.0,-0.08161472489660582,0.01069814330471619,-0.09841202609832156,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,False,False,False
Dual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,MSFT,2,0.4194165339748306,True,True,29,0.03571428571428571,-0.06851150130095363,0.008089296104890176,-0.07016248867464014,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,False,False,False
Dual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,AXP,3,0.4122469451628137,True,True,29,0.07142857142857142,0.012985742261128363,0.07490690007950129,-0.05735222608532642,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,True,True,True
Dual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,CSCO,4,0.402673268338396,True,True,29,0.10714285714285714,-0.07489008310836431,0.011860509711244305,-0.07810921816790473,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,False,False,False
Dual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,JPM,5,0.3826312536388239,True,True,29,0.14285714285714285,0.023592987952839817,0.056672321627479594,-0.06072862392435563,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,True,True,True
Dual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,AAPL,6,0.2813390303046466,True,False,29,0.17857142857142858,-0.07151770926067402,0.028986495425474157,-0.07563965470125933,-0.044633528938620604,-0.05302557129856533,0.007955254663188471,False,False,False
