rebalance_date,outgoing,incoming,outgoing_state,incoming_return,outgoing_counterfactual_return,replacement_advantage
2021-10-01,CSCO,HD,loser,0.1366756589734266,0.03017283770135637,0.10650282127207022
2021-12-01,GS,CRM,loser,-0.05990576480014076,0.013496064507240169,-0.07340182930738093
2021-12-01,AXP,AAPL,loser,0.06179840198585884,0.05387597200326866,0.007922429982590184
2021-12-01,JPM,UNH,winner,0.10762165711702809,-0.00708057790499228,0.11470223502202037
2022-01-03,CRM,NKE,loser,-0.10762248575018685,-0.08878083568096884,-0.018841650069218008
2022-02-01,NKE,CVX,loser,0.12002176931919073,-0.08548447607869714,0.20550624539788787
2022-03-01,HD,AXP,loser,-0.033235797376364506,-0.039023935400921195,0.005788138024556688
2022-04-01,AXP,TRV,loser,-0.07016999616664032,-0.06936377864681265,-0.0008062175198276789
2022-05-02,AAPL,MRK,loser,0.03325076734323429,-0.042050985920415895,0.07530175326365018
2022-05-02,MSFT,KO,loser,-0.028492624359373386,-0.006730047409718165,-0.02176257694965522
2022-06-01,TRV,AMGN,loser,-0.05673168931219308,-0.046694421235624395,-0.010037268076568684
2022-12-01,UNH,CAT,loser,0.01595595190200183,-0.04636672708103917,0.062322678983041
2023-01-03,TRV,IBM,winner,-0.04684621494537888,0.012211259085599169,-0.05905747403097805
2023-02-01,AMGN,BA,loser,-0.050162648432566015,-0.06725976643567888,0.017097118003112866
2023-02-01,IBM,GS,loser,-0.020073113028501566,-0.029791633602742507,0.00971852057424094
2023-03-01,GS,WMT,loser,0.05157744401047748,-0.06654479202767927,0.11812223603815675
2023-03-01,CVX,JPM,winner,-0.08578472615300448,0.04605354414653662,-0.1318382702995411
2023-04-03,JPM,CSCO,loser,-0.08654339441033121,0.10366010719974583,-0.19020350161007704
2023-05-01,CSCO,JPM,loser,-0.04034873575877218,0.05423722727333824,-0.09458596303211042
2023-06-01,WMT,CRM,winner,0.011286083742917619,0.07249848197283737,-0.06121239822991975
2023-06-01,CAT,MSFT,loser,0.04068371128056114,0.1842738450327568,-0.14359013375219565
2023-08-01,MRK,CAT,winner,0.04417965145602287,0.0004562243331562854,0.04372342712286659
2023-09-01,JPM,AAPL,winner,-0.09641673720157162,-0.00862480778208008,-0.08779192941949154
2023-10-02,CAT,INTC,loser,0.024993010688056483,-0.17006622645515446,0.19505923714321094
2023-10-02,BA,CSCO,loser,-0.026451586224747192,-0.009296489099851812,-0.01715509712489538
2023-11-01,CSCO,WMT,loser,-0.0537727105366157,-0.07225232745274046,0.018479616916124764
2023-12-01,WMT,IBM,loser,0.027902151606054915,0.015793897221504816,0.012108254384550099
2024-02-01,AAPL,CAT,loser,0.10143764655828691,-0.02288658056721371,0.12432422712550062
2024-03-01,MSFT,AXP,winner,0.03707077556514604,0.0288944352784819,0.008176340286664141
2024-05-01,INTC,DIS,loser,-0.06397696099535566,0.032682657908452706,-0.09665961890380836
2024-06-03,DIS,GS,loser,-0.009501442282580208,-0.04579049193734408,0.03628904965476387
2024-06-03,IBM,JPM,winner,0.0026198507207917388,0.0414915319320972,-0.038871681211305464
2024-06-03,CRM,TRV,winner,-0.040047785238474964,0.10028975618405167,-0.14033754142252663
2024-07-01,CAT,MSFT,winner,-0.06388064391595383,0.03760041125932956,-0.10148105517528339
2024-07-01,TRV,MMM,loser,0.23954901370931858,0.06453978285019324,0.17500923085912534
2024-08-01,MSFT,CAT,loser,0.017066331481345953,-0.0050541213367137905,0.022120452818059744
2024-12-02,CAT,WMT,winner,-0.02844902741823785,-0.10295481325411904,0.07450578583588119
2025-03-03,AXP,IBM,winner,-0.02634052648756069,-0.11840233532982125,0.09206180884226056
2025-04-01,JPM,CSCO,winner,-0.052366143734959625,0.007071891736010416,-0.05943803547097004
2025-05-01,CSCO,V,loser,0.05148580141545267,0.08566983287154639,-0.03418403145609372
2025-05-01,GS,TRV,winner,0.04454472323308711,0.09758032252570104,-0.05303559929261392
2025-06-02,MMM,CSCO,winner,0.10600984708518069,0.02792999431454124,0.07807985277063945
2025-07-01,TRV,GS,winner,0.003545254785701779,-0.022983210162527135,0.026528464948228914
2025-08-01,V,BA,loser,0.05390750510625364,0.016927158939189058,0.03698034616706458
2025-08-01,WMT,JPM,winner,0.03395312504597037,-0.005539872165209236,0.039492997211179603
2025-09-02,CSCO,MSFT,winner,0.028633024952197106,-0.0030831184781600074,0.03171614343035711
2025-09-02,IBM,MMM,loser,0.003247871306122363,0.1631383575224421,-0.15989048621631974
2025-10-01,BA,INTC,loser,0.20041758023720524,-0.05593197293559471,0.25634955317279995
2025-11-03,MMM,CAT,winner,-0.009584508026939664,0.03254853468562158,-0.04213304271256124
2025-12-01,JPM,JNJ,winner,0.0015496602443296759,0.030516074767891865,-0.02896641452356219
2026-01-02,MSFT,AXP,loser,-0.05182681757650287,-0.11179006704072625,0.05996324946422338
2026-02-02,AXP,CSCO,loser,0.008064424384270685,-0.1345796600833974,0.14264408446766808
2026-04-01,CSCO,DOW,loser,-0.0156287470726979,0.18265590604766269,-0.1982846531203606
2026-05-01,GS,UNH,winner,0.01115708661586412,0.11283799627730162,-0.1016809096614375
2026-07-01,DOW,CSCO,loser,-0.012967998206539488,0.126492589309823,-0.13946058751636248
2026-07-01,UNH,MRK,winner,0.014530120226293963,0.0007672013029105251,0.013762918923383438
