date,incumbent_symbol,incumbent_rank,incumbent_score,unrealized_return,deferred_incoming_symbol,incoming_rank,incoming_score,entry_date,next_rebalance_date,incumbent_next_return,deferred_incoming_next_return,incumbent_minus_incoming,rank_category
2021-11-01,JPM,7,0.3339841406542814,0.10032654760532855,UNH,4,0.39349208674350944,2021-08-23,2021-12-01,-0.0641713371679199,-0.01933656732419531,-0.04483476984372459,rank 6-7
2022-02-01,HD,9,0.1273002141696149,0.12295565644474471,PG,4,0.20990520315060923,2021-10-01,2022-03-01,-0.14853700649512225,-0.04030148844099668,-0.10823551805412557,rank 8-10
2022-03-01,UNH,6,0.16734463305270597,0.05416802453638758,PG,5,0.17682724014838103,2021-12-01,2022-04-01,0.08770880951187543,-0.005119102198015035,0.09282791170989046,rank 6-7
2022-04-01,MSFT,7,0.14177166875461,0.02065215617466709,KO,5,0.17557898988633913,2021-08-23,2022-05-02,-0.1023369956174901,0.047328683098724955,-0.14966567871621506,rank 6-7
2022-08-01,MRK,6,0.12502463141752762,0.015229645006621828,IBM,5,0.13448705805753636,2022-05-02,2022-09-01,-0.041414808089672794,-0.005600354339650115,-0.03581445375002268,rank 6-7
2022-12-01,TRV,11,0.11074618895572841,0.027165961784538117,IBM,4,0.2467663771293127,2022-11-01,2023-01-03,-0.017447670417002237,-0.059207926960299084,0.04176025654329685,rank >10 or unranked
2023-01-03,CAT,6,0.09508684355470676,0.0112283718183801,HON,4,0.12132686633293854,2022-12-01,2023-02-01,0.050983171986885845,-0.038858846800082,0.08984201878696785,rank 6-7
2023-02-01,CVX,7,0.12894473071743273,0.3661142197469778,JPM,5,0.20235966848520648,2022-02-01,2023-03-01,-0.05510727271651861,0.0281456426179163,-0.08325291533443491,rank 6-7
2023-04-03,MRK,9,0.19237496661430376,0.23533045064743874,AAPL,5,0.21164077292336647,2022-05-02,2023-05-01,0.09296838703795207,0.030498463550068244,0.06246992348788383,rank 8-10
2023-05-01,WMT,6,0.17782568367373308,0.07464026473412666,TRV,5,0.18172036763152333,2023-03-01,2023-06-01,-0.028301041718600595,-0.05702539354903302,0.028724351830432426,rank 6-7
2023-07-03,MRK,6,0.35680483619590375,0.3487841877991096,CAT,2,0.49158665010583236,2022-05-02,2023-08-01,-0.04254386570190605,0.11445702252524526,-0.1570008882271513,rank 6-7
2023-08-01,JPM,7,0.30107945318660656,0.1179864823041592,INTC,5,0.35410214035252907,2023-05-01,2023-09-01,-0.07203230135272587,0.002757182168205974,-0.07478948352093184,rank 6-7
2023-09-01,CAT,7,0.21389287859399886,0.030724169771048748,INTC,5,0.24021868413628344,2023-08-01,2023-10-02,-0.04269648435461948,-0.0050294636428385164,-0.03766702071178096,rank 6-7
2024-01-02,IBM,6,0.31241014829055413,0.03244747697176131,JPM,2,0.35057067505595363,2023-12-01,2024-02-01,0.1277407504344079,0.03324113758379599,0.09449961285061192,rank 6-7
2024-01-02,AAPL,11,0.19063171723992678,0.017381660728571058,CAT,4,0.33736007223178044,2023-09-01,2024-02-01,-0.0168847062316555,0.03821994929969552,-0.05510465553135102,rank >10 or unranked
2024-02-01,MSFT,6,0.3118743763781273,0.2272020144833098,AMGN,5,0.3491412573965542,2023-06-01,2024-03-01,0.025385191855771705,-0.1139538758717571,0.1393390677275288,rank 6-7
2024-04-01,AXP,8,0.35558155411344394,0.03821073043577483,JPM,3,0.4749733259913198,2024-03-01,2024-05-01,0.02859041705832177,-0.03299382546972962,0.06158424252805139,rank 8-10
2024-04-01,INTC,9,0.3287170422838315,0.2481082172611364,TRV,5,0.3892835189114485,2023-10-02,2024-05-01,-0.31880787301537483,-0.07680265172091794,-0.2420052212944569,rank 8-10
2024-05-01,CRM,10,0.19679698686679892,0.2933016038530125,TRV,4,0.2492837012988709,2023-06-01,2024-06-03,-0.12787151392834317,0.011500751744359938,-0.1393722656727031,rank 8-10
2024-05-01,IBM,11,0.1899658449316688,0.05874152996759152,JPM,5,0.23752569549518676,2023-12-01,2024-06-03,0.015107578393017684,0.052218079831295006,-0.03711050143827732,rank >10 or unranked
2024-06-03,CAT,9,0.21521516679925456,0.12041286185976419,MSFT,5,0.26978757083893035,2024-02-01,2024-07-01,-0.01689777920143465,0.081762204822458,-0.09865998402389264,rank 8-10
2024-09-03,CAT,6,0.4452441082757368,0.0282992813311993,WMT,4,0.5044697585490965,2024-08-01,2024-10-01,0.11089968400126549,0.043320639666845295,0.06757904433442019,rank 6-7
