rebalance_date,outgoing,incoming,outgoing_state,incoming_return,outgoing_counterfactual_return,replacement_advantage
2021-10-01,CSCO,HD,loser,0.1366756589734266,0.03017283770135637,0.10650282127207022
2021-11-01,JPM,UNH,winner,-0.01933656732419531,-0.0641713371679199,0.04483476984372459
2021-12-01,GS,CRM,loser,-0.05990576480014076,0.013496064507240169,-0.07340182930738093
2021-12-01,AXP,AAPL,loser,0.06179840198585884,0.05387597200326866,0.007922429982590184
2022-01-03,CRM,NKE,loser,-0.10762248575018685,-0.08878083568096884,-0.018841650069218008
2022-02-01,HD,CVX,winner,0.12002176931919073,-0.14853700649512225,0.268558775814313
2022-02-01,NKE,PG,loser,-0.04030148844099668,-0.08548447607869714,0.045182987637700456
2022-03-01,UNH,AXP,winner,-0.033235797376364506,0.08770880951187543,-0.12094460688823994
2022-04-01,PG,UNH,loser,0.000254492230654213,0.058537162461028025,-0.05828267023037381
2022-04-01,MSFT,TRV,winner,-0.07016999616664032,-0.1023369956174901,0.032166999450849776
2022-04-01,AXP,KO,loser,0.047328683098724955,-0.06936377864681265,0.1166924617455376
2022-05-02,AAPL,MRK,loser,0.03325076734323429,-0.042050985920415895,0.07530175326365018
2022-06-01,TRV,AMGN,loser,-0.05673168931219308,-0.046694421235624395,-0.010037268076568684
2022-08-01,MRK,IBM,winner,-0.005600354339650115,-0.041414808089672794,0.03581445375002268
2022-09-01,IBM,MRK,loser,0.02077441679739067,-0.06417447928491615,0.08494889608230682
2022-12-01,UNH,CAT,loser,0.01595595190200183,-0.04636672708103917,0.062322678983041
2022-12-01,TRV,IBM,winner,-0.059207926960299084,-0.017447670417002237,-0.04176025654329685
2023-01-03,CAT,HON,winner,-0.038858846800082,0.050983171986885845,-0.08984201878696785
2023-02-01,CVX,BA,winner,-0.050162648432566015,-0.05510727271651861,0.004944624283952592
2023-02-01,AMGN,GS,loser,-0.020073113028501566,-0.06725976643567888,0.047186653407177315
2023-02-01,HON,CAT,loser,-0.038689203243587156,-0.07326202329381082,0.03457282005022366
2023-02-01,IBM,JPM,loser,0.0281456426179163,-0.029791633602742507,0.05793727622065881
2023-03-01,GS,WMT,loser,0.05157744401047748,-0.06654479202767927,0.11812223603815675
2023-04-03,MRK,CSCO,winner,-0.08654339441033121,0.09296838703795207,-0.17951178144828328
2023-04-03,JPM,AAPL,loser,0.030498463550068244,0.10366010719974583,-0.07316164364967759
2023-05-01,WMT,MRK,winner,-0.04438677462888585,-0.028301041718600595,-0.016085732910285255
2023-05-01,AAPL,JPM,winner,-0.04034873575877218,0.05119213276123791,-0.09154086852001009
2023-05-01,CSCO,TRV,loser,-0.05702539354903302,0.05423722727333824,-0.11126262082237126
2023-06-01,CAT,CRM,loser,0.011286083742917619,0.1842738450327568,-0.17298776128983917
2023-06-01,TRV,MSFT,loser,0.04068371128056114,0.019624591757519516,0.021059119523041625
2023-07-03,MRK,CAT,loser,0.11445702252524526,-0.04254386570190605,0.1570008882271513
2023-08-01,JPM,INTC,winner,0.002757182168205974,-0.07203230135272587,0.07478948352093184
2023-09-01,CAT,AAPL,winner,-0.09641673720157162,-0.04269648435461948,-0.05372025284695214
2023-10-02,BA,CSCO,loser,-0.026451586224747192,-0.009296489099851812,-0.01715509712489538
2023-11-01,CSCO,WMT,loser,-0.0537727105366157,-0.07225232745274046,0.018479616916124764
2023-12-01,WMT,IBM,loser,0.027902151606054915,0.015793897221504816,0.012108254384550099
2024-01-02,IBM,JPM,winner,0.03324113758379599,0.1277407504344079,-0.09449961285061192
2024-01-02,AAPL,CAT,loser,0.03821994929969552,-0.0168847062316555,0.05510465553135102
2024-02-01,MSFT,IBM,winner,0.019338169722316056,0.025385191855771705,-0.006047022133455648
2024-02-01,JPM,AMGN,winner,-0.1139538758717571,0.06945396580855845,-0.18340784168031554
2024-03-01,AMGN,AXP,loser,0.03707077556514604,0.020289209023750088,0.016781566541395954
2024-04-01,AXP,JPM,winner,-0.03299382546972962,0.02859041705832177,-0.06158424252805139
2024-04-01,INTC,TRV,winner,-0.07680265172091794,-0.31880787301537483,0.2420052212944569
2024-05-01,CRM,AXP,winner,0.02984308074897668,-0.12787151392834317,0.15771459467731985
