date,equity
2021-08-23,10036.86267820932
2021-08-24,10107.617280784965
2021-08-25,10230.944707992156
2021-08-26,10205.342960305683
2021-08-27,10295.193545355647
2021-08-30,10206.150801660553
2021-08-31,10215.399218079481
2021-09-01,10194.743142548705
2021-09-02,10191.349217387362
2021-09-03,10125.46990086062
2021-09-07,10096.957128850036
2021-09-08,10045.105460559053
2021-09-09,10034.72795111332
2021-09-10,9962.665009274633
2021-09-13,10072.702798712231
2021-09-14,9996.214230513742
2021-09-15,10047.619161128467
2021-09-16,10031.22724544562
2021-09-17,9963.238225639205
2021-09-20,9724.879062592458
2021-09-21,9728.541530876051
2021-09-22,9900.073085705302
2021-09-23,10118.36094277799
2021-09-24,10166.100506860797
2021-09-27,10221.018213198828
2021-09-28,10017.641521503285
2021-09-29,9975.336013414808
2021-09-30,9812.754618697329
2021-10-01,10005.009430300042
2021-10-04,9895.410408109074
2021-10-05,10070.645071633808
2021-10-06,10106.357233988449
2021-10-07,10202.926786686272
2021-10-08,10207.093276903708
2021-10-11,10116.245024319323
2021-10-12,10120.022004042412
2021-10-13,10020.545455674575
2021-10-14,10187.971658784954
2021-10-15,10401.738139150746
2021-10-18,10501.463155420664
2021-10-19,10548.094417981794
2021-10-20,10575.891471925564
2021-10-21,10594.915627225064
2021-10-22,10766.971058366475
2021-10-25,10727.619752427026
2021-10-26,10733.541438167746
2021-10-27,10731.733503993026
2021-10-28,10745.835005639015
2021-10-29,10774.559027027326
2021-11-01,10740.436884787907
2021-11-02,10784.2600210188
2021-11-03,10786.664698898907
2021-11-04,10766.528870827613
2021-11-05,10784.118773236727
2021-11-08,10871.511678491279
2021-11-09,10866.900697729392
2021-11-10,10786.936385442305
2021-11-11,10795.913997729287
2021-11-12,10881.200529228052
2021-11-15,10844.387338860102
2021-11-16,10948.43213661034
2021-11-17,10885.216218740077
2021-11-18,10922.51023347253
2021-11-19,10852.807600885264
2021-11-22,10833.153099775738
2021-11-23,10913.898292267348
2021-11-24,10923.635454560186
2021-11-26,10532.450165081085
2021-11-29,10656.749751093643
2021-11-30,10446.745099693717
2021-12-01,10336.44060925869
2021-12-02,10442.427818071184
2021-12-03,10377.094635589287
2021-12-06,10537.01252414381
2021-12-07,10755.201340964677
2021-12-08,10792.998481088758
2021-12-09,10780.444905093455
2021-12-10,10960.022268938734
2021-12-13,10837.003973723444
2021-12-14,10659.750076413331
2021-12-15,10897.17710816318
2021-12-16,10641.31991229831
2021-12-17,10530.763468027726
2021-12-20,10435.353549854057
2021-12-21,10586.880598853137
2021-12-22,10719.61974285066
2021-12-23,10753.238598411946
2021-12-27,10950.427334745651
2021-12-28,10934.771307514122
2021-12-29,10970.010752678067
2021-12-30,10934.438291499531
2021-12-31,10914.070025222623
2022-01-03,10893.71089377817
2022-01-04,10822.718159308595
2022-01-05,10593.22155850172
2022-01-06,10430.064933894753
2022-01-07,10268.223727315362
2022-01-10,10180.580643446143
2022-01-11,10232.186710566917
2022-01-12,10318.938805941756
2022-01-13,10115.94598377296
2022-01-14,10070.521079819999
2022-01-18,9903.896747480241
2022-01-19,9810.352130666346
2022-01-20,9696.06455223654
2022-01-21,9626.380580714318
2022-01-24,9740.541119545833
2022-01-25,9610.84924354376
2022-01-26,9641.873387376982
2022-01-27,9674.33916232667
2022-01-28,9954.568125984935
2022-01-31,10085.79046462713
2022-02-01,10129.296780082443
2022-02-02,10268.219849192708
2022-02-03,10193.419840144177
2022-02-04,10189.89900252368
2022-02-07,10177.199328184346
2022-02-08,10241.825042443597
2022-02-09,10338.361397626772
2022-02-10,10126.29073403868
2022-02-11,10033.122041889012
2022-02-14,9992.341232441166
2022-02-15,10075.35277281571
2022-02-16,10093.621107164234
2022-02-17,9964.26395511903
2022-02-18,9914.848429827825
2022-02-22,9815.493482259782
2022-02-23,9729.493506322206
2022-02-24,9774.426493292609
2022-02-25,10069.265567495586
2022-02-28,10109.582380318781
2022-03-01,9915.10767789478
2022-03-02,10082.626658446094
2022-03-03,10081.562768601352
2022-03-04,9975.161216944485
2022-03-07,9727.673422602125
2022-03-08,9732.604518487185
2022-03-09,9941.4574486097
2022-03-10,9890.577829983233
2022-03-11,9767.876440855887
2022-03-14,9709.408250261122
2022-03-15,9821.305300276135
2022-03-16,9958.150335291211
2022-03-17,10086.153503161238
2022-03-18,10218.229268848487
2022-03-21,10257.68788474124
2022-03-22,10363.657369400475
2022-03-23,10305.450950369619
2022-03-24,10423.10054798474
2022-03-25,10507.167419765794
2022-03-28,10532.206730526028
2022-03-29,10610.505690849805
2022-03-30,10575.379359543707
2022-03-31,10413.015587532147
2022-04-01,10488.120044329567
2022-04-04,10479.200069660514
