date,equity
2021-08-23,10015.696522277138
2021-08-24,9978.93574648031
2021-08-25,9968.403379779842
2021-08-26,9899.12628106462
2021-08-27,9901.21847821042
2021-08-30,9950.000923498514
2021-08-31,9951.704509219719
2021-09-01,9983.727535817128
2021-09-02,10037.882509048082
2021-09-03,10043.329397142461
2021-09-07,9903.671523945883
2021-09-08,9951.512038972525
2021-09-09,9856.43955430468
2021-09-10,9824.94019510559
2021-09-13,9847.636267128331
2021-09-14,9818.998572857294
2021-09-15,9840.821949236744
2021-09-16,9839.734232600533
2021-09-17,9786.402970655503
2021-09-20,9705.973052713834
2021-09-21,9721.169512591283
2021-09-22,9735.763858311599
2021-09-23,9771.21577153203
2021-09-24,9777.437737958839
2021-09-27,9759.11279795725
2021-09-28,9649.219837730616
2021-09-29,9685.986917875845
2021-09-30,9585.237581633815
2021-10-01,9663.685341910279
2021-10-04,9615.203375119972
2021-10-05,9678.545406570363
2021-10-06,9750.638529010157
2021-10-07,9795.714942456229
2021-10-08,9770.908544422546
2021-10-11,9715.56897856018
2021-10-12,9629.006130969023
2021-10-13,9656.641535503988
2021-10-14,9760.381311410598
2021-10-15,9774.170091549826
2021-10-18,9748.561260740746
2021-10-19,9827.121498277407
2021-10-20,9859.195357827182
2021-10-21,9872.665664892584
2021-10-22,9829.240570741496
2021-10-25,9797.190838421142
2021-10-26,9850.025757875102
2021-10-27,9987.039113190123
2021-10-28,10031.455293237372
2021-10-29,10100.606374496068
2021-11-01,10140.181506609326
2021-11-02,10199.098507998462
2021-11-03,10224.033305121988
2021-11-04,10194.031046967992
2021-11-05,10211.428177506137
2021-11-08,10173.826742844387
2021-11-09,10183.910316775302
2021-11-10,10243.55540967882
2021-11-11,10162.565328875913
2021-11-12,10184.267025431001
2021-11-15,10203.405470195916
2021-11-16,10151.875333019212
2021-11-17,10128.98411525037
2021-11-18,9974.700828829576
2021-11-19,9929.945202829744
2021-11-22,10002.864150768555
2021-11-23,10081.10659490491
2021-11-24,10076.633136454091
2021-11-26,9918.065433679862
2021-11-29,9991.951105869648
2021-11-30,9760.599485463934
2021-12-01,9803.852484518626
2021-12-02,9906.075914811796
2021-12-03,10018.933456896337
2021-12-06,10183.329452527752
2021-12-07,10216.371549796671
2021-12-08,10215.770405446206
2021-12-09,10251.452657282169
2021-12-10,10350.310771395334
2021-12-13,10460.841527065675
2021-12-14,10503.12162088005
2021-12-15,10543.828334236267
2021-12-16,10713.666766802857
2021-12-17,10555.557978410978
2021-12-20,10545.041785579831
2021-12-21,10554.666963872824
2021-12-22,10604.111390776538
2021-12-23,10624.780446987023
2021-12-27,10702.271785483297
2021-12-28,10729.825679601623
2021-12-29,10756.664259336896
2021-12-30,10726.068893692476
2021-12-31,10733.072871737559
2022-01-03,10755.898599085893
2022-01-04,10835.43676032585
2022-01-05,10889.867114160726
2022-01-06,10861.713531973199
2022-01-07,10910.288687278373
2022-01-10,10837.314035495225
2022-01-11,10760.474455143125
2022-01-12,10734.678256751098
2022-01-13,10732.098962435226
2022-01-14,10719.116813641744
2022-01-18,10647.707141865532
2022-01-19,10707.452001547006
2022-01-20,10672.461128288589
2022-01-21,10666.631907632125
2022-01-24,10591.267270847891
2022-01-25,10595.579084563764
2022-01-26,10493.741991285537
2022-01-27,10534.635367295035
2022-01-28,10740.694064632895
2022-01-31,10792.898173408781
2022-02-01,10772.486733080883
2022-02-02,10893.238457862852
2022-02-03,10726.918863382652
2022-02-04,10662.897082427988
2022-02-07,10668.416607992398
2022-02-08,10711.009836768379
2022-02-09,10717.976328993398
2022-02-10,10609.137608259081
2022-02-11,10501.777086148742
2022-02-14,10469.161317809694
2022-02-15,10530.012949979195
2022-02-16,10525.060045666096
2022-02-17,10497.47797491673
2022-02-18,10465.519162200035
2022-02-22,10453.038422401387
2022-02-23,10330.955149860161
2022-02-24,10243.876118733166
2022-02-25,10590.919341326404
2022-02-28,10518.049855848752
2022-03-01,10413.902745854895
2022-03-02,10493.95925699007
2022-03-03,10517.591945257449
2022-03-04,10554.638647576834
2022-03-07,10392.69206610806
2022-03-08,10115.719571703403
2022-03-09,10151.398370663028
2022-03-10,10068.923937675509
2022-03-11,10077.576050472357
2022-03-14,10141.178059793878
2022-03-15,10370.595411919536
2022-03-16,10374.99215951853
2022-03-17,10421.037284457036
2022-03-18,10346.798534795715
2022-03-21,10364.130102216306
2022-03-22,10396.873363293616
2022-03-23,10342.124804319621
2022-03-24,10413.658244458753
2022-03-25,10499.78364106709
2022-03-28,10546.279732199577
2022-03-29,10622.82928587853
2022-03-30,10655.197762177482
2022-03-31,10555.113904941281
2022-04-01,10625.545621817437
2022-04-04,10611.534773952546
2022-04-05,10589.047140973136
2022-04-06,10606.595494101372
2022-04-07,10646.365688787959
2022-04-08,10575.373581006907
2022-04-11,10455.213358592315
2022-04-12,10461.034303320908
2022-04-13,10574.074638373138
2022-04-14,10524.540324011983
2022-04-18,10447.433437086527
2022-04-19,10658.795765533581
2022-04-20,10700.505345340543
2022-04-21,10655.242421632605
2022-04-22,10453.77021859909
2022-04-25,10618.620741813937
2022-04-26,10412.900737994956
2022-04-27,10467.818312270168
2022-04-28,10648.172636040752
2022-04-29,10471.77857749224
2022-05-02,10481.925100812876
2022-05-03,10434.861918074252
2022-05-04,10748.029877901869
2022-05-05,10464.086656579251
2022-05-06,10442.709193171859
2022-05-09,10323.02662003514
2022-05-10,10331.721738077966
2022-05-11,10228.450738655545
2022-05-12,10227.940028334746
2022-05-13,10318.808161304594
2022-05-16,10333.744948811625
2022-05-17,10411.95907793782
2022-05-18,9988.555588217663
2022-05-19,9894.124627012738
2022-05-20,9966.495945127934
2022-05-23,10163.128041319062
2022-05-24,10274.50538126841
2022-05-25,10278.18069816843
2022-05-26,10372.450578777958
2022-05-27,10526.51438741418
2022-05-31,10429.152912017491
2022-06-01,10359.635494801543
2022-06-02,10468.83183078859
2022-06-03,10314.858392581644
2022-06-06,10310.85997603393
2022-06-07,10437.719076447635
2022-06-08,10331.56306027984
2022-06-09,10123.199074564716
2022-06-10,9841.297756380956
