formation_date,entry_date,exit_date,n_holdings,gross_return,net_return,turnover,cost,short_gross_return,spread_gross_return,short_turnover,median_marketcap,median_adv_proxy
2001-07-24,2001-07-25,2001-08-22,263,-0.033436576431135526,-0.03443657643113553,1.0,0.001,-0.06735084154771666,0.03391426511658113,1.0,811.4,
2001-08-21,2001-08-22,2001-09-26,262,-0.18616487440123758,-0.1864827182674086,0.31784386617100374,0.00031784386617100374,-0.23140609284106317,0.04524121843982559,0.3550185873605948,763.3,
2001-09-25,2001-09-26,2001-10-24,264,0.10584351753196228,0.10549836827823093,0.3451492537313433,0.0003451492537313433,0.16624010171713818,-0.060396584185175906,0.35261194029850745,602.1,
2001-10-23,2001-10-24,2001-11-21,259,0.0953524104431326,0.09503165572615146,0.32075471698113206,0.00032075471698113204,0.19541399310109367,-0.10006158265796107,0.3018867924528302,687.25,
2001-11-20,2001-11-21,2001-12-20,259,0.06933825110450961,0.06901125490679098,0.3269961977186312,0.00032699619771863115,0.04519444189641944,0.024143809208090172,0.3041825095057034,760.25,
2001-12-19,2001-12-20,2002-01-22,262,-0.024047379976748107,-0.02440806699964887,0.3606870229007634,0.0003606870229007634,0.017605147782167277,-0.041652527758915384,0.29961832061068705,883.9,
2002-01-18,2002-01-22,2002-02-20,265,-0.04653557221631486,-0.04692279026142764,0.38721804511278196,0.000387218045112782,-0.09032072904945293,0.04378515683313807,0.3458646616541353,864.7,
2002-02-19,2002-02-20,2002-03-20,266,0.06994123420163983,0.06958675658969954,0.35447761194029853,0.0003544776119402985,0.13591762323579135,-0.06597638903415151,0.34328358208955223,841.7,
2002-03-19,2002-03-20,2002-04-18,264,0.00552702338945185,0.005124038314824985,0.40298507462686567,0.00040298507462686563,-0.005139403532752594,0.010666426922204444,0.35447761194029853,944.2,
2002-04-17,2002-04-18,2002-05-16,266,-0.04179858236027556,-0.042149328628932274,0.35074626865671643,0.0003507462686567164,-0.0780643013022249,0.03626571894194934,0.34701492537313433,918.85,
2002-05-15,2002-05-16,2002-06-14,268,-0.15847734237483618,-0.158792157189651,0.3148148148148148,0.00031481481481481486,-0.19335938395564753,0.034882041580811346,0.34074074074074073,910.75,
2002-06-13,2002-06-14,2002-07-15,269,-0.10949710844982195,-0.10986007141278492,0.362962962962963,0.000362962962962963,-0.12828686431540415,0.018789755865582194,0.2962962962962963,896.55,
2002-07-12,2002-07-15,2002-08-12,270,-0.08886894733835493,-0.08914385508743242,0.27490774907749077,0.00027490774907749075,-0.15374677807009726,0.06487783073174233,0.3044280442804428,928.55,
2002-08-09,2002-08-12,2002-09-10,272,0.03487665261693674,0.03454760849928968,0.3290441176470588,0.00032904411764705883,0.09388528070785469,-0.059008628090917954,0.32536764705882354,806.35,
2002-09-09,2002-09-10,2002-10-08,266,-0.15428873098706555,-0.15454976039883025,0.2610294117647059,0.0002610294117647059,-0.2736849021314867,0.11939617114442116,0.29411764705882354,840.4,
2002-10-07,2002-10-08,2002-11-05,260,0.15759160958686502,0.15728563943761129,0.30597014925373134,0.00030597014925373136,0.37574173134679356,-0.21815012175992854,0.3283582089552239,769.2,
2002-11-04,2002-11-05,2002-12-04,256,0.030210135796663963,0.02978705887358704,0.4230769230769231,0.0004230769230769231,0.13103525757599996,-0.100825121779336,0.36923076923076925,1001.8499999999999,
2002-12-03,2002-12-04,2003-01-03,255,-0.03462048009920986,-0.034987667599209855,0.3671875,0.0003671875,-0.014508175735776046,-0.020112304363433812,0.2734375,877.4,
2003-01-02,2003-01-03,2003-02-03,254,-0.04824913154951466,-0.04858506904951466,0.3359375,0.0003359375,-0.06392372979117776,0.015674598241663104,0.3203125,1048.8,
