date,Q1,Q2,Q3,Q4,Q5,horizon
2001-07-26,0.005016216670554762,-0.002284832432832533,0.0037358782167178084,0.00196311689866893,0.007811719387257201,1
2001-07-27,-0.00638822927576614,-0.00012356484655675511,0.0020177711283942304,0.00034047519218582544,-0.0010651545040599693,1
2001-07-30,0.0017793777099047523,0.0030748857923123033,-0.0003189542541431819,0.003891747913699899,-0.0010478379407310651,1
2001-07-31,0.01819149812353044,0.003718345890423126,0.0034720946328295984,0.012941992445434763,0.013359508070268632,1
2001-08-01,0.009101466499270077,0.006616575992591928,0.0028968919446266494,0.004314370151162963,-0.0034526456006731382,1
2001-08-02,-0.0009885569915907236,-0.006926184455230576,0.0008684500078495566,-0.004063490333500353,-0.006422707337521646,1
2001-08-03,-0.013058187286356923,-0.01205816013013596,-0.013308314848731831,-0.01307763489010022,-0.01836981831706518,1
2001-08-06,-0.002350682870545417,-0.0030459106899458853,-0.0012860926432713123,-0.0018921629924214959,-0.004629954991024095,1
2001-08-07,-0.027711316052593412,-0.017816327041879014,-0.01398603200079677,-0.01704336786893875,-0.02099679505258624,1
2001-08-08,-0.0020264726535100578,0.0016279991609586993,0.001167465562096843,0.003285293816351796,-0.0016531063887348736,1
2001-08-09,-0.006523653852263908,0.0014257208420537693,0.003627264632806231,0.0018528360789277717,-0.0004034424870184206,1
2001-08-10,0.003842906771306845,0.0016974411535790655,0.002691018785261705,0.005228069997815898,0.0077597677446009546,1
2001-08-13,-0.0008913631865081918,0.0031947107145703186,0.00566346266822937,0.002901370803434394,0.0023473341912246155,1
2001-08-14,-0.012361094904865097,-0.0013933524162718042,-0.0015307151369022176,-0.007095862836441631,-0.009729617962377524,1
2001-08-15,-0.007395339087226641,0.0031795800804034673,0.0033960748724249454,0.002589068677223217,0.0018023849445927928,1
2001-08-16,-0.020055760927612923,-0.014107920650920818,-0.010637626646156726,-0.018070712523604704,-0.018605290521212126,1
2001-08-17,-0.002021850349863826,0.0029526380481356774,0.002353216771653744,0.00130783277897514,0.006165047617948406,1
2001-08-20,-0.02287329838760841,-0.015073526273647053,-0.009241271784664995,-0.014084173650326192,-0.021870644292385596,1
2001-08-21,0.005134984809042234,0.005541376361247613,0.01082097332423098,0.006333771477103685,0.013510724643027017,1
2001-08-22,-0.01375540258850879,-0.009617385070703876,-0.006439365027120338,-0.008450719681580747,-0.0068073754097002235,1
2001-08-23,0.032712953401158054,0.01793384514690377,0.01656215351703406,0.02058970968654221,0.027679589647489258,1
2001-08-24,0.0027250976370417563,-0.002793268817596926,-0.0014358540918173778,0.0018544617687781216,0.00406346812658935,1
2001-08-27,-0.022917140412918282,-0.009939285864493176,-0.010435232605101541,-0.00907839749747948,-0.012860826323416907,1
2001-08-28,-0.004261597606024114,-0.005047595932212795,-0.0004085873614280405,-0.003905298277945751,-0.005518660024725443,1
2001-08-29,-0.022937348751092327,-0.014622541444653626,-0.011273448968446094,-0.013948858016432347,-0.023087461201805753,1
2001-08-30,0.014353233123546394,0.008506107443488786,0.0069773880751668686,0.005796869491540936,0.010431164484485835,1
2001-08-31,-0.00990984082636749,-0.0014412448949305656,0.0005366350040152997,-0.004023832118700842,-0.0130816715449651,1
2001-09-04,-0.026968753793371887,-0.005802357989416986,-0.007667395379563453,-0.009151505833505682,-0.019338664874104693,1
2001-09-05,-0.03476299399370835,-0.020390285518785398,-0.012954817194172229,-0.02050850213004999,-0.027294061950785275,1
2001-09-06,-0.018564409613257955,-0.018638189705504703,-0.01929611344344551,-0.014963810717787032,-0.013934132203924537,1
2001-09-07,-0.011226171803160094,-0.005505994294719016,-0.01051962684365852,-0.008976204714152105,-0.011445015065812383,1
2001-09-10,-0.08258847765515522,-0.06130799591045242,-0.06097462917906666,-0.058185224040613936,-0.074045060038802,1
2001-09-17,-0.025209085044242057,-0.014404388434302534,-0.019008993498446085,-0.020877227812724823,-0.02531381876734301,1
2001-09-18,-0.026956356961554705,-0.02934976147949615,-0.020847059275023595,-0.026789151450303767,-0.02560789717130228,1
2001-09-19,-0.0442409525085219,-0.03782609834228664,-0.04165313445309952,-0.04240629747606214,-0.04263524570616317,1
2001-09-20,-0.01542649845453766,-0.028304565276204934,-0.02186162802593826,-0.018652869350928657,-0.022490833841512427,1
2001-09-21,0.05669162646816655,0.04866308557959755,0.04005569626189624,0.03849886372424037,0.048937587933111745,1
2001-09-24,-0.005618011518997845,-0.0006736051132135942,0.0028952878375963498,0.002369549296952941,-0.0009377555258583547,1
2001-09-25,-0.04611652205495532,-0.02906415798525353,-0.023503786839528043,-0.023561493746846917,-0.029103351943020002,1
2001-09-26,-0.015504534613364662,-0.004149460353486422,-0.0006406213820886376,0.0016959380546875639,-0.004792834827487443,1
2001-09-27,0.039507575146429344,0.03519390011910461,0.028428271841252874,0.03224213863151619,0.03626204271180341,1
2001-09-28,-0.01777244517520321,-0.024291871280874552,-0.01829668229664727,-0.024274158317777045,-0.021147835614959656,1
2001-10-01,0.018054720895416928,0.014735459464932366,0.007953477968116001,0.015192396340057862,0.010976306215201513,1
2001-10-02,0.06562845828220613,0.04797405353989452,0.03480424286494298,0.03625966619293285,0.05094682268711209,1
2001-10-03,0.021790282089461075,0.019346510557935053,0.01260330857404405,0.01167465241800353,0.01979091228003357,1
2001-10-04,0.0027818489496992983,-0.004100088009297361,0.0013098053716848398,-0.0011779747453097191,-0.003965154189896881,1
2001-10-05,-0.002062290396883477,-0.004950536683019525,-0.005864477842259399,-0.004459085065835578,-0.0009166109015019391,1
2001-10-08,-0.0120636221753173,-0.009904334443742904,-0.008229607562008499,-0.007891750390993331,-0.015536565950865338,1
2001-10-09,0.05050381316137827,0.04106865899766304,0.036652532473159055,0.03207061213805389,0.036764818694749304,1
2001-10-10,0.05843429295183952,0.03623217677281158,0.03642022791428319,0.02802571965303142,0.036650009414410836,1
2001-10-11,-0.0018144943924221562,-0.005243896101797417,-0.006657587484797953,-0.007429283003125341,-0.0018568578155529253,1
2001-10-12,0.00963698901355552,-0.00414660165790767,-0.003044883024284301,-0.004640023949026068,-0.0016268605663932653,1
2001-10-15,0.020295233415744747,0.014359777893033904,0.013923675842741267,0.0108920619629129,0.012317404597163874,1
2001-10-16,-0.02423249623188857,-0.022602333197085607,-0.018763477855267673,-0.025616842518875367,-0.027604846670076462,1
2001-10-17,-0.014215567335939105,-0.009382090947349798,-0.013197789952072218,-0.012216148955179017,-0.008142125453467989,1
2001-10-18,0.008347570276522645,0.0076000542010324825,0.008310268509816898,0.011650983530213675,0.016807621167131876,1
2001-10-19,0.014530183588585127,0.010765028298357578,0.011902755116013302,0.0078528413907814,0.012579964564778234,1
2001-10-22,0.002990601111764766,0.0012379171008223629,-0.001134437995105929,-0.002580947688080726,-0.0059779926407971876,1
2001-10-23,0.004566788325408542,0.009008183102965516,0.0019333057151584567,-0.00019988925075324347,0.008244198703879121,1
2001-10-24,0.031426977823837784,0.02270602089570406,0.02009639261721503,0.014910538379752942,0.018591580062629377,1
2001-10-25,0.020358638973681783,0.012986517517543145,0.007937618166701252,0.007268175717796555,0.003149126775535846,1
2001-10-26,-0.023804945899036513,-0.022658440574629016,-0.020437452744995522,-0.023428926310117525,-0.027629747219645694,1
2001-10-29,-0.03015005382077947,-0.023808789127341464,-0.017738897049006067,-0.02055052052271123,-0.015777537417318906,1
2001-10-30,0.022311376272211934,0.011267141415987333,0.00990605742868562,0.013008862709419672,0.01432599449806848,1
2001-10-31,0.018427717423549393,0.01869520901344514,0.018637724029299568,0.01799425922804008,0.021065487752387257,1
2001-11-01,-0.0054820896718804244,0.002217407132132915,0.0013583898088247914,0.00038510849111837123,0.0032128429209229096,1
2001-11-02,0.024168522197682722,0.012643815533102846,0.015875720566039562,0.012687154648502995,0.01673923557863471,1
2001-11-05,0.028226152995827335,0.014064320674186863,0.010480192729818526,0.014071745611312777,0.012671544752617279,1
2001-11-06,0.008934120279311102,0.005924309379268085,0.0020257545901347673,0.0002566255746101382,0.0030816309994927855,1
2001-11-07,0.007294358199665246,-0.003872393939774582,-0.00037333802187366783,-0.006220938610041084,-0.0067128128973524565,1
2001-11-08,0.0058754459392338955,0.0015250073401214858,0.0021000912560086697,0.00011038726491430314,-0.0018509719778368448,1
2001-11-09,0.003185417523260614,0.004636214478455044,0.0011852001444702831,0.00201537216873898,0.007445932173150869,1
2001-11-12,0.035337348521104914,0.028605683905203374,0.02249840557392652,0.019724148908225877,0.024837691746196284,1
2001-11-13,0.025925469304556924,0.009329836879760944,0.010455438631360286,0.006614885756428172,0.010328729062779282,1
2001-11-14,0.0029020624660404826,-0.011371634925867919,-0.0064137977865878475,-0.007893261315767017,-0.011214796822486378,1
2001-11-15,0.018911301665843913,0.004076834809549844,0.00397760328547672,0.0015465140463664425,-0.003177670374165325,1
2001-11-16,0.03234638221368698,0.01343872590915001,0.011160409735904408,0.011862220625910188,0.013481770864486386,1
