formation_date,entry_date,exit_date,n_holdings,gross_return,net_return,turnover,cost,short_gross_return,spread_gross_return,short_turnover,median_marketcap,median_adv_proxy
2002-01-18,2002-01-22,2002-02-20,234,-0.049361291021505584,-0.050361291021505585,1.0,0.001,-0.09687683637492484,0.04751554535341925,1.0,937.8499999999999,
2002-02-19,2002-02-20,2002-03-20,239,0.08284499829469706,0.08260650457084769,0.2384937238493724,0.00023849372384937242,0.14936526563991337,-0.06652026734521631,0.26778242677824265,895.6,
2002-03-19,2002-03-20,2002-04-18,240,0.0025757938526029473,0.002329926084007906,0.24586776859504134,0.0002458677685950414,0.014869333103450398,-0.01229353925084745,0.25,896.1,
2002-04-17,2002-04-18,2002-05-16,240,-0.03403993704678882,-0.03428890824020446,0.24897119341563786,0.00024897119341563785,-0.08162420579743962,0.0475842687506508,0.22839506172839505,918.1,
2002-05-15,2002-05-16,2002-06-14,244,-0.14877638115273573,-0.14903760564253166,0.2612244897959184,0.0002612244897959184,-0.18106278517068983,0.0322864040179541,0.2897959183673469,973.3,
2002-06-13,2002-06-14,2002-07-15,248,-0.09414498650612153,-0.09438893811902475,0.2439516129032258,0.0002439516129032258,-0.13514480732282738,0.04099982081670585,0.2399193548387097,909.0,
2002-07-12,2002-07-15,2002-08-12,247,-0.08415408163302403,-0.084396017116895,0.24193548387096775,0.00024193548387096774,-0.17205804811718478,0.08790396648416075,0.22983870967741934,995.5,
2002-08-09,2002-08-12,2002-09-10,247,0.04770792230966008,0.04742768037417621,0.28024193548387094,0.00028024193548387095,0.060503495304987935,-0.012795572995327853,0.2721774193548387,841.9,
2002-09-09,2002-09-10,2002-10-08,242,-0.1544747490842421,-0.15474397985347288,0.2692307692307692,0.0002692307692307692,-0.262572921736065,0.1080981726518229,0.25708502024291496,944.9,
2002-10-07,2002-10-08,2002-11-05,237,0.23877529119368812,0.23850275021008158,0.2725409836065574,0.00027254098360655736,0.33949299138614253,-0.1007177001924544,0.2848360655737705,775.3,
2002-11-04,2002-11-05,2002-12-04,234,0.025632802297357548,0.025310017487230965,0.3227848101265823,0.00032278481012658225,0.1331467437966887,-0.10751394149933115,0.2848101265822785,1035.65,
2002-12-03,2002-12-04,2003-01-03,233,-0.021310718656997994,-0.021530804127083462,0.22008547008547008,0.0002200854700854701,-0.03611129587932856,0.01480057722233057,0.29273504273504275,1120.4499999999998,
2003-01-02,2003-01-03,2003-02-03,235,-0.05038449213098367,-0.05061118704623791,0.2266949152542373,0.00022669491525423728,-0.06110057533972702,0.01071608320874335,0.21398305084745764,1043.4,
2003-01-31,2003-02-03,2003-03-04,239,-0.027509837413247147,-0.027737870886050495,0.2280334728033473,0.0002280334728033473,-0.06532836831416919,0.03781853090092204,0.2698744769874477,1051.4,
2003-03-03,2003-03-04,2003-04-01,238,0.019726731726137287,0.019425476496011763,0.301255230125523,0.000301255230125523,0.02308903056782698,-0.0033622988416896933,0.28870292887029286,911.05,
2003-03-31,2003-04-01,2003-04-30,240,0.07779091883018639,0.07753050216351973,0.2604166666666667,0.0002604166666666667,0.14964726856185168,-0.07185634973166528,0.21041666666666667,905.1,
2003-04-29,2003-04-30,2003-05-29,239,0.07647820869287189,0.07625320869287189,0.225,0.000225,0.15356099987039257,-0.07708279117752068,0.24583333333333332,1248.2,
2003-05-28,2003-05-29,2003-06-26,240,0.025594067961723935,0.025343030617325596,0.25103734439834025,0.00025103734439834027,0.06843161041342996,-0.042837542451706026,0.1887966804979253,1178.4,
2003-06-25,2003-06-26,2003-07-25,241,0.04857720559650156,0.04825282543121231,0.3243801652892562,0.00032438016528925617,0.04539130919480653,0.003185896401695032,0.2830578512396694,1032.95,
2003-07-24,2003-07-25,2003-08-22,237,0.07442266453853108,0.07415406949720876,0.26859504132231404,0.000268595041322314,0.09825704160626114,-0.02383437706773006,0.2768595041322314,1114.1,
2003-08-21,2003-08-22,2003-09-22,240,0.04428132970849424,0.044027197477089275,0.25413223140495866,0.00025413223140495863,0.027036044683298507,0.01724528502519573,0.3037190082644628,1237.2,
2003-09-19,2003-09-22,2003-10-20,239,0.026218265177485323,0.025971377210680345,0.24688796680497926,0.0002468879668049793,0.007393953827892049,0.018824311349593274,0.25933609958506226,1231.9,
2003-10-17,2003-10-20,2003-11-17,240,0.015888159536594688,0.015624674059416265,0.26348547717842324,0.00026348547717842323,0.027472545173109007,-0.01158438563651432,0.24688796680497926,1143.7,
2003-11-14,2003-11-17,2003-12-16,241,-0.01632067516673263,-0.016550014009707837,0.22933884297520662,0.0002293388429752066,0.02507951252433348,-0.04140018769106611,0.22933884297520662,1072.6,
2003-12-15,2003-12-16,2004-01-15,246,0.13190248012348113,0.13167890288770878,0.22357723577235772,0.00022357723577235772,0.09832293040410454,0.033579549719376586,0.23577235772357724,1251.25,
2004-01-14,2004-01-15,2004-02-13,248,0.014755791612766543,0.014520851853730398,0.23493975903614459,0.00023493975903614457,0.005168097097937624,0.00958769451482892,0.23493975903614459,1180.0,
2004-02-12,2004-02-13,2004-03-15,251,-0.044942927258409336,-0.045197907338090614,0.2549800796812749,0.0002549800796812749,-0.018962908937159354,-0.025980018321249982,0.2908366533864542,987.3,
2004-03-12,2004-03-15,2004-04-13,251,0.06333561971577696,0.06311538162053887,0.22023809523809523,0.00022023809523809526,0.04223621577545732,0.021099403940319644,0.251984126984127,984.6,
2004-04-12,2004-04-13,2004-05-11,255,-0.1487535153164422,-0.1489515545321285,0.1980392156862745,0.00019803921568627448,-0.07395628432590025,-0.07479723099054196,0.2411764705882353,1038.0,
2004-05-10,2004-05-11,2004-06-09,259,0.08184957707811281,0.08162842323195897,0.22115384615384615,0.00022115384615384616,0.05591495964553517,0.025934617432577647,0.2673076923076923,834.4,
2004-06-08,2004-06-09,2004-07-09,270,-0.031511408205214864,-0.03177155580669088,0.26014760147601473,0.00026014760147601473,-0.04916032618574576,0.0176489179805309,0.3118081180811808,1005.9,
2004-07-08,2004-07-09,2004-08-06,284,-0.09317401920969239,-0.09341612447285028,0.24210526315789474,0.00024210526315789473,-0.08159751155668579,-0.011576507653006593,0.22456140350877193,954.8,
2004-08-05,2004-08-06,2004-09-03,288,0.04686170220757305,0.04658488559857651,0.2768166089965398,0.0002768166089965398,0.04158048550542512,0.005281216702147928,0.29411764705882354,837.5,
2004-09-02,2004-09-03,2004-10-04,291,0.07923299566446536,0.07896495442735195,0.26804123711340205,0.00026804123711340205,0.06354883298416897,0.01568416268029639,0.27147766323024053,1025.5,
2004-10-01,2004-10-04,2004-11-01,286,-0.010574473775764844,-0.010787532195008831,0.21305841924398625,0.00021305841924398625,0.002844009202330548,-0.013418482978095392,0.23367697594501718,1108.9,
2004-10-29,2004-11-01,2004-11-30,287,0.10235471353283755,0.10210816180869962,0.24655172413793103,0.00024655172413793106,0.10096458428253591,0.0013901292503016444,0.22586206896551725,1033.5,
2004-11-29,2004-11-30,2004-12-29,289,0.03334428936092248,0.033058575075208194,0.2857142857142857,0.0002857142857142857,0.04624569833908299,-0.012901408978160514,0.21428571428571427,1261.3,
2004-12-28,2004-12-29,2005-01-27,295,-0.056495846838740586,-0.056690762092977874,0.19491525423728814,0.00019491525423728814,-0.08947248367259567,0.03297663683385508,0.20508474576271185,1285.4,
2005-01-26,2005-01-27,2005-02-25,298,0.042696830820447,0.04247609503449382,0.22073578595317725,0.00022073578595317725,0.006083422824141512,0.03661340799630549,0.22408026755852842,1293.25,
2005-02-24,2005-02-25,2005-03-28,301,-0.02137072026623821,-0.021594230200013047,0.22350993377483444,0.00022350993377483444,-0.030287488460009834,0.008916768193771622,0.19039735099337748,1330.3,
2005-03-24,2005-03-28,2005-04-25,302,-0.0415642868773105,-0.041787059154538224,0.22277227722772278,0.00022277227722772278,-0.0680411936230924,0.026476906745781896,0.22277227722772278,1220.25,
2005-04-22,2005-04-25,2005-05-23,301,0.028562301117128305,0.028359330820098602,0.20297029702970298,0.00020297029702970296,0.020776107488957515,0.00778619362817079,0.21617161716171618,1240.4,
2005-05-20,2005-05-23,2005-06-21,298,0.06658939933517745,0.06638741258021057,0.20198675496688742,0.0002019867549668874,0.06927267946403966,-0.002683280128862209,0.23509933774834438,1239.7,
2005-06-20,2005-06-21,2005-07-20,300,0.04048906491674517,0.040282111274361064,0.20695364238410596,0.00020695364238410593,0.043453680315315046,-0.0029646153985698753,0.25,1356.2,
2005-07-19,2005-07-20,2005-08-17,294,-0.016915508187304393,-0.017136438419862534,0.22093023255813954,0.00022093023255813954,-0.003853945421488782,-0.013061562765815611,0.24750830564784054,1318.1,
2005-08-16,2005-08-17,2005-09-15,298,0.03371113007823915,0.03348279674490582,0.22833333333333333,0.00022833333333333332,0.0026172770203929468,0.031093853057846205,0.255,1195.8,
2005-09-14,2005-09-15,2005-10-13,297,-0.07569123426466198,-0.07592956759799531,0.23833333333333334,0.00023833333333333332,-0.07492092179166426,-0.0007703124729977195,0.2816666666666667,1265.5500000000002,
2005-10-12,2005-10-13,2005-11-10,299,0.06182472906085927,0.0616230623941926,0.20166666666666666,0.00020166666666666667,0.039631188002742145,0.022193541058117126,0.225,1149.1,
2005-11-09,2005-11-10,2005-12-09,297,0.0639458543821449,0.06370665172433759,0.23920265780730898,0.000239202657807309,0.056334076284183646,0.00761177809796125,0.26578073089701,1016.7,
2005-12-08,2005-12-09,2006-01-10,301,0.03604088680333411,0.03578681514209632,0.254071661237785,0.00025407166123778504,0.03065904023368523,0.005381846569648879,0.20846905537459284,1108.5,
2006-01-09,2006-01-10,2006-02-08,306,0.02875226998411084,0.02859045768637621,0.16181229773462782,0.0001618122977346278,0.025839797770544667,0.002912472213566171,0.18122977346278318,1195.7,
2006-02-07,2006-02-08,2006-03-09,307,-0.0005323370966394297,-0.0007329843458303681,0.20064724919093851,0.00020064724919093853,-0.00421319450386843,0.0036808574072289997,0.21035598705501618,1256.3,
2006-03-08,2006-03-09,2006-04-06,305,0.09462912802436134,0.09437993708585002,0.24919093851132687,0.00024919093851132686,0.04751817810620714,0.0471109499181542,0.23624595469255663,1243.7,
