hypothesis,classification,h1_Q1_mean,h1_Q2_mean,h1_Q3_mean,h1_Q4_mean,h1_Q5_mean,h1_spread_mean,h1_spread_annualized,h1_spread_hac_tstat,h1_spread_n,h1_ic_mean,h1_ic_hac_tstat,h1_ic_n,h1_monotonic_q_means,h5_Q1_mean,h5_Q2_mean,h5_Q3_mean,h5_Q4_mean,h5_Q5_mean,h5_spread_mean,h5_spread_annualized,h5_spread_hac_tstat,h5_spread_n,h5_ic_mean,h5_ic_hac_tstat,h5_ic_n,h5_monotonic_q_means,h10_Q1_mean,h10_Q2_mean,h10_Q3_mean,h10_Q4_mean,h10_Q5_mean,h10_spread_mean,h10_spread_annualized,h10_spread_hac_tstat,h10_spread_n,h10_ic_mean,h10_ic_hac_tstat,h10_ic_n,h10_monotonic_q_means,h20_Q1_mean,h20_Q2_mean,h20_Q3_mean,h20_Q4_mean,h20_Q5_mean,h20_spread_mean,h20_spread_annualized,h20_spread_hac_tstat,h20_spread_n,h20_ic_mean,h20_ic_hac_tstat,h20_ic_n,h20_monotonic_q_means,gross_cagr,net_cagr,turnover_annual,cost_drag_annual_simple,sharpe,max_drawdown,factor_alpha_annual,factor_alpha_tstat,factor_betas,factor_r2,spread_factor_alpha_annual,spread_factor_alpha_tstat,spread_factor_betas,spread_factor_r2,n_rebalances
residual_momentum_60d,UNRESOLVED / UNDERPOWERED,0.0005480847787122842,0.00041049969995854245,0.00034692751779245417,0.0002928423573438437,0.00019468724909694124,-0.00035339752961534304,-0.08522021727237783,-2.729534167380919,4469,0.0008753177337987173,0.6233290773103741,4469,False,0.0024148662458692567,0.00189686286807619,0.0017168706651471625,0.0016053718189339287,0.0014052979361817745,-0.0010095683096874824,-0.04963384721316366,-1.64650558465908,4469,-0.001478501346926579,-0.5365601267409567,4469,False,0.004512184829505567,0.0037300146079557476,0.003545414301713932,0.0033394050686303602,0.0030616012103767618,-0.001450583619128805,-0.035920236619996104,-1.2361976658658695,4469,-0.003087544070979203,-0.82595092509468,4469,False,0.007753727258849898,0.007402718796044561,0.007134610049589211,0.006865304910226809,0.006439832665721784,-0.0013138945931281127,-0.01642949632389712,-0.5875470278433068,4469,-0.0018196140186640178,-0.3538933801812288,4469,False,0.05831723761249852,0.0524213229735917,5.589841640653317,0.005589841640653316,0.3354258346766492,-0.5682165769980128,0.02533241790068841,0.49768656930045274,"{'Mkt-RF': 0.5665127631787855, 'SMB': 0.6152103172218207, 'HML': 0.12943282495484337, 'RMW': -0.3169502814088312, 'CMA': -0.2429524862057795, 'UMD': -0.10323798508543387}",0.33010190604311584,-0.000177898377575203,-0.005982093317221892,"{'Mkt-RF': -0.032151105423905854, 'SMB': -0.33833413965339565, 'HML': 0.06666821644213375, 'RMW': 0.010129882454143096, 'CMA': 0.10508433169977262, 'UMD': 0.4219310366267744}",0.32571549132055255,224
residual_momentum_126d,UNRESOLVED / UNDERPOWERED,0.0003842205045576593,0.00039799520511487105,0.0003497820482388137,0.0002675475390745466,0.0002554528459168327,-0.0001287676586408265,-0.031930638060713945,-0.953728703976914,4403,0.005763956804697666,3.6307819745161782,4403,False,0.001804754212524274,0.0017783732469756506,0.001646502235330025,0.0014913628494015439,0.0015588053920337743,-0.0002459488204905,-0.012320814672578173,-0.3691764851654142,4403,0.005606228439917667,1.7470460777161323,4403,False,0.003510358790292283,0.0035525504526868006,0.003173723105576683,0.003090781990239797,0.0032347165881965916,-0.00027564220209569135,-0.006923065399847661,-0.2119418705900739,4403,0.003756450530092003,0.8668760248592358,4403,False,0.0067656134179176096,0.007270380628818808,0.006427245217702826,0.006271078948846757,0.006635263013847306,-0.00013035040407030502,-0.0016411739440762574,-0.049883369966760065,4403,0.0033550534238711623,0.5714011615915602,4403,False,0.06463825391128442,0.06043120789872303,3.9633886402328313,0.003963388640232831,0.3724456726173623,-0.575314613703154,0.03573894737903793,0.7158663698054436,"{'Mkt-RF': 0.5471418544748249, 'SMB': 0.695695753190902, 'HML': 0.051867369944353196, 'RMW': -0.3496110349890314, 'CMA': -0.3241382089396635, 'UMD': -0.04702617735667155}",0.33695827254827526,0.01389150310195264,0.40776566731269087,"{'Mkt-RF': -0.008469593490690501, 'SMB': -0.3845698048560652, 'HML': -0.06999635801973342, 'RMW': -0.18272313578363444, 'CMA': 0.16252450065554264, 'UMD': 0.5532375124497786}",0.35461915717627734,220
residual_momentum_252d_ex20,UNRESOLVED / UNDERPOWERED,0.0002322621887184239,0.00039478783002089605,0.0003474526262832529,0.00034885725546395186,0.00040709696715855384,0.00017483477844013,0.04503932171952374,1.2939512148358365,4277,0.01072748553529494,6.171644748809955,4277,False,0.0013393719119299138,0.001907503170831688,0.001662087137642748,0.0016606608282684152,0.0019319034753770491,0.0005925315634471357,0.03030486793399456,0.9065334722578989,4277,0.014371224587166756,4.1969909045736875,4277,False,0.0028455588246001184,0.0037933457755428865,0.003449450861058534,0.0033026429586215686,0.0036436214853450702,0.0007980626607449532,0.020306587719012725,0.607375272221831,4277,0.014109050328918966,3.0356220104618243,4277,False,0.006111719373857062,0.007571815064876131,0.007039811353343794,0.006644763092104204,0.007219449590905463,0.0011077302170483991,0.014047426652310513,0.4023381203171222,4277,0.013352577734626513,2.098190412912943,4277,False,0.07087622052998221,0.06766300729490293,3.004427608321573,0.003004427608321573,0.40266353037236613,-0.6080664526869584,0.035035533997132884,0.700440742357589,"{'Mkt-RF': 0.591593092727725, 'SMB': 0.681086244935119, 'HML': 0.06922897023728679, 'RMW': -0.3215086962474452, 'CMA': -0.2453710959437027, 'UMD': -0.03546246260701774}",0.3365303326640886,0.02104373371366175,0.6070511324342746,"{'Mkt-RF': 0.07646341509304538, 'SMB': -0.3376843070659707, 'HML': -0.043573442787950535, 'RMW': -0.18183950608962166, 'CMA': 0.176067830660117, 'UMD': 0.5735795684304702}",0.320479091166302,214
