hypothesis_id,feature,bucket,active_days,average_bucket_names,average_positions,cagr_gross,cagr_net,spy_cagr,excess_cagr,cumulative_return_net,annualized_volatility,sharpe,sortino,max_drawdown,max_drawdown_duration_days,alpha_annual,alpha_tstat,r_squared,market_beta,smb_beta,hml_beta,rmw_beta,cma_beta,momentum_beta,spy_correlation,spread_annualized_gross,spread_hac_tstat,ic_mean,ic_hac_tstat,spread_h2_annualized,spread_h2_hac_tstat,ic_h2_mean,spread_h5_annualized,spread_h5_hac_tstat,ic_h5_mean,quintile_monotonicity_spearman,q1_annualized_active_days,q2_annualized_active_days,q3_annualized_active_days,q4_annualized_active_days,q5_annualized_active_days,annual_two_way_turnover,estimated_cost_drag_annual,average_side_cost_bps,capacity_usd_half_pct_adv,average_position_weight,regime_bull_spread_annualized,regime_bull_long_net_annualized_active_days,regime_bull_n,regime_sideways_spread_annualized,regime_sideways_long_net_annualized_active_days,regime_sideways_n,regime_bear_spread_annualized,regime_bear_long_net_annualized_active_days,regime_bear_n,subperiod_2001_2009_spread_annualized,subperiod_2001_2009_long_net_annualized_active_days,subperiod_2001_2009_n,subperiod_2010_2018_spread_annualized,subperiod_2010_2018_long_net_annualized_active_days,subperiod_2010_2018_n
ibs_earnings_event,earnings_event,non_event,4526,1660.0006628369422,332.3473265576668,-0.08628167570952039,-0.7273903435373916,0.057797228211110774,-0.7851875717485024,-0.9999999999275728,0.21314683878961957,-5.974736364933615,-5.298994102940839,-0.9999999999386475,4526,-0.7437403967489007,-58.990756197064314,0.7622675079844631,0.8011407006377268,0.7767299545114794,-0.1100577150860887,-0.09023743818657186,-0.03874659230633408,-0.13531009221721202,0.7671027988030211,-0.10987328429080556,-5.103743128325117,-0.003369924476031775,-2.57171633227442,0.038945627391604676,1.2248752329168922,0.0032424703709929264,0.2666068918426563,4.0296344116334355,0.0058243004627503165,0.9999999999999999,-0.06505306424972734,-0.00015431445016211853,0.0036734441413392993,0.0062653565438932635,0.0503288044929322,503.8886679920477,0.6411086678278712,23.979375919062296,68906570.22769453,0.0030319581768888746,-0.13093102560806802,-0.7235424029169465,2038,-0.06175749262861863,-0.6959857402565226,381,-0.09765298388143662,-0.7231322234101935,2107,-0.10904326147611998,-0.7373532960398889,2262,-0.11070180469920055,-0.7039234057346118,2264
ibs_earnings_event,earnings_event,event,2010,53.2592039800995,11.2681592039801,-0.17184153077409692,-0.510629274240658,0.057797228211110774,-0.5684265024517687,-0.9999973419196211,0.23813071704866048,-2.8725800581119207,-1.7546393103778553,-0.9999973420821665,4484,-0.5197290100518395,-12.413800917352859,0.11875246822333452,0.343993312583708,0.4278258547883222,-0.03456487655489233,-0.05499912919488961,0.0032532639604486544,-0.0022430391744509347,0.2834291933825579,-0.27919322493772125,-2.399677394000885,-0.0060998827830658995,-1.183419414869899,-0.3483874274939325,-2.5978750646128086,-0.0027565756626987716,-0.362980533135412,-1.9190789241842192,-0.001432363745647664,0.49999999999999994,-0.3030031933308678,-0.02117394600984701,-0.09672301094532354,0.24814214332772289,-0.03299021363290855,223.77733598409543,0.33878774346656104,23.489015493751957,2325031.2996200067,0.2088255370396866,-0.19209047377339905,-0.7396472623541208,895,0.15342770399073058,-0.7014711836955667,186,-0.41234143011185065,-0.8355819133416651,929,-0.2833830410144583,-0.8222413151882386,994,-0.2750705223096549,-0.7452524248749883,1016
ibs_overnight_gap_share,overnight_gap_share,low,4526,560.1034025629696,131.46928855501545,-0.05342971455151302,-0.7241567336626764,0.057797228211110774,-0.7819539618737872,-0.9999999999104843,0.22186220593367398,-5.678502862943915,-5.043077875734744,-0.9999999999242332,4509,-0.7414638078580418,-53.02227899251813,0.7297120789483769,0.8123046291869236,0.8300559474300792,-0.06181523273457556,-0.0434830330059408,-0.0691036918777416,-0.12688588359542108,0.7449386586323911,0.00410060411788149,0.14163554988145016,0.004874225971325842,3.079445550661513,0.21400887190700812,4.7818188327695825,0.00978285390929315,0.5436131373172408,6.130528997672029,0.00986210137451047,-0.39999999999999997,-0.029526603143349317,0.04759787811088567,-0.004442540348683632,-0.0291859488938343,-0.033490413198769664,503.8886679920477,0.6707270191111634,24.443537143484747,23432671.34280269,0.008437733978657129,-0.039976749603321426,-0.7213600947868243,2038,-0.03743502853813174,-0.705055161474594,381,0.05669026813154354,-0.7154550816948981,2107,0.08414734268388901,-0.7176256580502776,2262,-0.06999465357227719,-0.7169265409895031,2264
ibs_overnight_gap_share,overnight_gap_share,mid,4526,560.4381352187362,113.4712770658418,-0.0842415255650889,-0.7230220092837005,0.057797228211110774,-0.7808192374948113,-0.9999999999036332,0.21917120815229849,-5.732407718661949,-5.116047251266695,-0.9999999999197277,4526,-0.7393402138837865,-53.31902414475464,0.7349414204176838,0.8198412796984145,0.7560678340591727,-0.13589602961535305,-0.1066509588250218,-0.010219244025177213,-0.12874696660601537,0.7594465847930258,-0.1405679374817118,-5.659366257051615,-0.005175645644081911,-3.5359880711730742,-0.010833190765831335,-0.29319392377826325,0.0017414035960093704,0.22245367684613782,3.051708395767451,0.005374602927516084,0.8999999999999998,-0.06174900217325974,0.0039566986417716166,0.016930890538808585,0.008802498854080687,0.09165293500294491,503.8886679920477,0.6387804837186116,23.709454480045142,25324970.19814449,0.009141824615546386,-0.14182099271933113,-0.7151928930933105,2038,-0.07488865688169966,-0.6947712264822555,381,-0.15074083377385916,-0.7210583714457444,2107,-0.1537851738960614,-0.7372624739736731,2262,-0.12715703907457132,-0.6936697832166311,2264
ibs_overnight_gap_share,overnight_gap_share,high,4526,560.7684489615555,91.76159964648697,-0.16388093526117087,-0.7472724964008964,0.057797228211110774,-0.8050697246120072,-0.9999999999814185,0.20730789551831977,-6.512432662999532,-5.755961580109257,-0.9999999999839987,4526,-0.7607795955188377,-55.70893590723554,0.7180668786272566,0.7435778152638862,0.7176055214206987,-0.12720568795110201,-0.13009797821424515,-0.03522836908553294,-0.15401683419959952,0.7439698048687176,-0.27222758755030685,-12.57758579680615,-0.013049180701041519,-11.124159729513888,-0.20937556113710665,-6.911010140787772,-0.0065313877105605,-0.09341634806916554,-1.607820567865556,-0.001689661402352976,0.9999999999999999,-0.14562242810140535,-0.048276424665024464,-0.008407546040083758,0.04515964802921024,0.17372539468824955,503.8886679920477,0.5833915611397256,23.72353971623426,21314803.69647324,0.01368199395097908,-0.28125535496474496,-0.7409755627648347,2038,-0.1490263589834896,-0.7077028529586321,381,-0.2839339589000677,-0.7482988512102702,2107,-0.3344996024128747,-0.7725158673156255,2262,-0.20421678412189082,-0.7069807009682616,2264
ibs_abnormal_volume,abnormal_volume,low,4526,561.9414494034468,111.14869642068051,-0.11358217302422302,-0.7492850906556243,0.057797228211110774,-0.8070823188667351,-0.9999999999839047,0.22195170647200113,-6.1042208218635805,-5.419752286925082,-0.9999999999865092,4526,-0.7641853039087525,-59.098712811997835,0.7554304429854286,0.8237291510022284,0.8123574746795967,-0.11172908746646262,-0.12163307666865217,-0.04108052920606341,-0.13729682645745772,0.7619629615442812,-0.0809960289942192,-3.2136003293442066,-0.0007968241220485374,-0.5357362074698517,0.01246970056298502,0.3492170083333935,0.002344016980028239,0.16884600753724355,2.434612968682247,0.00297515320412333,0.7,-0.09126327210100504,-0.045436205679997954,-0.042697552106309766,-0.06097651053894804,-0.011168419140541341,503.8886679920477,0.6357029176314013,25.03655614210488,19433606.94050856,0.009244366632138902,-0.14197120166388633,-0.7428974550750732,2038,-0.04894755557360919,-0.7249289767722045,381,-0.02398315753759228,-0.7463020066320875,2107,-0.034453402913610875,-0.7570429412283735,2262,-0.12526542949692643,-0.728227006335649,2264
ibs_abnormal_volume,abnormal_volume,mid,4526,562.2783915156872,108.69774635439681,-0.056200448733866426,-0.6992357967097675,0.057797228211110774,-0.7570330249208783,-0.9999999995766443,0.21641107172669777,-5.429501956249937,-4.858857105474716,-0.999999999637568,4526,-0.7169458100192831,-52.40260430228842,0.7375683718617004,0.8104761881161661,0.7518999068865664,-0.12889195846816795,-0.0989888702488062,-0.028574043195060708,-0.12485354423053259,0.757203710648373,-0.044324961478467984,-1.8266307395547405,-0.0014075324639791847,-0.9213127772356361,0.10744933307222504,2.830480016710053,0.004614880815371944,0.3104122090171124,4.160533692024908,0.006651801283338969,0.8999999999999998,-0.033586387620959446,0.001963002690320126,0.009758860506660971,0.009348347569996696,0.011234604706328755,503.8886679920477,0.6430353479759011,22.67399029418635,28828405.45284562,0.00935373969175723,-0.08936543060317548,-0.697501957986034,2038,-0.04410895129196135,-0.675616980485165,381,0.0013091595483794016,-0.6897453644537221,2107,0.023135045602466153,-0.699586751704886,2262,-0.10729969422461738,-0.6844550030667149,2264
ibs_abnormal_volume,abnormal_volume,high,4526,562.606053910738,118.09500662836942,-0.10351158749112288,-0.7360885654070455,0.057797228211110774,-0.7938857936181563,-0.9999999999595508,0.21343101511482304,-6.117608528138776,-5.393842457816155,-0.9999999999655406,4526,-0.751691855332668,-51.7987754383696,0.710120975261539,0.7704424739078617,0.7683605996410325,-0.09511303696387141,-0.050634954380136626,-0.045948918526149865,-0.1441523698069766,0.7385909377561428,-0.1995791936555289,-8.03425183256036,-0.008249473843976621,-6.090293782765995,-0.020734002136812313,-0.5550982167932837,0.0020919912686056925,0.27213875376628605,3.5185990783861656,0.007143758212775912,0.9999999999999999,-0.08261237233079555,0.041675731765167034,0.05059811526472524,0.08189308720217392,0.14599366988932716,503.8886679920477,0.6325769779159226,24.244439876486087,21866501.00767099,0.008747596171937745,-0.16320378920066547,-0.7286913068879055,2038,-0.12342492211547151,-0.6988279256928741,381,-0.2457665219947257,-0.7365403955322708,2107,-0.2707866749660981,-0.7550542127015007,2262,-0.1215208426607931,-0.7024427265087849,2264
ibs_turnover,turnover,low,4526,561.0815289438798,114.05125939019001,0.020966317386685196,-0.7643516290645213,0.057797228211110774,-0.822148857275632,-0.9999999999947133,0.19903876672056647,-7.140919555585448,-6.2611064319399565,-0.999999999995257,4526,-0.7814195867872037,-71.25598917253929,0.7720156093883914,0.7696691676206356,0.8100214017384805,0.006138212194588242,0.07552053923406996,0.028838714538755184,-0.07966317305591229,0.7643269883059234,0.019909139569472822,0.8298681656553732,0.003800129429281263,2.4537995303343427,0.09820924578842138,3.0799462962903785,0.007261730396672385,0.3014941032849652,4.992396182413831,0.009316842173911438,-0.7999999999999999,0.04166368470984838,0.05488817670473778,0.036064666319054695,-0.0037444665279420253,0.02133157174233169,503.8886679920477,0.7853179464512065,29.058119561487814,12567447.762361256,0.009081898404923875,-0.09119502334089347,-0.7669708198755409,2038,-0.0452532667696236,-0.7479936442376374,381,0.15390983226438193,-0.7544627221693067,2107,0.17430666766959035,-0.7545508740007716,2262,-0.11414772977292309,-0.7646392030852387,2264
ibs_turnover,turnover,mid,4526,561.4321696862572,108.66548828988068,-0.04940230398407264,-0.7074732087495337,0.057797228211110774,-0.7652704369606445,-0.9999999997429325,0.20797160675251647,-5.791301576219143,-5.113399585820415,-0.9999999997816573,4526,-0.7250725596750001,-53.361699276707284,0.7510560464639355,0.7927265189567514,0.7366513574623089,-0.12064818623223313,-0.08814226198850784,-0.020716525684392917,-0.10124292669164531,0.7655589180072193,-0.12079588195920765,-5.148266334881215,-0.006527411415022666,-4.467997145401911,-0.001313013398068552,-0.039807269498123285,0.00031118766172157536,0.22816368277511412,3.429619447382107,0.0045517548391744355,0.9999999999999999,-0.028424624534447496,0.027363344902248787,0.05596738496205966,0.058903857245710345,0.10500598617444057,503.8886679920477,0.658070904765461,23.36647619258995,22082423.655908637,0.009349775625322796,-0.12184765758107896,-0.6935745398337054,2038,-0.039392932310280515,-0.6703435977701542,381,-0.13376191004461513,-0.7132877268424325,2107,-0.14417520405347428,-0.7284531219197022,2262,-0.09680199022828062,-0.6709887007676856,2264
