Date,SPY
2001-01-02,
2001-01-03,0.048034937765538466
2001-01-04,-0.010763891616013543
2001-01-05,-0.03264258989093005
2001-01-08,0.007740039576907387
2001-01-09,-0.0026399141056133724
2001-01-10,0.01756852699883349
2001-01-11,0.0009465881697636735
2001-01-12,-0.001890474903695094
2001-01-16,0.006392414722772299
2001-01-17,0.0045869708188186475
2001-01-18,0.009951848747355996
2001-01-19,-0.005680234446894139
2001-01-22,0.006645288006834393
2001-01-23,0.007875475002034005
2001-01-24,0.0029885573478234395
2001-01-25,-0.002520931782612368
2001-01-26,-0.0011487257505623516
2001-01-29,0.005335937114810951
2001-01-30,0.008784782358459253
2001-01-31,-0.0056600248026112965
2001-02-01,0.006640627782335207
2001-02-02,-0.022692147899049275
2001-02-05,0.007344215745197724
2001-02-06,-0.0029459051076049514
2001-02-07,-0.005170031969404465
2001-02-08,-0.011656482165411375
2001-02-09,-0.009615339359487884
2001-02-12,0.011453154440607127
2001-02-13,-0.008173756154577605
2001-02-14,-0.0015126296926912808
2001-02-15,0.009692521358436457
2001-02-16,-0.02204826640018165
2001-02-20,-0.015414217418996179
2001-02-21,-0.021575454309985642
2001-02-22,0.0015123993148546955
2001-02-23,-0.006755965999801217
2001-02-26,0.02128667290261932
2001-02-27,-0.00924582469772861
2001-02-28,-0.019693386944273583
2001-03-01,0.005244080566777054
2001-03-02,-0.007945042942453795
2001-03-05,0.009141725649000731
2001-03-06,0.010741936303347854
2001-03-07,0.007138571700797236
2001-03-08,0.001102508317917028
2001-03-09,-0.02957864291255763
2001-03-12,-0.042801060454564
2001-03-13,0.016429315667288336
2001-03-14,-0.01974681185750382
2001-03-15,0.00025531648183108047
2001-03-16,-0.020057551850162447
2001-03-19,0.020345637724839216
2001-03-20,-0.026842082465796224
2001-03-21,-0.01698798195451756
2001-03-22,-0.010155001618480486
2001-03-23,0.030237821565318956
2001-03-26,0.012753437838746828
2001-03-27,0.0204411265229687
2001-03-28,-0.027639548604925346
2001-03-29,0.003824957781628946
2001-03-30,0.010477981556196836
2001-04-02,-0.021338102480436327
2001-04-03,-0.033363244988026564
2001-04-04,0.004167540687269211
2001-04-05,0.037889232432980924
2001-04-06,-0.015210861352768501
2001-04-09,0.011120156832732153
2001-04-10,0.01824378727123288
2001-04-11,0.0006864852542163291
2001-04-12,0.01816105544908364
2001-04-16,-0.010517060763655994
2001-04-17,0.014115593325568776
2001-04-18,0.03974538481256307
2001-04-19,0.013306125486743925
2001-04-20,-0.009152586040936272
2001-04-23,-0.018152465966056686
2001-04-24,-0.005398907301505829
2001-04-25,0.013077684804233547
2001-04-26,0.00446487412840324
2001-04-27,0.016650812265304182
2001-04-30,0.006996995473577572
2001-05-01,0.0030787122290649727
2001-05-02,-0.0018103836630585235
2001-05-03,-0.012695385415391502
2001-05-04,0.01701140869493112
2001-05-07,-0.008638366213467252
2001-05-08,-0.0004751803010351052
2001-05-09,-0.00420027857736982
2001-05-10,0.002944802455226103
2001-05-11,-0.006903475776760204
2001-05-14,0.001997353185371198
2001-05-15,0.0046253276649081965
2001-05-16,0.023575015788565468
2001-05-17,0.0015508325870536854
2001-05-18,0.004568346649109989
2001-05-21,0.014721743606016302
2001-05-22,-0.0012910176969098686
2001-05-23,-0.016960844867191627
2001-05-24,0.0029396681435511773
2001-05-25,-0.011802167211505399
2001-05-29,-0.007963113157086532
2001-05-30,-0.014006671527638348
2001-05-31,0.00518755497008172
2001-06-01,0.0061929015857205005
2001-06-04,0.004813268014790095
2001-06-05,0.011465385527469119
2001-06-06,-0.00830739226643662
2001-06-07,0.003601398111272136
2001-06-08,-0.009283013759959435
2001-06-11,-0.0070864677749986615
2001-06-12,-0.0017443566892576534
2001-06-13,-0.008579895919397007
2001-06-14,-0.02243584805812937
2001-06-15,0.001610516274330509
2001-06-18,-0.0048414809092264255
2001-06-19,0.004370260449775287
2001-06-20,0.005255318556523392
2001-06-21,0.011353079510216135
2001-06-22,-0.007833818152645389
2001-06-25,-0.009198091422608856
2001-06-26,-0.0013965141290490646
2001-06-27,-0.0005761061454870875
2001-06-28,0.005515322367460662
2001-06-29,0.0036842133659538145
2001-07-02,0.012479387371974848
2001-07-03,-0.0002420053293299418
2001-07-05,-0.0195000004344984
2001-07-06,-0.02161389103018352
2001-07-09,0.005459709579765271
2001-07-10,-0.012029946030715388
2001-07-11,0.0010147529783228748
2001-07-12,0.023736736558815474
2001-07-13,0.008664298906150725
2001-07-16,-0.012516238958659942
2001-07-17,0.009361355158528095
2001-07-18,-0.006812240593609409
2001-07-19,0.008759172658326486
2001-07-20,-0.005980059401079152
2001-07-23,-0.019696762019727365
2001-07-24,-0.009667393238909194
2001-07-25,0.01103538700499751
2001-07-26,0.01049529760000989
2001-07-27,0.0038218537832777066
2001-07-30,0.00033147517462195353
2001-07-31,0.004137009948396386
2001-08-01,0.006263287762969361
2001-08-02,0.004094419823409634
2001-08-03,-0.005464394360515157
2001-08-06,-0.013449109763563394
2001-08-07,0.0039065126306756515
2001-08-08,-0.018547028856919945
2001-08-09,0.002952406061828894
2001-08-10,0.0034488990525984864
2001-08-13,0.0002514225008976023
2001-08-14,-0.00041906607013941777
2001-08-15,-0.008635395698718185
2001-08-16,0.0034671601269997687
2001-08-17,-0.016013624800708337
2001-08-20,0.009250694086865296
2001-08-21,-0.017058913856801916
2001-08-22,0.010361108659731944
2001-08-23,-0.0035888108316388667
2001-08-24,0.020754073046568067
2001-08-27,-0.005964975088635471
2001-08-28,-0.014622577635822975
2001-08-29,-0.00892109209502534
2001-08-30,-0.019213794912985804
2001-08-31,0.007324210902083683
2001-09-04,-0.006394969597100397
2001-09-05,0.002468550700001959
2001-09-06,-0.025769432909547696
2001-09-07,-0.018506505131747453
2001-09-10,0.012233340758099898
2001-09-17,-0.052249218851481705
2001-09-18,-0.002397418122679573
2001-09-19,-0.020182424221765083
2001-09-20,-0.03178012567108457
2001-09-21,-0.010789163530431356
2001-09-24,0.03515640842685697
2001-09-25,0.01042681974114501
2001-09-26,-0.0035380193356816525
2001-09-27,0.008679238129730482
2001-09-28,0.021218465520839835
2001-10-01,-0.0016274324903557957
2001-10-02,0.012562922805532839
2001-10-03,0.016764917020032133
2001-10-04,0.0008384750163357158
2001-10-05,-0.0019544322835324257
2001-10-08,-0.006528385412201909
2001-10-09,-0.005350508330228321
2001-10-10,0.022272449611190792
2001-10-11,0.015509540136018352
2001-10-12,-0.004544793531933378
2001-10-15,-0.0018271765695784259
2001-10-16,0.006313113937278736
2001-10-17,-0.02127438117995184
2001-10-18,-0.0021366988224980066
2001-10-19,-0.0006517839153510341
2001-10-22,0.01974842190995263
2001-10-23,-0.005114991062260543
2001-10-24,-0.0026635394010368074
2001-10-25,0.017952611629165283
2001-10-26,-0.0022611141485306963
2001-10-29,-0.026015048740410607
2001-10-30,-0.012005698990722236
2001-10-31,-0.0033904842440483085
2001-11-01,0.025613812708324524
2001-11-02,0.00681992755305294
2001-11-05,0.013089185730658981
2001-11-06,0.01554015465732772
2001-11-07,-0.001334707656327927
2001-11-08,0.0031183737747764173
2001-11-09,0.001065699776300555
2001-11-12,-0.006120932581204386
2001-11-13,0.022493871846467783
2001-11-14,0.0009605393109857197
2001-11-15,0.0018310506713887786
2001-11-16,-0.004440031156290103
2001-11-19,0.01232967815067032
2001-11-20,-0.008378870936907035
2001-11-21,-0.006620330763849824
2001-11-23,0.014381355907364002
2001-11-26,0.002160509242843389
2001-11-27,-0.004312217878574609
2001-11-28,-0.018106562715015317
2001-11-29,0.013499379837645487
2001-11-30,-0.007138614833740453
2001-12-03,-0.005962362059602877
2001-12-04,0.01693570287510493
2001-12-05,0.018301580221081082
2001-12-06,-0.000510657198120934
2001-12-07,-0.00664763254265488
2001-12-10,-0.018703153270240525
2001-12-11,-0.002010665660272748
2001-12-12,0.001139284839929644
2001-12-13,-0.019426131718129458
2001-12-14,0.009548244360911173
2001-12-17,0.010342634183897026
2001-12-18,0.005948796360411901
2001-12-19,0.007044781859175453
2001-12-20,-0.009845537733255028
2001-12-21,0.006065686633019762
2001-12-24,-0.0019142481809932832
2001-12-26,0.005490998708701733
2001-12-27,0.006068020613532177
